
[00:00:00.000 --> 00:00:03.600]  不經不覺已經用了差不多一年的時間去宣講約翰福音
[00:00:03.600 --> 00:00:07.800]  不經不覺已經用了一年的時間來宣講約翰福音
[00:00:07.800 --> 00:00:12.200]  即將將會完成整個約翰福音的系列
[00:00:12.200 --> 00:00:15.400]  即將將會完成整個約翰福音的系列
[00:00:15.400 --> 00:00:17.200]  我自己就愛不釋手
[00:00:17.200 --> 00:00:19.000]  我自己就愛不釋手
[00:00:19.000 --> 00:00:23.100]  我不知道大家會不會引起你對約翰福音的興趣
[00:00:23.100 --> 00:00:27.400]  不知道這會不會引起大家對約翰福音的興趣呢
[00:00:27.400 --> 00:00:32.200]  余月節前六天
[00:00:32.200 --> 00:00:36.600]  余月節是猶太人三大節期之一
[00:00:36.600 --> 00:00:40.400]  余月節是猶太人三大節期之一
[00:00:40.400 --> 00:00:42.000]  是一個救贖的日子
[00:00:42.000 --> 00:00:43.000]  是一個救贖的日子
[00:00:43.000 --> 00:00:47.800]  是紀念昔日他們從埃及脫離法老的管治
[00:00:47.800 --> 00:00:52.600]  是紀念昔日他們從埃及脫離法老的管治
[00:00:52.600 --> 00:00:58.700]  聖經一開始就講到余節前六天
[00:00:58.700 --> 00:01:00.800]  是否要提醒人節期快到了
[00:01:00.800 --> 00:01:03.000]  是否要提醒人節期快到了
[00:01:03.000 --> 00:01:05.300]  是否要準備一些節期的用品呢
[00:01:05.300 --> 00:01:07.900]  是否要準備一些節期的用品呢
[00:01:07.900 --> 00:01:10.000]  如果你熟悉陽方的敘事呢
[00:01:10.000 --> 00:01:12.400]  如果你熟悉約翰福音的敘事的話
[00:01:12.400 --> 00:01:16.600]  你知道余節前六天
[00:01:16.600 --> 00:01:18.800]  其實是距離耶穌受死的日子
[00:01:18.800 --> 00:01:22.700]  其實是距離耶穌受死的日子
[00:01:22.700 --> 00:01:23.500]  只有幾天的時間
[00:01:23.500 --> 00:01:26.100]  今天的場景是一個耶穌熟悉的家庭
[00:01:26.100 --> 00:01:29.200]  今天的場景是一個耶穌熟悉的家庭
[00:01:29.200 --> 00:01:31.200]  祂三番四次來到這個家庭
[00:01:31.200 --> 00:01:33.500]  祂三番四次來到這個家庭
[00:01:33.500 --> 00:01:35.400]  瑪大、瑪利亞和拉撒路
