
[00:00:00.000 --> 00:00:01.760]  各位頂姐妹早上好
[00:00:01.760 --> 00:00:05.520]  很開心我們可以有更多的頂姐妹回來一起崇拜
[00:00:05.520 --> 00:00:08.320]  仍有部分頂姐妹要在家崇拜
[00:00:08.320 --> 00:00:10.080]  因為有小朋友
[00:00:10.080 --> 00:00:13.440]  我們未能夠使用梁醒德學校或冥恩小學
[00:00:13.440 --> 00:00:16.680]  所以我們幼兒級或小學級的
[00:00:16.680 --> 00:00:20.560]  我們未有主一學可以在實體舉行
[00:00:20.560 --> 00:00:21.560]  我們有小部分的
[00:00:21.560 --> 00:00:24.200]  有一個地方在中堂的時間
[00:00:24.200 --> 00:00:26.520]  歡迎家長一起回來崇拜小朋友
[00:00:26.520 --> 00:00:29.480]  有他們半實體的聚會
[00:00:29.480 --> 00:00:32.640]  紀念在疫情底下仍有限制
[00:00:32.640 --> 00:00:34.920]  不過我們的心是不被限制
[00:00:34.920 --> 00:00:39.120]  剛才感謝主讓陳姑娘帶著敬拜隊
[00:00:39.120 --> 00:00:40.320]  也是詩歌班的成員
[00:00:40.320 --> 00:00:41.880]  帶領我們用詩歌
[00:00:41.880 --> 00:00:43.840]  去讚美我們的主耶穌基督
[00:00:43.840 --> 00:00:47.560]  將焦點放在耶穌基督身上
[00:00:47.560 --> 00:00:49.920]  繼續我的回應照明
[00:00:49.920 --> 00:00:52.400]  結連社區的講道系列
[00:00:52.400 --> 00:00:55.240]  顛覆榮辱的照明
[00:00:55.240 --> 00:00:56.600]  不知道大家知不知道
[00:00:56.600 --> 00:01:00.520]  以前的上海人或上海女人
[00:01:00.520 --> 00:01:02.560]  有沒有甚麼特質呢
[00:01:02.560 --> 00:01:05.280]  傳聞有一句說話是這樣形容他們的
[00:01:05.280 --> 00:01:08.320]  不怕家中火燒屋
[00:01:08.320 --> 00:01:12.000]  最怕你在街上撲一撲
[00:01:12.000 --> 00:01:13.960]  知不知道為甚麼呢
[00:01:13.960 --> 00:01:15.400]  上海人如果你認識的
[00:01:15.400 --> 00:01:17.280]  或是一些寧波人
[00:01:17.280 --> 00:01:19.680]  其實他們很講求靚
[00:01:19.680 --> 00:01:22.160]  也很講求面子
[00:01:22.160 --> 00:01:24.200]  為免被別人輕看
[00:01:24.200 --> 00:01:27.680]  所以他們就將所有值錢的東西
[00:01:27.680 --> 00:01:29.680]  都穿戴在身上
[00:01:29.680 --> 00:01:32.840]  所以身上總是穿金戴銀
[00:01:32.840 --> 00:01:34.280]  家裡沒甚麼值錢的東西
[00:01:34.280 --> 00:01:35.440]  因為全部在身上
