
[00:00:00.000 --> 00:00:01.500]  今天是八十週年
[00:00:01.500 --> 00:00:03.780]  很想和大家一起來感恩
[00:00:03.780 --> 00:00:07.880]  同樣也是我們一起來繼續依靠我們的神
[00:00:07.880 --> 00:00:09.660]  來向前走
[00:00:09.660 --> 00:00:11.380]  與主同行
[00:00:11.380 --> 00:00:15.180]  八十週年裏面教會都有不同的準備
[00:00:15.180 --> 00:00:20.280]  其中一個就是我們有一個八十週年紀念的襟針
[00:00:20.280 --> 00:00:22.280]  可能有些弟兄姊妹已經拿到
[00:00:22.280 --> 00:00:23.860]  或者你看我們的週刊
[00:00:23.860 --> 00:00:26.160]  或者看這個標誌都見到
[00:00:26.160 --> 00:00:27.480]  就是一個十字架
[00:00:27.480 --> 00:00:32.020]  十字架裏面有八十這個字
[00:00:32.020 --> 00:00:36.320]  我想今天透過這個講道
[00:00:36.320 --> 00:00:44.440]  幫助我們來更多認識八十週年這個標誌的意思是什麼
[00:00:44.440 --> 00:00:46.780]  不單單只是它設計得很漂亮
[00:00:46.780 --> 00:00:50.600]  其實是我們盼望當中提醒我們
[00:00:50.600 --> 00:00:54.720]  當我們看見這個襟針的時候
[00:00:54.720 --> 00:00:56.860]  我們看見這個八十週年的標誌的時候
[00:00:56.860 --> 00:01:00.840]  我們可以提醒神對我們的恩典
[00:01:00.840 --> 00:01:05.000]  提醒我們怎樣繼續去信靠祂
[00:01:05.000 --> 00:01:09.060]  我想和大家來看一段經文約翰福音的三章
[00:01:09.060 --> 00:01:13.000]  是一段我們可能在教會裏面都翻譯得久的時候
[00:01:13.000 --> 00:01:15.000]  久一點我們都有一個印象
[00:01:15.000 --> 00:01:17.540]  特別是講到一個重生的題目
[00:01:17.540 --> 00:01:19.220]  有一位法利塞人
[00:01:19.220 --> 00:01:22.400]  他是猶太人的老師
[00:01:22.400 --> 00:01:23.900]  叫尼哥德姆
[00:01:23.900 --> 00:01:25.820]  或者以前的法文叫尼哥底姆
[00:01:25.820 --> 00:01:27.720]  他來到耶穌的面前
[00:01:27.720 --> 00:01:29.420]  來請教耶穌
[00:01:29.420 --> 00:01:31.260]  去求問耶穌
[00:01:31.260 --> 00:01:32.380]  其中一個最重要的就是
[00:01:32.380 --> 00:01:35.440]  求問祂怎樣可以見到神的國
[00:01:35.440 --> 00:01:37.440]  進入神的國
[00:01:37.440 --> 00:01:40.420]  祂知道耶穌曾經行過不同的神蹟
[00:01:40.420 --> 00:01:43.020]  所以很想和耶穌對話裏面
[00:01:43.020 --> 00:01:46.520]  請教當中來更知道怎樣去
[00:01:46.520 --> 00:01:51.320]  藉著祂所能夠有的信
[00:01:51.320 --> 00:01:53.380]  去進入神的國裏面
[00:01:53.380 --> 00:01:57.560]  所以這亦是一個信心或者信仰的檢視
[00:01:57.560 --> 00:01:59.320]  我們希望藉著這段經文
[00:01:59.320 --> 00:02:00.960]  同樣成為我們今天
[00:02:00.960 --> 00:02:02.660]  在神面前的信仰
[00:02:02.660 --> 00:02:05.100]  一個信心的檢視
[00:02:05.100 --> 00:02:07.200]  這裏其中一句就是提到
[00:02:07.200 --> 00:02:09.200]  耶穌告訴他要重生
[00:02:09.200 --> 00:02:12.640]  尼哥德姆提到人已經老了
[00:02:12.640 --> 00:02:15.340]  怎樣可以重生呢
[00:02:15.340 --> 00:02:17.340]  這個重生就成為我們很多時候
[00:02:17.340 --> 00:02:19.100]  在我們信主之後
[00:02:19.100 --> 00:02:21.380]  我們預備受浸
[00:02:21.380 --> 00:02:25.940]  或者我們經歷裏面覺得我們都要重生
[00:02:25.940 --> 00:02:29.860]  然後耶穌提到要從水和聖靈生
[00:02:29.860 --> 00:02:32.800]  才可以進入神的國
[00:02:32.800 --> 00:02:34.860]  這段經文我想和大家最主要看
[00:02:34.860 --> 00:02:36.160]  其中在後面
[00:02:36.160 --> 00:02:40.160]  耶穌就說了摩西一個歷史的事件
[00:02:40.160 --> 00:02:43.360]  這個事件對以色列人的影響
[00:02:43.360 --> 00:02:46.160]  亦是這個事件來預表耶穌基督
[00:02:46.160 --> 00:02:47.660]  所成就的救恩
[00:02:47.660 --> 00:02:49.160]  亦是提醒我們今天
[00:02:49.160 --> 00:02:52.960]  當我們看見八十週年這個襟針也好
[00:02:52.960 --> 00:02:54.160]  Logo也好
[00:02:54.160 --> 00:02:56.460]  我們應該被提醒的是甚麼
[00:02:56.460 --> 00:02:58.860]  我想邀請大家一起讀這三節經文
[00:02:58.860 --> 00:03:01.760]  在《約翰福音》三章的十三到十五節
[00:03:01.760 --> 00:03:03.560]  大家一起讀完這段經文
[00:03:03.560 --> 00:03:04.860]  預備起
[00:03:04.860 --> 00:03:07.160]  除了從天降下
[00:03:07.160 --> 00:03:09.760]  仍舊在天的人子
[00:03:09.760 --> 00:03:12.160]  沒有人升過天
[00:03:12.160 --> 00:03:15.560]  摩西在曠野怎樣舉蛇
[00:03:15.560 --> 00:03:19.160]  人子也必照樣被舉起來
[00:03:19.160 --> 00:03:24.160]  叫一切順他的道德永生
[00:03:24.160 --> 00:03:26.760]  所以這個是在舊約當中
