
[00:00:00.000 --> 00:00:02.860]  叫我是誰
[00:00:02.860 --> 00:00:06.020]  你還記得嗎?那個成龍
[00:00:06.020 --> 00:00:08.700]  原來呢他就有一個意外還是什麼的
[00:00:08.700 --> 00:00:11.720]  然後呢他就不記得他是誰
[00:00:11.720 --> 00:00:14.680]  然後他呢就很糟糕
[00:00:14.680 --> 00:00:15.680]  就是說一直想知道
[00:00:15.680 --> 00:00:19.260]  就是說他是什麼人
[00:00:19.260 --> 00:00:22.460]  他從什麼地方來的,他的背景是什麼
[00:00:22.460 --> 00:00:25.460]  所以呢,這個問題呢,人到底是誰呢
[00:00:25.460 --> 00:00:27.560]  是一個很有趣的問題
[00:00:27.560 --> 00:00:29.960]  每一個人都想知道,我是誰呢
[00:00:30.360 --> 00:00:33.060]  因為呢,那個西經上面有很多的
[00:00:33.060 --> 00:00:35.760]  那個理論,講給我們聽
[00:00:35.760 --> 00:00:36.760]  聽了人
[00:00:36.760 --> 00:00:39.920]  是什麼的東西
[00:00:39.920 --> 00:00:42.860]  什麼的那個那個那個
[00:00:42.860 --> 00:00:45.640]  物啊,或者說動物啊
[00:00:45.640 --> 00:00:48.640]  那個什麼,對不對?然後呢,你們回到那個
[00:00:48.640 --> 00:00:51.420]  教會裡面,跟一些基督徒
[00:00:51.420 --> 00:00:54.420]  談話的時候,又不一樣了
[00:00:54.420 --> 00:00:57.460]  上帝看人,跟那個西經看人
[00:00:57.460 --> 00:01:00.460]  又不一樣,那真的是
[00:01:00.460 --> 00:01:03.440]  這很糟糕了,那哪一邊
[00:01:03.440 --> 00:01:06.440]  才是對的呢,經法論是對的呢
[00:01:06.440 --> 00:01:09.460]  還是上帝創造人是對的呢
[00:01:09.460 --> 00:01:12.480]  今天,到今天,還是有
[00:01:12.480 --> 00:01:15.500]  這個爭論在裡面,那今天呢,我們就
[00:01:15.500 --> 00:01:18.800]  跟你們看看,人到底是誰
[00:01:18.800 --> 00:01:21.800]  人到底是誰,那如果你不知道你是誰的話呢
[00:01:21.800 --> 00:01:24.800]  那就很可怕的一件事情
[00:01:24.800 --> 00:01:27.820]  前幾年呢
[00:01:27.820 --> 00:01:30.840]  我有個朋友,他蠻年輕的,那個時候
[00:01:30.840 --> 00:01:33.860]  才四十多歲,他有一天呢,去那個
[00:01:33.860 --> 00:01:36.640]  三藩的時候,突然間
[00:01:36.640 --> 00:01:39.720]  他不知道他要去哪裡
[00:01:39.720 --> 00:01:43.700]  他不知道他的那個
[00:01:43.700 --> 00:01:47.060]  公司那個地址,在什麼地方
[00:01:47.060 --> 00:01:50.320]  他不認得那個路
[00:01:51.960 --> 00:01:54.980]  他忘記了他是誰,他忘記了
[00:01:54.980 --> 00:01:58.280]  他那個家是在什麼地方,哎呀,那真的很糟糕
[00:01:58.280 --> 00:01:59.780]  他開到一半
[00:01:59.780 --> 00:02:02.500]  他不知道怎麼辦
[00:02:02.500 --> 00:02:05.700]  他想打電話給他老婆
