
[00:00:00.000 --> 00:00:01.760]  頂著每一早晨
[00:00:01.760 --> 00:00:06.200]  讓我們再一次同心祈禱
[00:00:06.200 --> 00:00:09.840]  主耶穌,我們感謝祢讓我們在祢面前一起敬拜
[00:00:09.840 --> 00:00:11.400]  讓我們就像師哥那樣說
[00:00:11.400 --> 00:00:13.920]  我們在祢面前默念等候
[00:00:13.920 --> 00:00:15.720]  我們仰望祢自己
[00:00:15.720 --> 00:00:17.480]  仰望祢的同在
[00:00:17.480 --> 00:00:20.240]  主耶穌願意祢親自在我們中間
[00:00:20.240 --> 00:00:22.760]  讓我們能夠在敬拜裏面和祢相遇
[00:00:22.760 --> 00:00:24.760]  我們將整個敬拜獻上給祢
[00:00:24.760 --> 00:00:26.000]  求祢閱立
[00:00:26.000 --> 00:00:26.920]  聽我們面前的祈禱
[00:00:26.920 --> 00:00:31.440]  奉主耶穌的名及 阿們
[00:00:31.440 --> 00:00:32.840]  將近十二月的時間
[00:00:32.840 --> 00:00:35.400]  其實在教會傳統裏面
[00:00:35.400 --> 00:00:38.320]  我們通常都會在一個將臨期的日子
[00:00:38.320 --> 00:00:40.280]  即是即將到來的聖誕節
[00:00:40.280 --> 00:00:42.240]  在聖誕節的日子裏面
[00:00:42.240 --> 00:00:44.040]  即將臨期的時段裏面
[00:00:44.040 --> 00:00:45.280]  都選了一段經文
[00:00:45.280 --> 00:00:48.120]  《馬太方第二章》一至二十三節
[00:00:48.120 --> 00:00:49.800]  和大家分享
[00:00:49.800 --> 00:00:52.440]  這段經文其實相信大家很熟悉的了
[00:00:52.440 --> 00:00:53.840]  我相信兩句說話
[00:00:53.840 --> 00:00:56.560]  其實已經總結了這段經文要說的話
[00:00:56.560 --> 00:00:57.880]  這段經文說甚麼呢?
[00:00:57.880 --> 00:00:59.440]  其實是說耶穌的出生
[00:00:59.440 --> 00:01:00.600]  即是耶穌的降生
[00:01:00.600 --> 00:01:04.480]  和說博士向祂獻上禮物
[00:01:04.480 --> 00:01:06.920]  這些我想在過往裏面
[00:01:06.920 --> 00:01:08.240]  有些在學校
[00:01:08.240 --> 00:01:11.400]  即是通常聖誕節裏面做話劇
[00:01:11.400 --> 00:01:14.160]  都會選用的其中一段的段落
[00:01:14.160 --> 00:01:17.120]  去演繹這個片段
[00:01:17.120 --> 00:01:19.400]  雖然一段很耳熟能詳的經文
[00:01:19.400 --> 00:01:21.720]  即是我們可能看那個話劇
[00:01:21.720 --> 00:01:23.440]  都看了很多次了
