
[00:00:00.000 --> 00:00:02.000]  我們先有一個祈禱
[00:00:02.000 --> 00:00:04.000]  為我們的主
[00:00:04.000 --> 00:00:06.000]  我們感謝祢
[00:00:06.000 --> 00:00:08.000]  將祢的話語賜給我們
[00:00:08.000 --> 00:00:10.000]  好成為我們生命的糧
[00:00:10.000 --> 00:00:12.000]  當我們打開思想的時候
[00:00:12.000 --> 00:00:14.000]  求祢讓
[00:00:14.000 --> 00:00:16.000]  講的和聽的人
[00:00:16.000 --> 00:00:18.000]  都同德共助
[00:00:18.000 --> 00:00:20.000]  我們這樣祈禱
[00:00:20.000 --> 00:00:22.000]  奉耶穌基督的名
[00:00:22.000 --> 00:00:24.000]  誠心所願
[00:00:24.000 --> 00:00:26.000]  今天是我第二次
[00:00:26.000 --> 00:00:28.000]  站在這個講台
[00:00:28.000 --> 00:00:30.000]  主任牧師的身份
[00:00:30.000 --> 00:00:32.000]  來講道
[00:00:32.000 --> 00:00:34.000]  我上一次講道的題目
[00:00:34.000 --> 00:00:36.000]  是
[00:00:36.000 --> 00:00:38.000]  「築一座平安的壇」
[00:00:38.000 --> 00:00:40.000]  大家有沒有印象
[00:00:40.000 --> 00:00:42.000]  「Salom」
[00:00:42.000 --> 00:00:44.000]  是我第一句
[00:00:44.000 --> 00:00:46.000]  跟大家講的說話
[00:00:46.000 --> 00:00:48.000]  和我的願望
[00:00:48.000 --> 00:00:52.000]  我3月1日會正式就任
[00:00:52.000 --> 00:00:56.000]  在3月1日正式就任之前
[00:00:56.000 --> 00:00:58.000]  我會有4篇講道
[00:00:58.000 --> 00:01:00.000]  這篇是第2篇
[00:01:00.000 --> 00:01:02.000]  這4篇講道
[00:01:02.000 --> 00:01:04.000]  我視它為
[00:01:04.000 --> 00:01:08.000]  我自己在這裡
[00:01:08.000 --> 00:01:10.000]  目的的一個願景
[00:01:10.000 --> 00:01:12.000]  亦都是
[00:01:12.000 --> 00:01:14.000]  對大家的一個邀請
[00:01:14.000 --> 00:01:18.000]  我第一個願景就是
[00:01:18.000 --> 00:01:20.000]  築一座平安的壇
[00:01:20.000 --> 00:01:22.000]  我們都要一起
[00:01:22.000 --> 00:01:24.000]  下手下腳
[00:01:24.000 --> 00:01:26.000]  築一座平安的壇
[00:01:26.000 --> 00:01:30.000]  第二個願景就是
[00:01:30.000 --> 00:01:32.000]  留下你的水罐子
[00:01:32.000 --> 00:01:34.000]  我今天要跟大家講的
[00:01:34.000 --> 00:01:38.000]  《約翰福音》第4章
[00:01:38.000 --> 00:01:40.000]  是很熟悉的經文
[00:01:40.000 --> 00:01:42.000]  如果回教會一段比較長的時間
[00:01:42.000 --> 00:01:44.000]  大概都會聽過
[00:01:44.000 --> 00:01:46.000]  撒瑪利亞婦人
