
[00:00:00.000 --> 00:00:05.000]  奉主的名,問候弟兄姊妹平安。
[00:00:05.000 --> 00:00:11.000]  各位弟兄姊妹,我和大家一路來看阿哈的故事。
[00:00:11.000 --> 00:00:17.000]  各位弟兄姊妹,我們過去一集來跟大家一起看亞哈皇他的故事。
[00:00:17.000 --> 00:00:23.000]  亞哈皇的故事是獵王記上下的預告。
[00:00:23.000 --> 00:00:29.000]  亞哈皇他的故事可以說是獵王記上的主題。
[00:00:29.000 --> 00:00:36.000]  因為在獵王記上的後面和獵王記下的開始都是亞哈皇朝的。
[00:00:36.000 --> 00:00:44.000]  因為在獵王記上的最後和獵王記下的最初頭都是講到亞哈皇他的故事。
[00:00:44.000 --> 00:00:48.000]  亞哈皇的兒子接他作為,直到第九章才沒有的。
[00:00:48.000 --> 00:00:58.000]  亞哈皇他的兒子傑蘇,他從皇后到獵王記下的第九章才開始。
[00:00:58.000 --> 00:01:05.000]  所以今天我們來到獵王記上的第22章,是獵上最後的章。
[00:01:05.000 --> 00:01:12.000]  所以我們可以看到今天所讀的獵王記上的22章,是這一部分最後的一個章節。
[00:01:12.000 --> 00:01:21.000]  我和大家已經分享了上帝向亞哈的報應,有上中下,有上一上二,現在下二,即是六堂來講他的。
[00:01:21.000 --> 00:01:28.000]  過去我和大家分享了有關亞哈他的收藏,我分開六堂的時間來和大家分享。
[00:01:28.000 --> 00:01:34.000]  大家看到大綱,我給的題目是:亞哈雖然僑莊,但是難逃一死。
[00:01:34.000 --> 00:01:42.000]  所以大家可以看到今天的講題的題目是:亞哈雖然僑障,仍難逃一死。
[00:01:42.000 --> 00:01:46.000]  經文是記在獵王記上22章26到40節。
[00:01:46.000 --> 00:01:51.000]  經文實際在獵王字上22章26到40節。
[00:01:51.000 --> 00:01:54.000]  我和大家來到有三點的分享。
[00:01:54.000 --> 00:01:56.000]  我會和大家分開三部分來分享。
[00:01:56.000 --> 00:01:58.000]  大綱已經有了。
[00:01:58.000 --> 00:02:02.000]  程序表裏面已經有大綱,大家可以跟著看。
[00:02:02.000 --> 00:02:08.000]  正如剛才我看到這段經文裏面有一個副主題。
[00:02:08.000 --> 00:02:14.000]  同時我和大家看到的這段經文裏面有一個副題。
[00:02:14.000 --> 00:02:22.000]  人認為的意外是上帝的特意用意。
[00:02:22.000 --> 00:02:27.000]  人認為是意外,但是在神的角度來看,這是故意的事情。
[00:02:27.000 --> 00:02:36.000]  所以我覺得聖經很好,讓我從聖經的人物當中可以看到上帝怎樣安排一個人的人生。
[00:02:36.000 --> 00:02:42.000]  所以從聖經裏面我們可以看到神怎樣為每一個人的人生做好安排。
[00:02:42.000 --> 00:02:47.000]  因為我們很多時候亂說話。
[00:02:47.000 --> 00:02:51.000]  但是最重要是看聖經怎樣看事,怎樣說話。
[00:02:51.000 --> 00:02:55.000]  今天的經文就是,亞克王他以為是意外。
[00:02:55.000 --> 00:02:59.000]  今天的經文我們看到亞克王他以為這是一種意外。
[00:02:59.000 --> 00:03:03.000]  意外身亡。
[00:03:03.000 --> 00:03:10.000]  英文最重要是untimely death,有哪一個死亡是及時的。
[00:03:10.000 --> 00:03:13.000]  亞克王的死亡是即時的。
[00:03:13.000 --> 00:03:17.000]  但是上帝認為亞克王的死亡是timely,是因為上帝說了。
[00:03:17.000 --> 00:03:22.000]  但是在神的角度來看,亞克王他的死亡是定命的。
[00:03:22.000 --> 00:03:29.000]  所以各位聽眾姐妹,聖經是教訓於獨責和correction,要更正是很有意思的。
[00:03:29.000 --> 00:03:34.000]  所以在聖經裏面有教訓獨責的作用,很有意思。
[00:03:34.000 --> 00:03:40.000]  所以讓大家明白一件事,今天要更正你的思想不是我更正你的思想,而是聖經更正我們的思想。
[00:03:40.000 --> 00:03:45.000]  所以我們今天受到聖經的更正我們的思想是聖經的主義。
[00:03:45.000 --> 00:03:50.000]  好,我現在要交代前文,就是22章1到25節是說些什麼。
[00:03:50.000 --> 00:03:56.000]  現在讓我交代一下在先前的經文從第21節到25節說什麼東西。
[00:03:56.000 --> 00:04:05.000]  這22章是說亞克王要和敘利亞打仗。
[00:04:05.000 --> 00:04:10.000]  22章是說亞克王要和敘利亞打一場仗。
[00:04:10.000 --> 00:04:17.000]  聖經是用亞蘭,亞蘭是他的舊名。
[00:04:17.000 --> 00:04:20.000]  亞蘭是他原本敘利亞的舊名字。
[00:04:20.000 --> 00:04:22.000]  今天是敘利亞。
[00:04:22.000 --> 00:04:26.000]  敘利亞,是不是你看到新聞仍然有這個國家?
[00:04:26.000 --> 00:04:29.000]  所以今天我們依然在新聞裏面看到這個國家。
[00:04:29.000 --> 00:04:32.000]  敘利亞的小朋友很慘,有沒有看到新聞?
[00:04:32.000 --> 00:04:35.000]  現在在敘利亞那邊的小朋友很淒涼。
[00:04:35.000 --> 00:04:38.000]  所以我覺得聖經說的話不是天馬行空。
[00:04:38.000 --> 00:04:42.000]  所以聖經所說的東西並不是天馬行空。
[00:04:42.000 --> 00:04:43.000]  是真的有這種國家的。
[00:04:43.000 --> 00:04:45.000]  是真的有這樣的國家。
[00:04:45.000 --> 00:04:46.000]  那時候很壞啊。
[00:04:46.000 --> 00:04:48.000]  當時是非常糟糕的。
[00:04:48.000 --> 00:04:49.000]  今天呢?
[00:04:49.000 --> 00:04:50.000]  今天又怎麼樣?
[00:04:50.000 --> 00:04:51.000]  都很壞啊。
[00:04:51.000 --> 00:04:53.000]  也不好,不到多少。
[00:04:53.000 --> 00:04:59.000]  現在的敘利亞總統,是eye doctor來的。
[00:04:59.000 --> 00:05:04.000]  是眼科醫生,是英國受訓練的。
[00:05:04.000 --> 00:05:07.000]  他現在的殘酷不是我今天經文之內。
[00:05:07.000 --> 00:05:13.000]  但是他今天的查過,查過,我們可以從新聞上看到了。
[00:05:13.000 --> 00:05:15.000]  Hillary Clinton都要罵他。
[00:05:15.000 --> 00:05:20.000]  連美國國務卿也罵他。
[00:05:20.000 --> 00:05:27.000]  所以我們看到敘利亞這個不好的國家。
[00:05:27.000 --> 00:05:29.000]  現在是2012年?
[00:05:29.000 --> 00:05:31.000]  今天是2021年。
[00:05:31.000 --> 00:05:35.000]  阿哈王是主前700年。
[00:05:35.000 --> 00:05:38.000]  阿哈王是主前400年的時間的人物。
[00:05:38.000 --> 00:05:41.000]  你們的數學,回來好不好?
[00:05:41.000 --> 00:05:42.000]  多少年前?
[00:05:42.000 --> 00:05:44.000]  多少年前?
[00:05:44.000 --> 00:05:46.000]  2012加700,是吧?
[00:05:46.000 --> 00:05:49.000]  2012年加400。
