
[00:00:00.000 --> 00:00:02.380]  在過去大半年
[00:00:02.380 --> 00:00:08.120]  我們都留意到社會上有一個新的詞句、名詞
[00:00:08.120 --> 00:00:10.500]  來描述我們的警方
[00:00:10.500 --> 00:00:12.500]  就是「撕裂」
[00:00:12.500 --> 00:00:17.180]  「撕裂」這個名詞就不是新的名詞
[00:00:17.180 --> 00:00:20.140]  事實上在一個群體之中
[00:00:20.140 --> 00:00:24.500]  人際關係的相處從來都不容易
[00:00:24.500 --> 00:00:29.700]  所以「撕裂」這種情況其實自古以來都有了
[00:00:29.700 --> 00:00:31.860]  親密如夫妻
[00:00:31.860 --> 00:00:35.380]  尚且需要婚姻輔導
[00:00:35.380 --> 00:00:40.540]  何況整個社會每個人都不相同
[00:00:40.540 --> 00:00:45.740]  不過如果「撕裂」這種現象成為一個社會的大氣候
[00:00:45.740 --> 00:00:51.700]  甚至成為一些不同的群體的群眾運動的時候
[00:00:51.700 --> 00:00:54.820]  不禁會令到我們不知怎麽辦
[00:00:54.820 --> 00:00:58.740]  特別是我們相信基督的人
[00:00:58.740 --> 00:01:01.940]  我們說基督是帶給我們和睦的
[00:01:01.940 --> 00:01:03.940]  叫我們和好的
[00:01:03.940 --> 00:01:07.220]  其實是很背道而馳
[00:01:07.220 --> 00:01:10.300]  和這個撕裂的狀況調轉的
[00:01:10.300 --> 00:01:13.740]  不過我們作為一個和平之子
[00:01:13.740 --> 00:01:17.700]  但是身處在一個撕裂的境況之中
[00:01:17.700 --> 00:01:19.700]  那即是怎樣呢?
[00:01:19.700 --> 00:01:26.140]  我們信耶穌的人真的在很多這樣的迷茫之中
[00:01:26.140 --> 00:01:30.780]  我今天要和大家看的就是聖經的先例
[00:01:30.780 --> 00:01:32.780]  慢的
[00:01:32.780 --> 00:01:36.220]  人根本是很麻煩的人性
[00:01:36.220 --> 00:01:38.220]  耶穌也不用來了
[00:01:38.220 --> 00:01:41.620]  要人際關係和睦
[00:01:41.620 --> 00:01:45.220]  根本是要扭轉我們的人性的
[00:01:45.220 --> 00:01:48.260]  不過原來仍然是可以的
