
[00:00:00.000 --> 00:00:04.700]  在講禮節前,我們再次低頭禱告
[00:00:04.700 --> 00:00:08.980]  卡天花在你面前,恭敬仰望你自己
[00:00:08.980 --> 00:00:11.800]  願你自己臨在他人當中
[00:00:11.800 --> 00:00:14.720]  叫聖靈居住在我們心裏面的時候
[00:00:14.720 --> 00:00:17.560]  成為我們眾人的鼓勵和提醒
[00:00:17.560 --> 00:00:20.480]  無論孩子說的,還是聽的時候
[00:00:20.480 --> 00:00:23.120]  我們都同感聖靈的幫助
[00:00:23.120 --> 00:00:25.480]  願我們心裏所想的
[00:00:25.480 --> 00:00:28.280]  口裏的言語,蒙主月立
[00:00:28.280 --> 00:00:32.620]  仰望禱告,奉求耶穌命求,阿門
[00:00:32.620 --> 00:00:37.440]  實在每一間教會都是上帝所欣賞的
[00:00:37.440 --> 00:00:40.520]  所接納的,都是主的教會
[00:00:40.520 --> 00:00:43.900]  所以區會本身來講
[00:00:43.900 --> 00:00:45.900]  給了我一個題目
[00:00:45.900 --> 00:00:49.000]  是保守聖靈所賜的合一
[00:00:49.000 --> 00:00:50.480]  還給了我經文
[00:00:50.480 --> 00:00:52.180]  這個經文是區會所給的
[00:00:52.180 --> 00:00:55.160]  是《耳福所書》四章一到十六節
[00:00:55.160 --> 00:00:58.680]  這段經文正正提醒我們
[00:00:58.680 --> 00:01:03.160]  本身教會很重要的三件事情
[00:01:03.160 --> 00:01:05.800]  我們留意到的三件事情
[00:01:05.800 --> 00:01:09.920]  在這裏我們首先第一到第三節
[00:01:09.920 --> 00:01:12.320]  《耳福所書》第四章一到三節
[00:01:12.320 --> 00:01:15.240]  「我為主作酬勞的勸你們
[00:01:15.240 --> 00:01:17.960]  既然蒙召行事為人
[00:01:17.960 --> 00:01:21.760]  就要與你們蒙呼召的相稱
[00:01:21.760 --> 00:01:25.640]  凡是謙虛溫柔忍耐用愛心互相寬容
[00:01:25.640 --> 00:01:27.640]  以和平彼此聯繫
[00:01:27.640 --> 00:01:31.000]  竭力保守聖靈所賜的合一」
[00:01:31.000 --> 00:01:33.360]  要保守聖靈所賜的合一
[00:01:33.360 --> 00:01:35.160]  首先第一件事是
[00:01:35.160 --> 00:01:37.920]  要有一個這樣的心志
[00:01:37.920 --> 00:01:40.120]  或者有一個這樣的心願
[00:01:40.120 --> 00:01:43.240]  如果你沒有這樣的心願,沒有這樣的心志
[00:01:43.240 --> 00:01:45.160]  那又如何呢?
[00:01:45.160 --> 00:01:48.080]  就像家人一起要去吃飯
[00:01:48.080 --> 00:01:51.800]  如果你不想和親友相聚,沒有這樣的心願
[00:01:51.800 --> 00:01:53.760]  約極時間都約不到
[00:01:53.760 --> 00:01:55.240]  總是遷就不到自己
[00:01:55.240 --> 00:01:58.720]  但如果你有心想和親戚朋友相聚
[00:01:58.720 --> 00:02:02.440]  你無論如何都會安排到時間和他們相聚
[00:02:02.440 --> 00:02:07.160]  所以有時候不在乎時間、環境或者安排
[00:02:07.160 --> 00:02:09.960]  心是首要的
[00:02:09.960 --> 00:02:14.920]  所以有一個合一的心志是需要的
[00:02:14.920 --> 00:02:18.000]  尋求合一的原因是
[00:02:18.000 --> 00:02:21.600]  聖經所說是我們蒙呼召的一群人
[00:02:21.600 --> 00:02:24.200]  我們是蒙呼召出來的
[00:02:24.200 --> 00:02:26.920]  神從我們不同的場景
[00:02:26.920 --> 00:02:30.240]  或者不同的環境、背景裡面呼召我們
[00:02:30.240 --> 00:02:32.560]  我們有些是聰明有智慧的
[00:02:32.560 --> 00:02:35.200]  有些是愚蠢沒有學識的
[00:02:35.200 --> 00:02:39.440]  但上帝都將我們放在同一間教會裡面
[00:02:39.440 --> 00:02:41.920]  同一個群體當中
[00:02:41.920 --> 00:02:45.160]  有時候不是我們選擇的信仰
[00:02:45.160 --> 00:02:49.160]  是耶穌基督自己親自選擇我們
[00:02:49.160 --> 00:02:51.960]  進到耶穌基督裡面
[00:02:51.960 --> 00:02:54.240]  進到教會的群體當中
[00:02:54.240 --> 00:02:57.280]  我想當然有些朋友、等姐妹信耶穌
[00:02:57.280 --> 00:03:01.360]  他們會比較過不同的宗教信仰
[00:03:01.360 --> 00:03:06.120]  但無論如何都不會完全比較所有的宗教信仰
[00:03:06.120 --> 00:03:08.720]  我們可能比較過民間宗教
[00:03:08.720 --> 00:03:10.640]  可能比較過我們熟悉的佛教
[00:03:10.640 --> 00:03:12.720]  或者道教等等
[00:03:12.720 --> 00:03:16.720]  再多一點的儒教、回教、印度教
[00:03:16.720 --> 00:03:18.480]  巴斯哈爾教等等
[00:03:18.480 --> 00:03:21.520]  我們未必逐個教派比對完
[00:03:21.520 --> 00:03:22.920]  然後我們才選擇
[00:03:22.920 --> 00:03:24.880]  啊,這麼多都比較了
[00:03:24.880 --> 00:03:27.200]  我選基督教吧
[00:03:27.200 --> 00:03:28.960]  可能有些朋友會這樣
[00:03:28.960 --> 00:03:31.200]  不過大部分不過在內
[00:03:31.200 --> 00:03:33.320]  都不是這樣信耶穌的
[00:03:33.320 --> 00:03:35.160]  我在中學階段信耶穌
[00:03:35.160 --> 00:03:37.240]  那時候懂得些什麼呢?
[00:03:37.240 --> 00:03:41.040]  只懂得跟同學討論有沒有神
[00:03:41.040 --> 00:03:42.040]  然後討論到
[00:03:42.040 --> 00:03:43.960]  啊,也有一個神很合理
[00:03:43.960 --> 00:03:45.480]  然後說耶穌基督愛我
[00:03:45.480 --> 00:03:46.960]  就是這麼簡單
[00:03:46.960 --> 00:03:48.600]  沒有太多的比較宗教
[00:03:48.600 --> 00:03:50.560]  就決定信耶穌
