
[00:00:00.000 --> 00:00:06.520]  今天的講題是信仰生活升級的第三講
[00:00:06.520 --> 00:00:08.520]  這個"級"是level的意思
[00:00:08.520 --> 00:00:11.440]  我們的信仰生活是要升級的
[00:00:11.440 --> 00:00:15.720]  如何升級呢?就是能夠竭力與衆人和睦
[00:00:15.720 --> 00:00:20.600]  這個題目似乎對我們現代人不太吸引
[00:00:20.600 --> 00:00:22.120]  與衆人和睦
[00:00:22.120 --> 00:00:25.560]  我們現代人都很想念自己
[00:00:25.560 --> 00:00:27.880]  我們覺得自己搞定就可以了
[00:00:27.880 --> 00:00:32.440]  通常教會里面都有這樣的思維
[00:00:32.440 --> 00:00:33.720]  就是我自己好就可以了
[00:00:33.720 --> 00:00:36.080]  我不需要認識很多人
[00:00:36.080 --> 00:00:37.520]  舉個例子
[00:00:37.520 --> 00:00:39.120]  當你生日的時候
[00:00:39.120 --> 00:00:40.040]  你會想
[00:00:40.040 --> 00:00:44.880]  究竟我生日應該是自己慶祝
[00:00:44.880 --> 00:00:46.320]  最多是兩夫妻慶祝
[00:00:46.320 --> 00:00:48.880]  還是請朋友一起慶祝呢?
[00:00:48.880 --> 00:00:52.520]  請朋友一起慶祝好像很大陣仗
[00:00:52.520 --> 00:00:54.680]  不如自己搞定
[00:00:54.680 --> 00:00:57.120]  我記得有一個朋友說過
[00:00:57.120 --> 00:00:58.240]  他小時候很窮
[00:00:58.240 --> 00:00:59.320]  他生日的時候
[00:00:59.320 --> 00:01:01.720]  媽媽給他一隻雞蛋喫
[00:01:01.720 --> 00:01:04.520]  怕兄弟姐妹搶了雞蛋喫
[00:01:04.520 --> 00:01:06.960]  所以他就躲在廁所裏
[00:01:06.960 --> 00:01:09.440]  生日就啃了一隻雞蛋
[00:01:09.440 --> 00:01:10.560]  他很記得
[00:01:10.560 --> 00:01:14.040]  那個毒食的感覺其實是很辛苦的
[00:01:14.040 --> 00:01:17.680]  我們說到人如果不能與衆人和睦
[00:01:17.680 --> 00:01:19.040]  只想念自己一個人
[00:01:19.040 --> 00:01:20.960]  其實我們是一個孤島
[00:01:20.960 --> 00:01:23.080]  我們將自己困在這裏
[00:01:23.080 --> 00:01:26.000]  我們要知道如何去學習
[00:01:26.000 --> 00:01:29.760]  與別人的生命有連結
[00:01:29.760 --> 00:01:32.400]  但是我們與神的關係
[00:01:32.400 --> 00:01:36.040]  其實可以從人的關係上顯示出來
[00:01:36.040 --> 00:01:37.480]  如果我們很愛神
[00:01:37.480 --> 00:01:39.280]  但是我們對身邊的人
[00:01:39.280 --> 00:01:41.480]  是不可以忍受的話
[00:01:41.480 --> 00:01:42.720]  我們會發覺
[00:01:42.720 --> 00:01:46.240]  其實我們與神的關係不是那麼好
[00:01:46.240 --> 00:01:47.800]  所以希望弟弟姐妹
[00:01:47.800 --> 00:01:50.560]  我們早點回來崇拜的時候
[00:01:50.560 --> 00:01:51.480]  我們感謝神
[00:01:51.480 --> 00:01:53.320]  我們教會外面有一個會員
[00:01:53.320 --> 00:01:56.760]  大家可以有溝通的時間聊聊天
[00:01:56.760 --> 00:01:58.040]  在崇拜之前
[00:01:58.040 --> 00:01:59.600]  大家都可以早點回來
[00:01:59.600 --> 00:02:02.120]  一起參加祈禱的時間
[00:02:02.120 --> 00:02:05.080]  彼此在祈禱當中有溝通
[00:02:05.080 --> 00:02:07.360]  剛纔我看到這個短片的時候
[00:02:07.360 --> 00:02:09.360]  不僅配音很好
[00:02:09.360 --> 00:02:13.280]  更加看到原來回教徒真的很誠懇
[00:02:13.280 --> 00:02:15.960]  我想如果我們教會零下十度
[00:02:15.960 --> 00:02:18.520]  那些人過來祈禱會
[00:02:18.520 --> 00:02:21.880]  那我們祈禱會不會很開心
[00:02:21.880 --> 00:02:24.480]  祈禱好像沒什麼人來參加
[00:02:24.480 --> 00:02:27.160]  因爲其中我們與人的關係
[00:02:27.160 --> 00:02:28.480]  可能是很疏離
[00:02:28.480 --> 00:02:29.520]  我們不知道
[00:02:29.520 --> 00:02:33.040]  爲什麼與人有一個和睦的關係
[00:02:33.040 --> 00:02:37.800]  最近想起人生苦難的問題
[00:02:37.800 --> 00:02:38.920]  人生的苦難
[00:02:38.920 --> 00:02:40.160]  我在思想的時候
[00:02:40.160 --> 00:02:41.800]  可以分成兩大類
[00:02:41.800 --> 00:02:42.760]  一個是天災
[00:02:42.760 --> 00:02:44.440]  一個是人禍
[00:02:44.440 --> 00:02:47.880]  不知道你們喜歡哪一類多些
[00:02:47.880 --> 00:02:50.000]  天災慘還是人禍慘呢
[00:02:50.000 --> 00:02:51.960]  很多人在爭拗
[00:02:51.960 --> 00:02:55.000]  最近韓亞班機的失事
[00:02:55.000 --> 00:02:56.160]  如果是天災
[00:02:56.160 --> 00:02:57.280]  就是天氣不好
[00:02:57.280 --> 00:02:58.920]  突然間行雷什麼的
[00:02:58.920 --> 00:03:02.800]  飛機會有失事
[00:03:02.800 --> 00:03:04.960]  我們多數說可能是人禍
[00:03:04.960 --> 00:03:06.560]  究竟人禍是什麼呢
[00:03:06.560 --> 00:03:09.360]  是不是機長開飛機黑晚睡
[00:03:09.360 --> 00:03:10.080]  不小心
[00:03:10.080 --> 00:03:11.920]  或者機件故障
[00:03:11.920 --> 00:03:12.960]  我們不知道
[00:03:12.960 --> 00:03:14.680]  無論天災還是人禍
[00:03:14.680 --> 00:03:17.320]  我們發覺都是很痛苦的
[00:03:17.320 --> 00:03:19.040]  人生裏面我們發覺
[00:03:19.040 --> 00:03:22.600]  信耶穌的人不會免去這些苦難
[00:03:22.600 --> 00:03:24.880]  但是我們知道在苦難當中
[00:03:24.880 --> 00:03:27.720]  有神與我們同在
[00:03:27.720 --> 00:03:29.520]  說到人禍
