
[00:00:00.000 --> 00:00:10.700]  各位弟兄姊妹平安,在講到之前,好不好,請我們同心,我們一同來禱告。
[00:00:10.700 --> 00:00:21.900]  親愛的天父,我們非常感謝你,因爲是你召聚我們,今天早上能夠回到你的家,你的教會來。
[00:00:21.900 --> 00:00:26.700]  我們一同的敬拜你,一同的來親近你。
[00:00:26.700 --> 00:00:35.100]  現在我們恭敬的來到你的面前,我們願意打開你的話去研讀。
[00:00:35.100 --> 00:00:43.100]  求你的靈來光照我們,也引導我們進到你的真理的裏面。
[00:00:43.100 --> 00:00:50.400]  我們將仰望禱告,侍奉主耶穌基督的名求。阿們。
[00:00:50.400 --> 00:00:59.600]  大家好,很感謝神的恩典,讓我可以今天跟大家一同來讀神的話。
[00:00:59.600 --> 00:01:12.100]  我是一個來了柳西林才一年多的人,所以我是一個小學生,什麼都不大懂。
[00:01:12.100 --> 00:01:19.800]  所以當我來到柳西林以後,我就很想了解這裏的教會到底怎麼樣。
[00:01:19.800 --> 00:01:27.800]  所以假如我碰到一些基督徒,我常常問他們,有哪些教會你認識的?
[00:01:27.800 --> 00:01:35.000]  有哪些是比較興旺的教會?有哪些是比較大的教會?
[00:01:35.000 --> 00:01:44.300]  因爲我們總希望到一間很興旺的教會,很被神使用的教會。
[00:01:44.300 --> 00:01:53.300]  所以今天我也想請教各位,你們都來了柳西林也很長的時間,一段的時間。
[00:01:53.300 --> 00:02:02.300]  在你的心目當中,你認爲最成功的教會是哪一間呢?
[00:02:02.300 --> 00:02:20.300]  有沒有一些很成功的教會?你覺得他成功,你是憑什麼標準呢?
[00:02:20.300 --> 00:02:31.300]  人數很多,禮拜堂很大,他們的事工很興旺,他們有很多不同的節目。
[00:02:31.300 --> 00:02:36.300]  所以這間教會一定是好的教會。
[00:02:36.300 --> 00:02:47.300]  在以往,因爲我很早已經念神學,所以舊的一個年代,
[00:02:47.300 --> 00:03:02.300]  我們的老師常常說,當你們神學畢業以後,你們會出去募會,你們募會最主要就是你成爲一間增長的教會。
[00:03:02.300 --> 00:03:11.300]  什麼是增長的教會?就是每一年都有人來信主,來受洗加入教會。
[00:03:11.300 --> 00:03:19.300]  那你教會本來就50個人,後來慢慢變成80個人,後來慢慢變成120個人。
[00:03:19.300 --> 00:03:29.300]  那你的教會就不斷成長,所以一間增長的教會就是一間好的教會。
[00:03:29.300 --> 00:03:36.300]  我相信我們也承認,因爲當教會有神的靈在當中,
[00:03:36.300 --> 00:03:43.300]  當教會有神的同在的時候,這間教會很自然就成長了。
[00:03:43.300 --> 00:03:56.300]  但是最近這一二十年來,常常講另外一個這不是增長的教會,是健康的教會。
[00:03:56.300 --> 00:04:05.300]  有些教會可能人數很多,但是教會里面問題也很多。
[00:04:05.300 --> 00:04:15.300]  大家弟兄姊妹不和諧,我這個部門要發展,你這個部門也擋住我。
[00:04:15.300 --> 00:04:20.300]  大家在爭吵,大家好像在比較一樣。
[00:04:20.300 --> 00:04:31.300]  是一間成長的教會,一個很健康的教會,纔是一間好的教會。
[00:04:31.300 --> 00:04:41.300]  今天也有一些基督教的機構提供一些條件,提供一些研究,
[00:04:41.300 --> 00:04:55.300]  你可以根據他們的調查來看看自己的教會是不是一間健康的教會。
[00:04:55.300 --> 00:05:09.300]  其實地上的教會是不會有完全的,從來沒有一間是最好最完美的教會。
[00:05:09.300 --> 00:05:15.300]  那麼我們必須要回到聖經裏面去看。
[00:05:15.300 --> 00:05:29.300]  我也想問一問各位,你覺得聖經裏面有哪一間教會是最吸引人,最多人羨慕的呢?
[00:05:29.300 --> 00:05:36.300]  那個答案一定就是初期教會。
[00:05:36.300 --> 00:05:43.300]  初期教會是最多人羨慕的教會。
[00:05:43.300 --> 00:05:53.300]  因爲就記載在《使徒行傳》第二章裏面,就是初期教會。
[00:05:53.300 --> 00:06:00.300]  所以今天我很想跟各位一同來思想初期教會。
[00:06:00.300 --> 00:06:06.300]  初期教會他們是怎麼樣的一個情況?
[00:06:06.300 --> 00:06:12.300]  所以我會跟各位一同來思想初期教會。
[00:06:12.300 --> 00:06:21.300]  其實今天也正好是聖靈降臨節,就是五旬節。
[00:06:21.300 --> 00:06:29.300]  剛剛大家唸的《使徒行傳》第二章是五旬節那天發生的事情的後半部。
[00:06:29.300 --> 00:06:41.300]  因爲前半部就是當這羣的使徒耶穌昇天以後,他們聚集在一個樓房上面,同心來禱告。
[00:06:41.300 --> 00:06:49.300]  當他們禱告的時候,聖靈就好像火一樣,分開落在他們個人的頭上。
