
[00:00:00.000 --> 00:00:06.000]  我們在今天的早上已經是接近聖誕節的時候
[00:00:06.000 --> 00:00:07.560]  我想這是今年
[00:00:07.560 --> 00:00:12.760]  這是我們過去從來沒有經歷過的一個聖誕節的前夕
[00:00:12.760 --> 00:00:17.680]  所以當我們想到說本來是一個歡樂的
[00:00:17.680 --> 00:00:21.720]  很多人在過聖誕節是察覺這一生當中最快樂的時間
[00:00:21.720 --> 00:00:22.320]  為什麼
[00:00:22.320 --> 00:00:24.280]  因為可以有很多禮物可以拿
[00:00:24.280 --> 00:00:26.440]  可以有聖誕老公公
[00:00:26.440 --> 00:00:29.280]  好像整個的社會都是歡歡樂樂的
[00:00:29.280 --> 00:00:31.680]  那麼在這樣的一個氛圍之下
[00:00:31.680 --> 00:00:33.440]  我們今天要講的這個信息
[00:00:33.440 --> 00:00:34.600]  可能你會覺得說
[00:00:34.600 --> 00:00:36.600]  啊怎麼會講這個信息呢
[00:00:36.600 --> 00:00:37.920]  親愛的兄弟 我不是故意的
[00:00:37.920 --> 00:00:40.600]  因為這個啟示錄就是要講的這個信息
[00:00:40.600 --> 00:00:42.480]  而且我覺得今天這個信息
[00:00:42.480 --> 00:00:45.360]  對於我們現在處在疫情當中的人
[00:00:45.360 --> 00:00:48.280]  卻是一個非常好的一個時候
[00:00:48.280 --> 00:00:49.880]  可以說這是一個時機
[00:00:49.880 --> 00:00:51.400]  是非常對的一個時機
[00:00:51.400 --> 00:00:52.640]  因為在這個時候
[00:00:52.640 --> 00:00:54.680]  我們在這樣的一個疫情之下
[00:00:54.680 --> 00:00:58.280]  我們來看看怎麼樣子我們才能夠
[00:00:58.280 --> 00:01:00.400]  怎麼樣子我們才能夠
[00:01:00.400 --> 00:01:04.880]  來面對這樣子的一個大環境
[00:01:04.880 --> 00:01:08.880]  今天我們要來看啟示錄第六章十二到十七節
[00:01:08.880 --> 00:01:14.720]  啟示錄第六章十二到十七節
[00:01:14.720 --> 00:01:20.160]  那麼我們看今天這段聖經
[00:01:20.160 --> 00:01:25.080]  這個講到說揭開第六印的時候
[00:01:25.080 --> 00:01:26.720]  我們稍微複習一下
[00:01:26.720 --> 00:01:28.680]  在這個揭開第六印的時候
[00:01:28.680 --> 00:01:31.160]  我們記得在這個揭開第六印的時候
[00:01:31.160 --> 00:01:33.800]  這裡提到說他看見地大震動
[00:01:33.800 --> 00:01:34.800]  日頭變黑
[00:01:34.800 --> 00:01:37.800]  然後像毛布一樣滿月變紅像雪一樣
[00:01:37.800 --> 00:01:40.080]  天上的星辰墜落於地
[00:01:40.080 --> 00:01:42.360]  如同無花果樹被大風搖動
[00:01:42.360 --> 00:01:43.880]  落下未熟的果子一樣
[00:01:43.880 --> 00:01:46.240]  千秋蘿蔔等等等等這樣一直講下來
[00:01:46.240 --> 00:01:47.560]  親愛的兄弟 你們可以看見
[00:01:47.560 --> 00:01:50.280]  這裡是一個非常可怕的一個情況
[00:01:50.280 --> 00:01:53.400]  我們可以說這是一個天崩地裂的情況
[00:01:53.400 --> 00:01:56.640]  那麼我們記得在上個禮拜
[00:01:56.640 --> 00:01:57.600]  我們提到說
