
[00:00:00.000 --> 00:00:04.000]  各位長姐妹早安, 居內平安
[00:00:30.000 --> 00:00:33.000]  原來怪獸的出沒
[00:00:33.000 --> 00:00:37.000]  很多時候是因為人類搞擾了大自然
[00:00:37.000 --> 00:00:42.000]  譬如有一隻怪獸叫古比拉
[00:00:42.000 --> 00:00:46.000]  就是因為人類在海底進行建設
[00:00:46.000 --> 00:00:49.000]  然後吵醒了它
[00:00:49.000 --> 00:00:53.000]  日本有隻怪獸之王戈斯拉
[00:00:53.000 --> 00:00:58.000]  他是因為核能而出現的
[00:00:58.000 --> 00:01:02.000]  因為他用核能作為生命的養分
[00:01:02.000 --> 00:01:06.000]  怪獸和人類的科技息息相關
[00:01:06.000 --> 00:01:11.000]  人強化自己力量時亦帶來獸性
[00:01:11.000 --> 00:01:14.000]  在蜘蛛俠電影系列中
[00:01:14.000 --> 00:01:18.000]  反派的角色很多時是人類和科技結合
[00:01:18.000 --> 00:01:20.000]  而形成的一種怪獸
[00:01:20.000 --> 00:01:25.000]  譬如蜘蛛俠2的反派角色
[00:01:25.000 --> 00:01:27.000]  八爪魚博士
[00:01:27.000 --> 00:01:32.000]  就是人與四隻有智能的巨型機械臂
[00:01:32.000 --> 00:01:34.000]  合成的一隻怪物
[00:01:34.000 --> 00:01:36.000]  人假借科技的力量
[00:01:36.000 --> 00:01:39.000]  將自己變成一隻怪獸
[00:01:39.000 --> 00:01:41.000]  最恐怖的怪獸
[00:01:41.000 --> 00:01:45.000]  鱷魚就是人直接變成了一隻怪獸
[00:01:45.000 --> 00:01:47.000]  狼人也算是其中一種
[00:01:47.000 --> 00:01:49.000]  明明是人
[00:01:49.000 --> 00:01:51.000]  卻是因著某些力量的牽引
[00:01:51.000 --> 00:01:53.000]  牠就變成了狼
[00:01:53.000 --> 00:01:58.000]  沒有了人性就變得只有獸性
[00:01:58.000 --> 00:02:01.000]  哈佛大學有位歷史學者
[00:02:01.000 --> 00:02:03.000]  王德威寫了一本書
[00:02:03.000 --> 00:02:06.000]  叫做《歷史與怪獸》
[00:02:06.000 --> 00:02:11.000]  就是探討現代性和怪獸性
[00:02:11.000 --> 00:02:14.000]  看上來科技越進步
[00:02:14.000 --> 00:02:16.000]  控制人的能力越大
[00:02:16.000 --> 00:02:18.000]  獸性就會越強
[00:02:18.000 --> 00:02:20.000]  因為科技的力量
[00:02:20.000 --> 00:02:24.000]  現代社會可能已經變成一隻大怪獸
[00:02:24.000 --> 00:02:27.000]  不是外面來了一隻怪獸
[00:02:27.000 --> 00:02:31.000]  而是整個社會都變成一隻怪獸
[00:02:31.000 --> 00:02:34.000]  而我們可能活在怪獸之內
[00:02:34.000 --> 00:02:36.000]  奉獻我們的生命
[00:02:36.000 --> 00:02:38.000]  強化這隻怪獸的力量
[00:02:38.000 --> 00:02:41.000]  也因為我們在怪獸裡面
[00:02:41.000 --> 00:02:43.000]  是怪獸的一部分
[00:02:43.000 --> 00:02:46.000]  我們可能以為根本沒有怪獸
[00:02:46.000 --> 00:02:48.000]  舉一個例子
[00:02:48.000 --> 00:02:50.000]  在二次世界大戰的時候
