
[00:00:00.000 --> 00:00:03.160]  我想和你看看他為什麼要寫羅馬書
[00:00:03.160 --> 00:00:05.620]  我們看前看後你會發現
[00:00:05.620 --> 00:00:09.100]  他寫羅馬書因為他很關心羅馬的教會
[00:00:09.100 --> 00:00:11.560]  他看了羅馬書因為他很想
[00:00:11.560 --> 00:00:14.320]  去羅馬以外地方傳福音
[00:00:14.320 --> 00:00:16.260]  羅馬書第一章第十一節這樣說
[00:00:16.260 --> 00:00:18.960]  因為我迫切地想見你們
[00:00:18.960 --> 00:00:22.000]  要把一切屬靈的恩賜分給你們
[00:00:22.000 --> 00:00:23.560]  使你們得以堅固
[00:00:23.560 --> 00:00:26.540]  堅固是羅馬書裡面其中一個主題
[00:00:26.540 --> 00:00:28.220]  他為什麼要寫羅馬書
[00:00:28.220 --> 00:00:30.800]  因為要堅固那裡的信徒
[00:00:30.800 --> 00:00:32.940]  也可以說我在你們中間
[00:00:32.940 --> 00:00:37.460]  因你們彼此的信心而同得安慰
[00:00:37.460 --> 00:00:40.140]  無論是欺劣人、未開化的人
[00:00:40.140 --> 00:00:41.500]  聰明人、愚蠢人
[00:00:41.500 --> 00:00:43.520]  我都欠了他們的債
[00:00:43.520 --> 00:00:46.060]  所以我願意盡我的力量把福音
[00:00:46.060 --> 00:00:48.340]  傳給你們在羅馬的人
[00:00:48.340 --> 00:00:49.520]  你會覺得很奇怪
[00:00:49.520 --> 00:00:51.560]  羅馬人已經是聽到福音的
[00:00:51.560 --> 00:00:54.060]  但是他說我還要去你們那裡
[00:00:54.060 --> 00:00:56.600]  把福音傳給你們
[00:00:56.600 --> 00:00:58.360]  很多時候我們覺得
[00:00:58.360 --> 00:00:59.680]  某人已經聽了福音
[00:00:59.680 --> 00:01:00.760]  他不需要再講福音
[00:01:00.760 --> 00:01:01.880]  因為他已經缺了字
[00:01:01.880 --> 00:01:03.440]  他已經受了洗
[00:01:03.440 --> 00:01:04.960]  但是保羅完全不是這樣看的
[00:01:04.960 --> 00:01:07.520]  保羅說這個福音是上帝的大能
[00:01:07.520 --> 00:01:11.840]  這個福音會堅固你的信仰
[00:01:11.840 --> 00:01:13.760]  保羅不是在想一個人
[00:01:13.760 --> 00:01:16.080]  很多時候我們現在在想一個人缺了字
[00:01:16.080 --> 00:01:19.080]  已經是基督人生的90%了
[00:01:19.080 --> 00:01:20.480]  最後10%
[00:01:20.480 --> 00:01:22.800]  成長就成長,不成長也無所謂
[00:01:22.800 --> 00:01:23.800]  反正都要上天堂
[00:01:23.800 --> 00:01:25.440]  保羅完全不是這樣看的
[00:01:25.440 --> 00:01:28.720]  保羅說你信主只是一個開始
[00:01:28.720 --> 00:01:31.880]  他必須要成長、建立、堅固
[00:01:31.880 --> 00:01:34.560]  於是為了要堅固羅馬的信徒
[00:01:34.560 --> 00:01:37.480]  保羅寫了《羅馬書》
[00:01:37.480 --> 00:01:40.160]  《羅馬書》15章比較結束的時候
[00:01:40.160 --> 00:01:41.520]  他說「我們弟兄們
[00:01:41.520 --> 00:01:44.640]  我本人也深信你們自己充滿良善
[00:01:44.640 --> 00:01:46.640]  有各樣豐富的知識
[00:01:46.640 --> 00:01:48.280]  也能彼此勸誕」
[00:01:48.280 --> 00:01:51.120]  羅馬是一個好的教會
[00:01:51.120 --> 00:01:52.320]  他們是身體獻上
[00:01:52.320 --> 00:01:53.680]  當作活祭的教會
[00:01:53.680 --> 00:01:56.800]  他們有良善
[00:01:56.800 --> 00:01:57.640]  他們有知識
[00:01:57.640 --> 00:01:58.560]  然而保羅說
[00:01:58.560 --> 00:02:00.800]  「但我更大膽寫信給你們」
[00:02:00.800 --> 00:02:02.440]  因為他從來沒有去過羅馬
[00:02:02.440 --> 00:02:03.680]  他不認識弟兄姊妹
[00:02:03.680 --> 00:02:04.640]  但他說「我很大膽
[00:02:04.640 --> 00:02:05.360]  我想寫給你們
[00:02:05.360 --> 00:02:06.800]  因為我是一個仕途
