
[00:00:00.000 --> 00:00:08.000]  今天我繼續跟大家講 以利亞先知的經歷
[00:00:08.000 --> 00:00:12.000]  剛才大家讀經文的時候
[00:00:12.000 --> 00:00:16.000]  你一路讀的時候 你有什麼感想呢?
[00:00:16.000 --> 00:00:20.000]  當然這個感想 你要聯想起我們上一章
[00:00:20.000 --> 00:00:24.000]  上一章所講的事
[00:00:24.000 --> 00:00:27.000]  在這一章聖經裡面 你覺得以利亞
[00:00:27.000 --> 00:00:31.000]  她是很成功還是很失敗呢?
[00:00:31.000 --> 00:00:37.000]  她是很可憐還是很勇敢呢?
[00:00:37.000 --> 00:00:45.000]  答案是視乎你用什麼角度去看以利亞
[00:00:45.000 --> 00:00:47.000]  上一章我們講到以利亞
[00:00:47.000 --> 00:00:49.000]  她在百姓面前
[00:00:49.000 --> 00:00:55.000]  她獨自一人對抗450個巴力的先知
[00:00:55.000 --> 00:00:58.000]  她直接禱告 行了兩個神蹟
[00:00:58.000 --> 00:01:01.000]  降火降雨的神蹟
[00:01:01.000 --> 00:01:08.000]  之後又將那450個巴力的先知殺了
[00:01:08.000 --> 00:01:13.000]  她在眾人眼中 當時她是一個大英雄
[00:01:13.000 --> 00:01:21.000]  是一個非常有輝煌成就的公眾人物
[00:01:21.000 --> 00:01:29.000]  所以說以利亞她是進入人生最高峰最頂峰的時刻
[00:01:29.000 --> 00:01:37.000]  但是時隔可能只是三幾天 甚至是當日
[00:01:37.000 --> 00:01:40.000]  去到這一章所講的以利亞
[00:01:40.000 --> 00:01:45.000]  她卻是表現得驚惶失措
[00:01:45.000 --> 00:01:51.000]  在這裡自怨自艾 沮喪無力
[00:01:51.000 --> 00:01:59.000]  甚至要求死來了結她自己的生命
[00:01:59.000 --> 00:02:04.000]  前後兩件事情相隔只不過是三幾天
[00:02:04.000 --> 00:02:09.000]  為什麼她會由一個人生的高峰
[00:02:09.000 --> 00:02:17.000]  突然間跌到一個人生最低谷的谷底
[00:02:17.000 --> 00:02:30.000]  幸好最後以利亞能夠從她自憐沮喪的幽谷走出來
[00:02:30.000 --> 00:02:34.000]  她繼續被神所用
[00:02:34.000 --> 00:02:37.000]  今天我們要學的功課就是
[00:02:37.000 --> 00:02:39.000]  我們要看看以利亞先知
[00:02:39.000 --> 00:02:42.000]  她怎樣去克服她自己的問題
[00:02:42.000 --> 00:02:45.000]  她怎樣可以得到復興
[00:02:45.000 --> 00:02:49.000]  她怎樣可以得到重新得力
[00:02:49.000 --> 00:02:54.000]  由一個沮喪的人生低谷走出來
[00:02:54.000 --> 00:02:58.000]  繼續去闖高峰
[00:02:58.000 --> 00:03:02.000]  值得我們去看 值得我們去學
[00:03:02.000 --> 00:03:13.000]  我們看今天的經文 列王紀上十九章第三節
[00:03:13.000 --> 00:03:15.000]  我們首先會問一個問題
[00:03:15.000 --> 00:03:19.000]  以利亞先知為什麼要逃命呢
[00:03:19.000 --> 00:03:25.000]  很簡單 因為皇后耶洗別要追殺她
[00:03:25.000 --> 00:03:32.000]  但是我們接著會問 以利亞剛剛才行了兩個神蹟
[00:03:32.000 --> 00:03:35.000]  她那麼有能力
[00:03:35.000 --> 00:03:42.000]  她先前那種面對四百五十個巴力的先知度是毫無懼息
[00:03:42.000 --> 00:03:44.000]  什麼都不怕
[00:03:44.000 --> 00:03:48.000]  那種勇氣去了哪裡呢
[00:03:48.000 --> 00:03:54.000]  為什麼怕得要逃命呢
[00:03:54.000 --> 00:04:01.000]  聖經沒有特別去解釋背後的原因
[00:04:01.000 --> 00:04:06.000]  聖經學者多數是用常理
[00:04:06.000 --> 00:04:10.000]  用心理學的角度去解釋這個現象
[00:04:10.000 --> 00:04:18.000]  我看完之後都覺得他們的解釋和猜測都很合理
[00:04:18.000 --> 00:04:23.000]  其中主要的原因就是
[00:04:23.000 --> 00:04:30.000]  出現了和自己所期待相反的結果
[00:04:30.000 --> 00:04:33.000]  產生極大的挫折感
[00:04:33.000 --> 00:04:37.000]  你期待很好的成績 很好的結果
[00:04:37.000 --> 00:04:40.000]  誰知道發生的事情是極之相反
[00:04:40.000 --> 00:04:45.000]  你會受到很大的打擊 很大的挫敗感
[00:04:45.000 --> 00:04:47.000]  以利亞就是這樣
[00:04:47.000 --> 00:04:50.000]  以利亞在加密山頂上面
[00:04:50.000 --> 00:04:53.000]  可以說是連場的勝利
[00:04:53.000 --> 00:04:56.000]  她做了幾件非常偉大的事
[00:04:56.000 --> 00:04:59.000]  她滿以為藉著這幾件事
[00:04:59.000 --> 00:05:08.000]  就可以令到全國的屬靈方面 信仰方面可以大復興
[00:05:08.000 --> 00:05:12.000]  誰知道結果不是這樣
[00:05:12.000 --> 00:05:18.000]  結果是怎樣 反而導致她有生命危險
[00:05:18.000 --> 00:05:21.000]  她被人追殺
[00:05:21.000 --> 00:05:24.000]  我們可以想像到對於以利亞來說
[00:05:24.000 --> 00:05:26.000]  這是一個極大的打擊
[00:05:26.000 --> 00:05:29.000]  令到她極度之失望
[00:05:29.000 --> 00:05:32.000]  可以說是傷痛
[00:05:32.000 --> 00:05:36.000]  她的勇氣和理智
[00:05:36.000 --> 00:05:39.000]  沒有理智的思考
[00:05:39.000 --> 00:05:42.000]  她的勇氣不知道去了哪裡
[00:05:42.000 --> 00:05:46.000]  她只有一個很自然的人的反應
