
[00:00:00.000 --> 00:00:05.020]  不知道大家有沒有在網上聽過一分鐘的港獨
[00:00:05.020 --> 00:00:08.780]  你可能會說,有沒有搞錯啊
[00:00:08.780 --> 00:00:12.700]  五分鐘零收我也覺得沒辦法接受
[00:00:12.700 --> 00:00:17.120]  一分鐘港獨,簡直是隱瞞啦,是吧
[00:00:17.120 --> 00:00:19.040]  那又未必
[00:00:19.040 --> 00:00:23.920]  港獨這東西呢,就不是說得長才好
[00:00:23.920 --> 00:00:27.800]  說得短呢,其實是很難,很難的
[00:00:28.540 --> 00:00:33.020]  在過去一年裏面呢,我們做了一個不可能的任務
[00:00:33.020 --> 00:00:38.420]  我們花了一年的時間,續章續章,又不是續章的
[00:00:38.420 --> 00:00:41.540]  續本續本看完了十二小先之書
[00:00:41.540 --> 00:00:47.540]  總共有六十七章的聖經,我們不多熟悉的聖經
[00:00:47.540 --> 00:00:53.860]  我們將六十七章的聖經濃縮了,變成了三十二篇的港獨
[00:00:53.860 --> 00:00:57.460]  現在我們講完了,兩個禮拜之前
[00:00:57.460 --> 00:01:00.860]  我又將三十二篇的港獨再濃縮
[00:01:00.860 --> 00:01:04.700]  到五篇的回顧港獨
[00:01:04.700 --> 00:01:08.200]  所以今天是第一篇的回顧港獨
[00:01:08.200 --> 00:01:10.780]  所以我們講回到河西雅書
[00:01:10.780 --> 00:01:18.420]  但我們之後還有四篇,所以將三十二篇港獨濃縮回去給五篇的回顧港獨
[00:01:18.420 --> 00:01:21.060]  最後再濃縮
[00:01:21.060 --> 00:01:26.100]  變成了十三個一分鐘的港獨
[00:01:26.100 --> 00:01:27.100]  行不行啊
[00:01:27.680 --> 00:01:30.800]  爲什麼是十三呢?是因爲我們還有一個隱言
[00:01:30.800 --> 00:01:34.140]  再加十二個小先知
[00:01:34.140 --> 00:01:37.820]  每一個小先知有一個一分鐘的港獨
[00:01:37.820 --> 00:01:40.720]  當然,你要做得精準
