
[00:00:00.000 --> 00:00:05.260]  「除舊歲 虛舊我 穿新衣 迎新年」
[00:00:30.000 --> 00:00:34.500]  之前的一天 她一定會洗頭洗澡
[00:00:34.500 --> 00:00:37.420]  洗澡當然是每晚都洗澡
[00:00:37.420 --> 00:00:40.600]  她的意思是 她一定會洗頭
[00:00:40.600 --> 00:00:43.080]  一定會全身乾淨
[00:00:43.080 --> 00:00:48.280]  然後星期日回到神殿裡敬拜神
[00:00:48.280 --> 00:00:51.760]  我相信心態是更加重要的
[00:00:51.760 --> 00:00:54.700]  今天想跟大家分享一個題目
[00:00:54.700 --> 00:00:57.160]  叫「穿上新衣裳」
[00:00:57.160 --> 00:01:00.120]  《國內世書》三章十二至十四節
[00:01:00.120 --> 00:01:02.800]  「穿上新衣裳」
[00:01:02.800 --> 00:01:09.600]  最近在網頁看到一個
[00:01:09.600 --> 00:01:14.760]  一個男士穿衣服的廣告
[00:01:14.760 --> 00:01:18.140]  他說新年的時候穿什麼衣服呢
[00:01:18.140 --> 00:01:21.320]  可以多賺點利是
[00:01:21.320 --> 00:01:27.280]  這個網頁是說一些年輕的男子
[00:01:27.280 --> 00:01:28.860]  穿什麼衣服呢
[00:01:28.860 --> 00:01:31.140]  我就看一看 穿什麼衣服呢
[00:01:31.140 --> 00:01:33.380]  一身時尚的造型
[00:01:33.380 --> 00:01:36.060]  就見新親戚朋友當中拜年
[00:01:36.060 --> 00:01:38.340]  就鬥得更多利是
[00:01:38.340 --> 00:01:42.060]  可能是穿搭 或者衣服的配襯上
[00:01:42.060 --> 00:01:43.100]  他有幾件
[00:01:43.100 --> 00:01:46.060]  第一件就是大衣外套
[00:01:46.060 --> 00:01:50.140]  原來一件的外套是很醒神的
[00:01:50.140 --> 00:01:52.420]  或者是丹寧的外套
[00:01:52.420 --> 00:01:55.300]  又或者是大馬的毛衣
[00:01:55.300 --> 00:01:58.180]  或者是打底格仔恤衫
[00:01:58.180 --> 00:02:00.040]  有沒有印象
[00:02:00.040 --> 00:02:02.440]  格仔恤衫也有
[00:02:02.440 --> 00:02:03.940]  大馬的頸巾
[00:02:03.940 --> 00:02:05.140]  我說大馬的頸巾
[00:02:05.140 --> 00:02:07.620]  男孩子也披大馬的頸巾嗎
[00:02:07.620 --> 00:02:10.940]  他說除了這些之外
[00:02:10.940 --> 00:02:13.900]  如果你戴一個文青的眼鏡
[00:02:13.900 --> 00:02:16.300]  親友見到你
[00:02:16.300 --> 00:02:19.420]  這個真是文質彬彬
[00:02:19.420 --> 00:02:21.940]  可能很乖
[00:02:21.940 --> 00:02:25.140]  雖然這些廣告的噱頭
[00:02:25.140 --> 00:02:29.700]  都是吸引你去訂那些衣服
[00:02:29.700 --> 00:02:32.540]  我相信新的衣服
[00:02:32.540 --> 00:02:34.980]  是令人耳目一新的
[00:02:34.980 --> 00:02:36.220]  人家也很喜歡
[00:02:36.220 --> 00:02:37.940]  見到你很漂亮
[00:02:37.940 --> 00:02:42.140]  你穿這身的衣服
[00:02:42.140 --> 00:02:44.700]  今天要和大家分享幾節經文
[00:02:44.700 --> 00:02:46.460]  我們一起讀這幾節經文
[00:02:46.460 --> 00:02:49.460]  所以你們既是臣的選民
[00:02:49.460 --> 00:02:50.980]  聖潔蒙愛的人
[00:02:50.980 --> 00:02:52.420]  就要傳憐憫
[00:02:52.420 --> 00:02:53.980]  恩慈謙虛
[00:02:53.980 --> 00:02:55.780]  溫柔忍耐的心
[00:02:55.780 --> 00:02:58.500]  倘若這人與那人有嫌隙
[00:02:58.500 --> 00:03:01.500]  總要彼此包容彼此饒恕
[00:03:01.500 --> 00:03:03.580]  主怎樣饒恕了你們
[00:03:03.580 --> 00:03:06.180]  你們也要怎樣饒恕人
[00:03:06.180 --> 00:03:07.660]  在這一切之外
[00:03:07.660 --> 00:03:09.220]  要傳授愛心
[00:03:09.220 --> 00:03:12.660]  愛心就是聯絡傳得的
[00:03:12.660 --> 00:03:16.460]  今天我們要講穿新衣服
[00:03:16.460 --> 00:03:18.780]  為甚麼要穿新衣服呢
[00:03:18.780 --> 00:03:20.060]  原來我們的身份
[00:03:20.060 --> 00:03:22.620]  是一個蒙恩蒙福的身份
[00:03:22.620 --> 00:03:23.900]  穿幾件新衣服呢
[00:03:23.900 --> 00:03:26.540]  今天和你分享五件新衣服
[00:03:26.540 --> 00:03:30.300]  還要穿一件全天候的外衣
[00:03:30.300 --> 00:03:34.060]  因為我們的處境可能有霧霾
[00:03:34.060 --> 00:03:36.700]  可能有風有雨
[00:03:36.700 --> 00:03:38.460]  未必有雪
[00:03:38.460 --> 00:03:43.100]  在北京裏可能有霧霾更加厲害
[00:03:43.100 --> 00:03:48.180]  我們穿起全天候的新外衣
[00:03:48.180 --> 00:03:52.860]  這段經文第十二節講到「所以」
[00:03:52.860 --> 00:03:55.340]  「所以」和上文有關係
[00:03:55.340 --> 00:03:57.580]  原來在上文裏面
[00:03:57.580 --> 00:04:02.260]  講到我們這個新生命
[00:04:02.260 --> 00:04:04.860]  和未信主之前的生命
[00:04:04.860 --> 00:04:07.380]  其實已經一刀兩斷了
[00:04:07.380 --> 00:04:10.540]  我們是和耶穌基督一同復活
[00:04:10.540 --> 00:04:12.780]  一切都是屬於耶穌基督的
[00:04:12.780 --> 00:04:15.660]  在《哥羅西書》的主題裏面
[00:04:15.660 --> 00:04:18.900]  講到萬有的主
[00:04:18.900 --> 00:04:23.180]  我們這位耶穌基督是萬有之上的主
[00:04:23.180 --> 00:04:25.820]  祂統管萬有 統管一切
[00:04:25.820 --> 00:04:28.060]  所以一切都是屬於祂的
[00:04:28.060 --> 00:04:31.180]  我們有一個一生的形象
[00:04:31.180 --> 00:04:33.100]  因為我們已經脫去了舊人
[00:04:33.100 --> 00:04:36.980]  和舊人的行為穿上了新人
[00:04:36.980 --> 00:04:39.500]  所以我們一生形象
[00:04:39.500 --> 00:04:42.300]  而剛才我們所讀的一段經文
[00:04:42.300 --> 00:04:45.180]  我們有一個新的身份
[00:04:45.180 --> 00:04:50.060]  所以和「所以」已經一刀兩斷了
[00:04:50.060 --> 00:04:52.300]  我們和耶穌基督一同復活
[00:04:52.300 --> 00:04:55.340]  一切一切一切都是屬於耶穌基督
[00:04:55.340 --> 00:04:56.660]  我們有一個新的形象
[00:04:56.660 --> 00:04:59.500]  我們有一個新的身份
[00:04:59.500 --> 00:05:04.860]  第一個身份是甚麼呢
[00:05:04.860 --> 00:05:06.340]  或者說我們有一個身份
[00:05:06.340 --> 00:05:09.940]  而這個身份就是我們是神的選民
[00:05:09.940 --> 00:05:14.380]  是聖潔 是蒙愛的人
[00:05:14.380 --> 00:05:17.100]  今天在我們的生命裏面
[00:05:17.100 --> 00:05:19.340]  原來神揀選我們
[00:05:19.340 --> 00:05:20.660]  有時有些弟兄姊妹說
[00:05:20.660 --> 00:05:23.060]  為甚麼神揀選我呢
[00:05:23.060 --> 00:05:24.820]  不揀選那個呢
[00:05:24.820 --> 00:05:26.500]  不揀選祂呢
[00:05:26.500 --> 00:05:28.860]  為甚麼神要揀選我們呢
[00:05:28.860 --> 00:05:32.780]  又或者神為甚麼揀選以色列民族
[00:05:32.780 --> 00:05:34.740]  來做祂的子民呢
[00:05:34.740 --> 00:05:36.700]  在2016年全年裏面
[00:05:36.700 --> 00:05:39.580]  港壇的訊息是講生命記
[00:05:39.580 --> 00:05:41.500]  我相信我們都聽得很多
[00:05:41.500 --> 00:05:43.580]  為甚麼神揀選我們呢
[00:05:43.580 --> 00:05:46.060]  因為耶和華尊愛我們
[00:05:46.060 --> 00:05:47.420]  揀選我們
[00:05:47.420 --> 00:05:50.580]  是因為耶和華愛我們
[00:05:50.580 --> 00:05:54.820]  神揀選以色列這個群體做祂的子民
[00:05:54.820 --> 00:05:57.420]  同樣神在耶穌基督裏面
[00:05:57.420 --> 00:06:00.780]  揀選教會這個整體
[00:06:00.780 --> 00:06:04.420]  這個信仰群體來做祂的新約的子民
[00:06:04.420 --> 00:06:11.940]  而今日你和我是因為我們屬於這個教會
[00:06:11.940 --> 00:06:15.260]  屬於耶穌基督這個身體
[00:06:15.260 --> 00:06:18.100]  而成為被揀選的
[00:06:18.100 --> 00:06:21.060]  這是一位神學家
[00:06:21.060 --> 00:06:24.260]  一位聖經學者Marcel所講的
[00:06:24.260 --> 00:06:29.460]  你和我是因為我們屬於耶穌基督的身體
[00:06:29.460 --> 00:06:31.660]  而被揀選的
[00:06:31.660 --> 00:06:34.660]  另外就是聖潔的人
[00:06:34.660 --> 00:06:39.620]  聖潔是關係上和我們在地位上的聖潔
[00:06:39.620 --> 00:06:44.940]  即是神特地將我們分了出來
[00:06:44.940 --> 00:06:47.540]  然後被他來使用
[00:06:47.540 --> 00:06:53.940]  承傳他自己角度的旨意
[00:06:53.940 --> 00:06:54.780]  聖潔的人
[00:06:54.780 --> 00:06:55.300]  弟兄姊妹
[00:06:55.300 --> 00:06:57.180]  所以今日我們成為基督徒
[00:06:57.180 --> 00:06:58.700]  我們信了耶穌的時候
[00:06:58.700 --> 00:07:01.620]  有一個很尊貴的身份
[00:07:01.620 --> 00:07:05.900]  是神特地將我們分出來
[00:07:05.900 --> 00:07:08.020]  成為聖潔
[00:07:08.020 --> 00:07:10.260]  是特別給他使用的
[00:07:10.260 --> 00:07:14.580]  所以我們的生命是需要清潔的生命
[00:07:14.580 --> 00:07:16.140]  以致神能夠去使用
[00:07:16.140 --> 00:07:17.540]  另外就是蒙愛的人
[00:07:17.540 --> 00:07:20.220]  蒙愛的人這個字是一個被動語
[00:07:20.220 --> 00:07:23.060]  一個完成了的時態的分詞
[00:07:23.060 --> 00:07:23.580]  蒙愛
[00:07:23.580 --> 00:07:24.860]  蒙誰的愛
[00:07:24.860 --> 00:07:29.580]  當然是蒙上帝所愛
[00:07:29.580 --> 00:07:33.740]  神稱以色列是蒙愛的以色列
[00:07:33.740 --> 00:07:36.220]  是他揀選的
[00:07:36.220 --> 00:07:42.580]  保羅將原本屬於以色列一個特殊的地位
