
[00:00:00.000 --> 00:00:02.000]  在聖誕的主日當中
[00:00:02.000 --> 00:00:05.000]  一起去敬拜主
[00:00:05.000 --> 00:00:08.360]  也能夠和大家分享
[00:00:08.360 --> 00:00:12.360]  神給我們一個很重要的訊息
[00:00:12.360 --> 00:00:15.200]  就是非一般的平安
[00:00:15.200 --> 00:00:19.120]  當然我們在我們的信仰裏面
[00:00:19.120 --> 00:00:23.520]  平安這件事是很常提到的
[00:00:23.520 --> 00:00:25.120]  因為我們知道
[00:00:25.120 --> 00:00:27.520]  在無論任何的時刻
[00:00:27.520 --> 00:00:32.000]  平安對我們的重要性是不需要多說的
[00:00:32.000 --> 00:00:36.200]  不過我們深信一般朋友對平安
[00:00:36.200 --> 00:00:38.600]  和基督徒對平安
[00:00:38.600 --> 00:00:41.320]  其實都有些不同的理解
[00:00:41.320 --> 00:00:44.920]  願意我們今天在聖誕主日
[00:00:44.920 --> 00:00:47.320]  和講到平安的裏面
[00:00:47.320 --> 00:00:49.920]  和大家先分享一個影片
[00:00:49.920 --> 00:00:51.720]  可能大家都很熟悉的影片
[00:00:51.720 --> 00:00:55.320]  不過我們都可以一起去看看這個影片
[00:00:57.920 --> 00:01:00.120]  聖誕節快樂
[00:01:00.120 --> 00:01:01.520]  祝大家聖誕快樂
[00:01:01.520 --> 00:01:03.120]  愛你們
[00:01:03.120 --> 00:01:06.720]  生日快樂
[00:01:06.720 --> 00:01:08.520]  生日快樂
[00:01:08.520 --> 00:01:10.120]  生日快樂
[00:01:27.520 --> 00:01:28.920]  生日快樂
[00:01:28.920 --> 00:01:30.520]  生日快樂
[00:01:30.520 --> 00:01:32.120]  生日快樂
[00:01:32.120 --> 00:01:33.720]  生日快樂
[00:01:33.720 --> 00:01:35.120]  生日快樂
[00:01:35.120 --> 00:01:36.520]  生日快樂
[00:01:36.520 --> 00:01:37.920]  生日快樂
[00:01:37.920 --> 00:01:39.520]  生日快樂
[00:01:39.520 --> 00:01:41.120]  生日快樂
[00:01:41.120 --> 00:01:42.520]  生日快樂
[00:01:42.520 --> 00:01:43.920]  生日快樂
[00:01:43.920 --> 00:01:45.520]  生日快樂
[00:01:45.520 --> 00:01:47.120]  生日快樂
[00:01:47.120 --> 00:01:48.520]  生日快樂
[00:01:48.520 --> 00:01:49.920]  生日快樂
[00:01:49.920 --> 00:01:51.120]  生日快樂
[00:01:51.120 --> 00:01:52.520]  生日快樂
[00:01:52.520 --> 00:01:53.720]  生日快樂
[00:01:53.720 --> 00:01:55.520]  大家開始了
[00:01:55.520 --> 00:01:57.520]  生日快樂
[00:01:57.520 --> 00:02:23.320]  1914年的聖誕節
[00:02:23.320 --> 00:02:28.520]  當英國和德國在大戰場上打仗的時候
[00:02:28.520 --> 00:02:31.520]  出現了一幕這樣的情景
[00:02:31.520 --> 00:02:35.320]  歷史上都有記載
[00:02:35.320 --> 00:02:37.520]  其實都是很特別的
[00:02:37.520 --> 00:02:40.120]  因為在聖誕節的時候
[00:02:40.120 --> 00:02:42.320]  兩軍都是休戰
[00:02:42.320 --> 00:02:45.320]  他們都不希望在聖誕節裏面
[00:02:45.320 --> 00:02:47.520]  繼續彼此殺戮
[00:02:47.520 --> 00:02:49.520]  在這套影片裏面
[00:02:49.520 --> 00:02:52.520]  我看到有關於平安的意思
[00:02:52.520 --> 00:02:54.720]  不知道大家會不會這樣體會
[00:02:54.720 --> 00:02:57.720]  平安其實是一個對比
[00:02:57.720 --> 00:03:00.120]  就是當我們在戰爭的場面
[00:03:00.120 --> 00:03:01.920]  在凶惡的場面當中
[00:03:01.920 --> 00:03:04.120]  我們有一些時間
[00:03:04.120 --> 00:03:09.920]  我們在裏面有一些彼此的交往
[00:03:09.920 --> 00:03:11.720]  彼此的和好
[00:03:11.720 --> 00:03:14.520]  還有大家在戰爭之中
[00:03:14.520 --> 00:03:17.320]  很想有一刻去平靜
[00:03:17.320 --> 00:03:23.320]  我相信這個平安就是我們一般人都是這樣看平安的
[00:03:23.320 --> 00:03:24.920]  不過留意就是
[00:03:24.920 --> 00:03:27.120]  這種平安都會過去的
[00:03:27.120 --> 00:03:28.720]  好像剛才影片當中
[00:03:28.720 --> 00:03:30.320]  他們一起去打球
[00:03:30.320 --> 00:03:32.320]  一起去交流的時候
[00:03:32.320 --> 00:03:35.320]  當再聽到戰車聲的時候
[00:03:35.320 --> 00:03:40.320]  他們都要各自回到自己的陣地那裏
[00:03:40.320 --> 00:03:42.920]  今天我們講平安的時候
[00:03:42.920 --> 00:03:45.920]  很多時候我們都是一個相對性的
[00:03:45.920 --> 00:03:47.920]  不是一個絕對的平安
[00:03:47.920 --> 00:03:52.120]  當我們面對今天的處境的時候
[00:03:52.120 --> 00:03:54.120]  我們都會有很多的困難
[00:03:54.120 --> 00:03:56.720]  我舉個例子就好像大家會明白
[00:03:56.720 --> 00:03:59.520]  我們今天身處在香港
[00:03:59.520 --> 00:04:01.520]  其實我們都是一個很艱難的地方
[00:04:01.520 --> 00:04:03.520]  但是我們在這段時間
[00:04:03.520 --> 00:04:07.920]  我們不經常去提及我們那些困難的地方
[00:04:07.920 --> 00:04:10.920]  我們仍然去將我們的焦點
[00:04:10.920 --> 00:04:14.320]  放在聖誕節的主角上面
[00:04:14.320 --> 00:04:17.120]  我們不去看我們的困難
[00:04:17.120 --> 00:04:19.520]  而是我們將一刻的時間
[00:04:19.520 --> 00:04:21.520]  放在聖誕節的主角
[00:04:21.520 --> 00:04:23.520]  就是耶穌基督上面
[00:04:23.520 --> 00:04:25.520]  在我們的信仰裏面
[00:04:25.520 --> 00:04:29.520]  我們更新了對平安的意義
[00:04:29.520 --> 00:04:32.520]  究竟我們在聖經裏面
[00:04:32.520 --> 00:04:34.120]  我們怎樣去看平安呢?
[00:04:34.120 --> 00:04:37.520]  我相信這個是很重要的一個提醒
