
[00:00:00.000 --> 00:00:02.400]  很多時候當我們看聖經的時候
[00:00:02.400 --> 00:00:03.680]  我們都覺得
[00:00:03.680 --> 00:00:07.520]  好像說到耶穌都是很悲哀的
[00:00:07.520 --> 00:00:08.880]  很難過的
[00:00:08.880 --> 00:00:12.280]  祂哭了 因為祂要上十字架
[00:00:12.280 --> 00:00:14.960]  但是當我讀這段經文的時候
[00:00:14.960 --> 00:00:17.240]  我的心很開心
[00:00:17.240 --> 00:00:20.720]  因為這裡說到什麼呢
[00:00:20.720 --> 00:00:24.640]  耶穌的歡樂
[00:00:24.640 --> 00:00:28.360]  有沒有看到 剛才你讀的那段經文
[00:00:28.360 --> 00:00:32.680]  這一處是聖經唯一的一個經文
[00:00:32.680 --> 00:00:36.120]  就是唯一那一處的聖經說
[00:00:36.120 --> 00:00:38.200]  Jesus rejoiced
[00:00:38.200 --> 00:00:40.360]  耶穌歡喜快樂
[00:00:40.360 --> 00:00:46.320]  耶穌被聖靈充滿感動祂的歡樂
[00:00:46.320 --> 00:00:48.160]  這是很高興的一件事
[00:00:48.160 --> 00:00:51.000]  因為祂有一個歡樂的心
[00:00:51.000 --> 00:00:52.720]  我們感謝神
[00:00:52.720 --> 00:00:57.920]  其實在十七節我們來讀這兩節經文
[00:00:57.920 --> 00:00:59.560]  十七和二十節
[00:00:59.560 --> 00:01:03.600]  那七十個人歡歡喜喜的會來說
[00:01:03.600 --> 00:01:07.680]  主呀 因你的名就是鬼呀 服了我們
[00:01:07.680 --> 00:01:08.720]  二十節
[00:01:08.720 --> 00:01:13.360]  然而不要因鬼服了你們就歡喜
[00:01:13.360 --> 00:01:17.040]  要因你們的名記錄在天上歡喜
[00:01:17.040 --> 00:01:21.480]  這裡有沒有人是心腹的 現在想選心腹
[00:01:21.480 --> 00:01:24.280]  又想選心腹啊
[00:01:24.280 --> 00:01:26.000]  給你一點點壓力
[00:01:26.000 --> 00:01:28.880]  我不知道你出去傳了幾次福音了
[00:01:28.880 --> 00:01:31.560]  有沒有啊 開始出隊了
[00:01:31.560 --> 00:01:35.120]  開始去探訪了
[00:01:35.120 --> 00:01:37.440]  當你探訪的時候
[00:01:37.440 --> 00:01:39.840]  會見到有些人 因為你需要去十次
[00:01:39.840 --> 00:01:42.200]  我不知道你去了幾次了
[00:01:42.200 --> 00:01:46.080]  你會很高興有人信耶穌了
[00:01:46.080 --> 00:01:48.680]  有人接受主了 是吧
[00:01:48.680 --> 00:01:51.120]  當你出去傳的時候
[00:01:51.120 --> 00:01:53.440]  其實就好像這七十個人一樣
[00:01:53.440 --> 00:01:55.520]  他們很歡喜快樂地出去
[00:01:55.520 --> 00:01:58.120]  因為他們出去的時候 他們回歸的時候
[00:01:58.120 --> 00:02:00.440]  他們覺得他們有那個成果
[00:02:00.440 --> 00:02:02.200]  所以你心腹出隊的時候
[00:02:02.200 --> 00:02:04.480]  你很開心 如果有人信主的話
[00:02:04.480 --> 00:02:05.640]  你回來的時候 你會說
[00:02:05.640 --> 00:02:07.720]  哎呀 有人信了主了
[00:02:07.720 --> 00:02:09.600]  但這裡其實二十節
[00:02:09.600 --> 00:02:12.320]  好像耶穌執弊他們
[00:02:12.320 --> 00:02:14.760]  就說你不要這麼高興了
[00:02:14.760 --> 00:02:17.280]  因為他們覺得他們傳了福音的時候
[00:02:17.280 --> 00:02:19.160]  連鬼都聽了
[00:02:19.160 --> 00:02:20.080]  所以耶穌說
[00:02:20.080 --> 00:02:23.440]  你不要因此而歡喜快樂
[00:02:23.440 --> 00:02:25.920]  就是我們出去傳福音的時候
[00:02:25.920 --> 00:02:28.880]  並不是因為我們說了什麼
[00:02:28.880 --> 00:02:31.080]  說了那個人信了主
[00:02:31.080 --> 00:02:32.760]  也不是我們做了什麼
[00:02:32.760 --> 00:02:36.200]  有神的大能
[00:02:36.200 --> 00:02:37.800]  其實耶穌要他們
[00:02:37.800 --> 00:02:39.080]  歡喜快樂的一件事
[00:02:39.080 --> 00:02:41.960]  是你需要有一個超越的
[00:02:41.960 --> 00:02:45.280]  我很喜歡超越這兩個字
[00:02:45.280 --> 00:02:47.000]  超越這兩個字呢
[00:02:47.000 --> 00:02:49.560]  就是你見的不是你眼前的東西
[00:02:49.560 --> 00:02:52.720]  而是你見的是超過你眼前的東西
[00:02:52.720 --> 00:02:55.200]  所以我很喜歡超越這個字
[00:02:55.200 --> 00:02:59.560]  雖然我不知道超越他們在唱什麼歌
[00:02:59.560 --> 00:03:02.280]  你去見到的不是你眼前的東西
[00:03:02.280 --> 00:03:03.600]  所以耶穌說什麼
[00:03:03.600 --> 00:03:04.760]  你要見
[00:03:04.760 --> 00:03:07.640]  你是要見到他們的明智
[00:03:07.640 --> 00:03:11.280]  你的明智記錄在哪裡
[00:03:11.280 --> 00:03:12.920]  天上
[00:03:12.920 --> 00:03:16.680]  天上有你的明智感覺到
[00:03:16.680 --> 00:03:20.000]  這個是耶穌當時跟他們
[00:03:20.000 --> 00:03:22.480]  把門徒教回來的時候
[00:03:22.480 --> 00:03:27.840]  跟他們說的一件很重要的一件事
[00:03:27.840 --> 00:03:33.880]  這裡說為什麼耶穌要快樂呢
[00:03:33.880 --> 00:03:36.640]  我們讀的21節
[00:03:36.640 --> 00:03:39.720]  21節跟我們說到
[00:03:39.720 --> 00:03:41.000]  耶穌的歡樂
[00:03:41.000 --> 00:03:43.120]  他說正當那時
[00:03:43.120 --> 00:03:45.440]  耶穌被聖明感動
[00:03:45.440 --> 00:03:47.920]  就歡樂了
[00:03:47.920 --> 00:03:48.960]  正當那時
[00:03:48.960 --> 00:03:51.560]  那時是哪個時候
[00:03:51.560 --> 00:03:53.680]  那時就是那一刻
[00:03:53.680 --> 00:03:54.800]  繼續下來
[00:03:54.800 --> 00:03:56.720]  那七十個人
[00:03:56.720 --> 00:03:58.960]  回來跟耶穌說的時候
[00:03:58.960 --> 00:04:01.960]  就是雖然他矯正
[00:04:01.960 --> 00:04:03.480]  是不是叫矯正
[00:04:03.480 --> 00:04:06.440]  矯正
[00:04:06.440 --> 00:04:07.520]  他們的觀念
[00:04:07.520 --> 00:04:10.840]  你不要為了你能夠講話而快樂
[00:04:10.840 --> 00:04:13.760]  你應該為了那個明智而快樂
[00:04:13.760 --> 00:04:15.160]  記錄在天上
[00:04:15.160 --> 00:04:16.040]  所以耶穌在這裡
[00:04:16.040 --> 00:04:17.120]  他的歡樂的時候
[00:04:17.120 --> 00:04:18.280]  他很高興
[00:04:18.280 --> 00:04:19.640]  他們做的那個事工
[00:04:19.640 --> 00:04:23.560]  有人的明智記錄在天上
[00:04:23.560 --> 00:04:24.760]  所以他跟
[00:04:24.760 --> 00:04:26.360]  這21節其實
[00:04:26.360 --> 00:04:30.760]  這兩節經文是耶穌的一個祈禱來的
[00:04:30.760 --> 00:04:32.160]  他說父啊
[00:04:32.160 --> 00:04:33.560]  天地的主
[00:04:33.560 --> 00:04:35.800]  我感謝你
[00:04:35.800 --> 00:04:37.680]  這個是耶穌的一個祈禱
[00:04:37.680 --> 00:04:38.880]  他感謝神
[00:04:38.880 --> 00:04:40.600]  他這個感謝
[00:04:40.600 --> 00:04:42.760]  在原文的意思是有宣告
[00:04:42.760 --> 00:04:44.280]  有承認的
[00:04:44.280 --> 00:04:46.000]  他感謝神什麼
[00:04:46.000 --> 00:04:49.680]  他感謝神作事的不同
[00:04:49.680 --> 00:04:52.840]  作事的那個方法
[00:04:52.840 --> 00:04:54.240]  我不知道你的生命之中
[00:04:54.240 --> 00:04:56.560]  有沒有時時感謝神呢
[00:04:56.560 --> 00:04:58.720]  哎呀 神真的很奇妙
[00:04:58.720 --> 00:04:59.880]  不應該是這樣的
[00:04:59.880 --> 00:05:01.080]  那你經歷的時候
[00:05:01.080 --> 00:05:02.520]  你會說感謝神
[00:05:02.520 --> 00:05:05.120]  這個就是你感恩神
[00:05:05.120 --> 00:05:08.920]  作事的方式不同了
[00:05:08.920 --> 00:05:14.000]  神有祂自己作事的方法
[00:05:14.000 --> 00:05:19.760]  這21節究竟神作事的什麼方法呢
[00:05:19.760 --> 00:05:26.440]  他說因為你向聰明通達的人就傳遞了
[00:05:26.440 --> 00:05:29.840]  你向英雄你就顯明了出來
[00:05:29.840 --> 00:05:34.960]  我很喜歡這個聰明通達的人的英文的翻譯
[00:05:34.960 --> 00:05:40.560]  聰明通達的人就是know it all的那種人
[00:05:40.560 --> 00:05:43.120]  什麼他都知道
[00:05:43.120 --> 00:05:48.160]  你跟他說天地理他都知道
[00:05:48.160 --> 00:05:49.520]  歷史他也知道
[00:05:49.520 --> 00:05:51.440]  醫學他也知道
[00:05:51.440 --> 00:05:55.640]  什麼他都知道
[00:05:55.640 --> 00:05:58.760]  這種人很聰明
[00:05:58.760 --> 00:06:04.920]  不過這些人有時我會覺得很討人厭
[00:06:04.920 --> 00:06:07.720]  是不是
[00:06:07.720 --> 00:06:09.080]  認同吧
[00:06:09.080 --> 00:06:12.200]  你跟他說什麼他什麼都知道
[00:06:12.200 --> 00:06:14.200]  等於是什麼
[00:06:14.200 --> 00:06:17.400]  表示你什麼都不知道
[00:06:17.400 --> 00:06:18.040]  是不是
[00:06:18.040 --> 00:06:19.840]  所以你跟他說什麼他都知道
