
[00:00:00.000 --> 00:00:18.000]  大家好,我們今天看到很多張力的人生,經文給我們很多啟發和學習,我們一起祈禱吧
[00:00:18.000 --> 00:00:34.000]  天父我們感謝祢,讓我們一起去敬拜祢,也聽祢的話願意幫助聖靈去帶領我們去持守我們的信仰,並且祢給我們的使命
[00:00:34.000 --> 00:00:51.000]  縱使我們覺得環境不太理想,但祢有祢自己的計劃,祢有祢的真理向我們顯明,求主幫助,祈禱奉主耶穌基督的名,阿們
[00:00:51.000 --> 00:01:07.000]  有一位姊妹是一個癌症病患者,她說當初懷疑自己有癌症的時候,過程非常不容易
[00:01:07.000 --> 00:01:18.000]  當她還不知道自己有癌症的時候,晚上睡覺,夜闌人靜的時候又會醒來,早上又會醒來
[00:01:18.000 --> 00:01:40.000]  發覺真的很擔心,特別是去做一些素描的檢查的時候,又不知道報告的時候,那種心有不多不少的恐懼,她覺得好像被判刑一樣,但又沒有判,這種心情真的很難受
[00:01:40.000 --> 00:01:50.000]  裡面有很多的思緒,究竟我是不是真的去到末期的情況呢?這個癌病有沒有得醫呢?
[00:01:50.000 --> 00:02:00.000]  我是不是去預備,如果我真的就這樣離開了,我預備見主面了嗎?我的家人知道這個消息又如何呢?
[00:02:00.000 --> 00:02:10.000]  很多很多的想法,又聽到一個姊妹說她弟弟的經歷,確診了之後,五個月左右就離開了這個世界
[00:02:10.000 --> 00:02:25.000]  她感覺到她的人生的死亡好像很快臨到自己,不太知道結果,不過說回這個姊妹的弟弟,她就相信了耶穌,有一種盼望
[00:02:25.000 --> 00:02:38.000]  其實我們人生都是這樣,可能是我們身體的病患,或者我們身體的康健,又或者其他的事情,以致我們很掛慮的
[00:02:38.000 --> 00:02:50.000]  人生難免有很多的患難,今年我們知道很多的事情發生,牛津字典有一個關鍵字
[00:02:50.000 --> 00:03:00.000]  它一年都會出一個就是那年最多人留意的一些事情,關鍵字是什麼呢?你們猜猜是什麼?
[00:03:00.000 --> 00:03:16.000]  疫苗,疫苗是一個關鍵字,大家都在等這個疫苗,你發覺這個疫情持續了很久,沒完沒了,很難得才等到這個疫苗
[00:03:16.000 --> 00:03:31.000]  但是現在說這個疫苗都會中招的,還有現在歐洲那邊又再爆發,似乎很難控制,我們以為剛剛平和了,但是又來過
[00:03:31.000 --> 00:03:48.000]  還有現在非洲南面有新的變種病毒,這個變種跟之前的基因變得很特殊,以前的變種都很類似,現在這個變化很大
[00:03:48.000 --> 00:04:03.000]  醫學界還在商討究竟要不要再研發一些比較更加配合這個病毒基因的疫苗出來,或者怎樣改良這個有待結果
[00:04:03.000 --> 00:04:12.000]  我女兒很自然一聽到這個又有變種,以為差不多平息了,真的沒完沒了
[00:04:12.000 --> 00:04:26.000]  特別香港人這幾年間我們經歷了很多政治的改變,我們前面很多預計不到的未知數,作為基督徒我想我們怎樣去面對呢
[00:04:26.000 --> 00:04:40.000]  其實聖經就告訴我們其實很多患難的,但是這個患難不是叫我們很悲觀地去過,我們的信仰給了我們不同走這段路的,或者我們一起去學習
[00:04:40.000 --> 00:04:50.000]  這個講到耶穌基督講到將來末世的時候的一些禍患,但是這個禍患似乎今天都幾常見有的
[00:04:50.000 --> 00:05:00.000]  或者我們看看這段經文,或者這段經文之前就講到其實耶穌基督講到末世,為什麼會提到末世呢
[00:05:00.000 --> 00:05:16.000]  原因就是祂在地上和以色列的民族,特別是以色列人去講了很多的天國的道理,天國的福音,和做了很多神蹟奇事引證這些是真實的事情
[00:05:16.000 --> 00:05:25.000]  但是以色列人仍然是拒絕,特別那些領袖甚至乎是想用一些陰謀去謀害祂
[00:05:25.000 --> 00:05:39.000]  這樣的情況如果我們來到這裡,主耶穌就提到這個地方將會面對神的審判,而耶路撒冷這個地方其實都會變成荒蕪
[00:05:39.000 --> 00:05:57.000]  講到這個情況,在第23章,即是這段經文之前的23章37節,這裡說耶路撒冷啊,耶路撒冷啊,你嘗殺害先知又用石頭打死那奉差遣到你這裡來的人
[00:05:57.000 --> 00:06:06.000]  我多少次想聚集你的兒女,好像母雞把小雞聚集在翅膀底下,但是你們不願意
[00:06:06.000 --> 00:06:11.000]  看吧,你們的家要被廢棄成為荒蕪
[00:06:11.000 --> 00:06:20.000]  耶穌基督就講到這些的,以色列人的國運是這樣,去到這個地方
[00:06:20.000 --> 00:06:35.000]  接下來就講到門徒就給他看看,嘩,這樣都行,但是你知道我們這裡有美好的聖殿,這個聖殿非常之宏偉
[00:06:35.000 --> 00:06:44.000]  如果你說我們的地方荒蕪,你看看,我們有一個這麼宏偉的聖殿,神的居所來的,怎麼會默默然就沒有了呢?
[00:06:44.000 --> 00:06:50.000]  所以這個就是我們看回這個24章,就是講到這一段的經文
[00:06:50.000 --> 00:06:58.000]  第一節說,耶穌出了聖殿,正離開的時候,門徒前來,把聖殿的建築指給他看
[00:06:58.000 --> 00:07:05.000]  你看到你會覺得奇怪,耶穌基督在聖殿裡面去講道的時候,他都看到這個聖殿的
[00:07:05.000 --> 00:07:11.000]  何必門徒特意這樣去,你看一下那個建築,當然有意思
[00:07:11.000 --> 00:07:17.000]  門徒就說,耶穌基督,你說這個耶路撒冷被荒蕪嗎?
[00:07:17.000 --> 00:07:26.000]  不像,你看看,神的殿在這裡,這麼宏偉的屹立在這裡,怎麼會有這樣的事情呢?
[00:07:26.000 --> 00:07:29.000]  究竟是不是這樣的情況發生呢?
[00:07:29.000 --> 00:07:38.000]  我們知道,如果一些歷史學家,約瑟夫當時的歷史學家,描繪這個聖殿是很宏偉的
[00:07:38.000 --> 00:07:42.000]  他說其中一塊石頭,估計有些人說會不會他誇張了呢?
[00:07:42.000 --> 00:07:50.000]  不過他就這麼說,約瑟夫這個歷史,猶太人的歷史學家就這麼說
[00:07:50.000 --> 00:07:57.000]  他說有一個石頭,有一塊大到38尺,闊18尺
[00:07:57.000 --> 00:08:07.000]  你想像一下,38尺長,18尺闊,然後高12尺,真是一個很大的石頭,其中一塊而已
[00:08:07.000 --> 00:08:13.000]  還有鋪了一些金在上面,你想一下這個聖殿的宏偉非常之浩大
[00:08:13.000 --> 00:08:29.000]  是由希臘大帝在大概主后26年,主前26年一直建
[00:08:29.000 --> 00:08:36.000]  建到耶穌基督的時代,還在建,還沒建完,很宏偉的一個聖殿
[00:08:36.000 --> 00:08:43.000]  主耶穌怎麼說呢?主耶穌就回應他們說,你們不是看見這一切嗎?
[00:08:43.000 --> 00:08:53.000]  你們是看到很美的,我實在告訴你們,這裏將沒有一塊石頭會留在另一塊石頭上而不被拆毀的
[00:08:53.000 --> 00:09:00.000]  哇,全部拆毀,這樣說了,問題在哪裏呢?問題不在聖殿的宏偉那裏
[00:09:00.000 --> 00:09:07.000]  問題是有一個聖殿的宏偉又如何呢?沒有敬前的敬拜者,這個只是一個空殼
[00:09:07.000 --> 00:09:13.000]  所以耶穌基督之前的段落就是講到那些宗教領袖、文士、法利賽人的問題
