
[00:00:00.000 --> 00:00:04.260]  我們一起去看聖經,回到啟示錄第二章
[00:00:04.260 --> 00:00:07.600]  啟示錄第二章,我們一直在說這個系列
[00:00:07.600 --> 00:00:10.340]  就是看啟示錄七個教會的書信
[00:00:10.340 --> 00:00:13.740]  耶穌寫了七封信,或者發了七封信
[00:00:13.740 --> 00:00:16.800]  給當時第一世紀的教會
[00:00:16.800 --> 00:00:19.820]  當時他們在不同的情況裡面
[00:00:19.820 --> 00:00:22.240]  在不同的挑戰裡面
[00:00:22.240 --> 00:00:25.360]  因為這七封信講到他怎樣去看教會
[00:00:25.360 --> 00:00:28.400]  我相信這七封信都對我們教會
[00:00:28.400 --> 00:00:30.500]  有很多的提醒
[00:00:30.500 --> 00:00:32.340]  基督怎樣看我們的教會
[00:00:32.340 --> 00:00:35.880]  基督寫信去你家,或者寫信去給你的話
[00:00:35.880 --> 00:00:39.000]  怎樣看你作為一個基督徒
[00:00:39.000 --> 00:00:41.000]  或者一個基督的群體
[00:00:41.000 --> 00:00:46.040]  我們之前兩次看了頭兩封書信
[00:00:46.040 --> 00:00:48.840]  我們說這七個教會是順著一個
[00:00:48.840 --> 00:00:52.800]  遊弟的路線
[00:00:52.800 --> 00:00:55.520]  遊弟的教會是以忽所
[00:00:55.520 --> 00:00:59.400]  然後去到第七個教會,叫做老弟教
[00:00:59.400 --> 00:01:02.060]  我們看了以忽所和史梅達
[00:01:02.060 --> 00:01:03.920]  今次我們看幾個舊的
[00:01:03.920 --> 00:01:06.000]  第三個城市就是
[00:01:06.000 --> 00:01:07.680]  別家摩這個地方
[00:01:07.680 --> 00:01:10.880]  別家摩是以前的一個古城
[00:01:10.880 --> 00:01:15.360]  是一個很大發展的古城
[00:01:15.360 --> 00:01:17.140]  你看看它的劇場
[00:01:17.140 --> 00:01:18.960]  你看看這個城市有沒有規模
[00:01:18.960 --> 00:01:21.240]  你就知道它的劇場有多大
[00:01:21.240 --> 00:01:22.920]  有二萬人的劇場
[00:01:22.920 --> 00:01:24.720]  因為你去一個城市,美國也是
[00:01:24.720 --> 00:01:26.000]  有哪一個場地在那裡
[00:01:26.000 --> 00:01:27.520]  哪一個足球隊等等
[00:01:27.520 --> 00:01:31.160]  有一個大的場地就代表那個城市
[00:01:31.160 --> 00:01:33.480]  是當時數一數二的一個城市
[00:01:33.480 --> 00:01:36.200]  這個城市別家摩是在
[00:01:36.200 --> 00:01:39.160]  今日土耳其的西岸的地方
[00:01:39.160 --> 00:01:42.080]  比較多人少少的
[00:01:42.080 --> 00:01:43.360]  如果你這樣統計的話
[00:01:43.360 --> 00:01:45.520]  我們這樣去嘗試去估計當時
[00:01:45.520 --> 00:01:47.520]  有多少人呢這個城市
[00:01:47.520 --> 00:01:49.760]  有十五萬人可以
[00:01:49.760 --> 00:01:54.080]  十五萬人對當時來說是一個很大很大的一個城市
[00:01:54.080 --> 00:01:55.360]  一個很大發展的城市
[00:01:55.360 --> 00:01:58.040]  裡面就有一些教會
[00:01:58.040 --> 00:01:59.560]  有一些初期的教會
[00:01:59.560 --> 00:02:03.200]  初期的信徒聚集的地方
[00:02:03.200 --> 00:02:04.920]  很多時候他們在家庭裡面聚集的
[00:02:04.920 --> 00:02:06.440]  不像我們今天有教堂
