
[00:00:00.000 --> 00:00:01.320]  各位姐妹大家好
[00:00:01.320 --> 00:00:02.800]  祝大家平安
[00:00:02.800 --> 00:00:05.080]  生命樹宣教網絡
[00:00:05.080 --> 00:00:07.040]  再和大家一起讀聖經
[00:00:07.040 --> 00:00:07.920]  看聖經人
[00:00:07.920 --> 00:00:08.760]  聖經事
[00:00:08.760 --> 00:00:10.000]  聖經裡面的神
[00:00:10.000 --> 00:00:13.160]  今天的題目是
[00:00:13.160 --> 00:00:17.800]  「那時以色列中沒有王,各人任意而行」
[00:00:17.800 --> 00:00:19.640]  我不夠位置
[00:00:19.640 --> 00:00:26.080]  所以是「以色列中沒有王,各人任意而行」的第一集
[00:00:26.080 --> 00:00:27.560]  有好幾集
[00:00:28.040 --> 00:00:31.240]  因為這裡是《史詩記》來到最後一段
[00:00:31.240 --> 00:00:34.080]  第十七章至第二十一章
[00:00:34.080 --> 00:00:37.520]  總共有五章聖經
[00:00:37.520 --> 00:00:42.120]  都可以說是一個很長篇的故事
[00:00:42.120 --> 00:00:44.240]  但又可以分作每一段
[00:00:44.240 --> 00:00:45.800]  因此我就分開去說
[00:00:45.800 --> 00:00:46.880]  但是
[00:00:46.880 --> 00:00:52.760]  「那時以色列中沒有王,各人任意而行」這句話
[00:00:52.760 --> 00:00:54.800]  是出現了很多次
[00:00:55.240 --> 00:01:01.720]  來表達「史詩記」就是「那時以色列中沒有王,各人任意而行」
[00:01:01.720 --> 00:01:04.000]  特別是到尾段才這樣說
[00:01:04.000 --> 00:01:06.880]  用五章來表達混亂
[00:01:06.880 --> 00:01:08.600]  你會看到
[00:01:08.600 --> 00:01:11.400]  《史詩記》開頭都挺好的
[00:01:11.400 --> 00:01:14.760]  後來就開始很混亂
[00:01:14.760 --> 00:01:15.440]  怎麼混亂呢?
[00:01:15.440 --> 00:01:16.640]  由今天就看到了
[00:01:16.640 --> 00:01:20.400]  「各人任意而行」到今天這樣
[00:01:20.400 --> 00:01:20.960]  第一集
[00:01:20.960 --> 00:01:22.480]  我們來看看
[00:01:23.960 --> 00:01:26.440]  上面這兩行字紅色黑色呢?
[00:01:26.440 --> 00:01:27.760]  紅色藍色呢?
[00:01:27.760 --> 00:01:30.200]  上面這兩行字紅色藍色呢?
[00:01:30.200 --> 00:01:31.600]  是我的題目
[00:01:31.600 --> 00:01:35.760]  「那時以色列中沒有王,各人任意而行」
[00:01:35.760 --> 00:01:37.920]  「任意而行」的第一項是什麼呢?
[00:01:37.920 --> 00:01:40.440]  竟然是「各設神堂」
[00:01:40.440 --> 00:01:42.880]  其實這裡只說了一個神堂
[00:01:42.880 --> 00:01:43.600]  不過
[00:01:43.600 --> 00:01:45.960]  這樣都自己開一個神堂了
[00:01:45.960 --> 00:01:48.080]  我猜其他地方都會的
[00:01:48.080 --> 00:01:50.800]  所以我就叫它「各設神堂」
[00:01:51.160 --> 00:01:54.080]  「各設神像」什麼神像呢?
[00:01:54.080 --> 00:01:55.400]  耶和華的像
[00:01:55.400 --> 00:01:56.920]  竟然是「自製」
[00:01:56.920 --> 00:01:59.520]  沒人理會
[00:01:59.520 --> 00:02:01.760]  「自立祭司」
[00:02:01.760 --> 00:02:03.800]  你知道祭司
[00:02:03.800 --> 00:02:06.000]  在會幕裡面敬拜祭司
[00:02:06.000 --> 00:02:08.720]  只有那一群
[00:02:08.720 --> 00:02:10.520]  太遠不去我這邊
[00:02:10.520 --> 00:02:11.880]  我自己開一個神堂
[00:02:11.880 --> 00:02:12.880]  我自己一個神像
[00:02:12.880 --> 00:02:14.080]  我自己一個祭司
[00:02:14.080 --> 00:02:15.360]  這樣都可以
[00:02:15.360 --> 00:02:17.400]  那是不是「任意而行」呢?
[00:02:17.400 --> 00:02:18.920]  我們來看看是怎樣的
[00:02:18.920 --> 00:02:20.480]  十七章第一節
[00:02:20.840 --> 00:02:22.440]  這次先看十七章
[00:02:22.440 --> 00:02:27.120]  「以法連山地有一個人名叫米迦」
[00:02:27.120 --> 00:02:31.040]  紅色字黑色字是經文和合本裡面用的字
[00:02:31.040 --> 00:02:35.600]  綠色字是我的注釋
[00:02:35.600 --> 00:02:39.800]  「以法連山地有一個人名叫米迦」
[00:02:39.800 --> 00:02:43.600]  「以法連」大家都聽過我說很多次了
[00:02:43.600 --> 00:02:46.200]  「以法連」
[00:02:46.480 --> 00:02:52.320]  「Ephraim」是「兩堆灰塵」
[00:02:52.320 --> 00:02:55.840]  「雙倍果子和祝福」的意思
[00:02:55.840 --> 00:02:58.160]  「兩堆灰塵」
[00:02:58.160 --> 00:03:00.880]  「雙倍果子和祝福」
[00:03:00.880 --> 00:03:02.160]  那是什麼來的?
[00:03:02.160 --> 00:03:07.280]  其實「以法連」就是說有雙重的祝福
[00:03:07.280 --> 00:03:11.760]  「以法連山地有一個人名叫米迦」
[00:03:11.760 --> 00:03:16.640]  「米迦」中文只翻譯了兩個音
[00:03:16.640 --> 00:03:20.440]  「米迦」其實是「米迦耶乎」
[00:03:20.440 --> 00:03:22.880]  「米迦耶乎」是四個音
[00:03:22.880 --> 00:03:24.560]  「米迦耶乎」
[00:03:24.560 --> 00:03:28.320]  意思就是「有誰將臣」
[00:03:28.320 --> 00:03:32.880]  「有誰將臣」
[00:03:32.880 --> 00:03:37.280]  「耶乎」像不像「耶和華」
[00:03:37.280 --> 00:03:40.080]  「米迦」就是「有誰」
[00:03:40.080 --> 00:03:41.880]  「誰」的意思
[00:03:41.880 --> 00:03:43.520]  或者「誰」是誰
[00:03:43.520 --> 00:03:45.080]  「米迦耶乎」
[00:03:45.080 --> 00:03:47.920]  如果是「米迦耶乎」變成「耶乎」
[00:03:47.920 --> 00:03:49.360]  就是「神」
[00:03:49.360 --> 00:03:51.800]  「耶乎」就是「耶和華」的意思
[00:03:51.800 --> 00:03:54.080]  「耶乎」也可以是「神」的意思
[00:03:54.080 --> 00:03:55.880]  「米迦」就是「誰」
[00:03:55.880 --> 00:04:00.760]  「誰將臣」這個字也翻譯為「米迦」
[00:04:00.760 --> 00:04:02.720]  但其實聖經出現過
[00:04:02.720 --> 00:04:06.000]  就是「米該亞」
[00:04:06.000 --> 00:04:08.560]  其實也是「米迦耶乎」
[00:04:08.560 --> 00:04:11.800]  大家知道了,這個「W」是「O」
[00:04:11.800 --> 00:04:12.880]  「Who」
