
[00:00:00.000 --> 00:00:02.000]  攝影姊妹 早安
[00:00:02.000 --> 00:00:04.000]  有兩個醫生
[00:00:04.000 --> 00:00:06.000]  一個做內科 一個做外科
[00:00:06.000 --> 00:00:08.000]  他們就一起進電梯
[00:00:08.000 --> 00:00:10.000]  那個做內科的
[00:00:10.000 --> 00:00:12.000]  就走得快一點
[00:00:12.000 --> 00:00:14.000]  就走進電梯那裡
[00:00:14.000 --> 00:00:16.000]  接著做外科那個
[00:00:16.000 --> 00:00:18.000]  他想進的時候
[00:00:18.000 --> 00:00:20.000]  電梯就關了
[00:00:20.000 --> 00:00:22.000]  於是那個外科的醫生
[00:00:22.000 --> 00:00:24.000]  他就用頭
[00:00:24.000 --> 00:00:26.000]  去頂一頂電梯
[00:00:26.000 --> 00:00:28.000]  電梯就夾住他的頭
[00:00:28.000 --> 00:00:31.000]  結果他就進到電梯那裡
[00:00:31.000 --> 00:00:33.000]  進到電梯之後
[00:00:33.000 --> 00:00:35.000]  那個內科醫生就問
[00:00:35.000 --> 00:00:37.000]  那個外科醫生
[00:00:37.000 --> 00:00:39.000]  你剛才這樣做有點危險
[00:00:39.000 --> 00:00:41.000]  為什麼你不用手擋住門
[00:00:41.000 --> 00:00:43.000]  你用頭擋住門呢
[00:00:43.000 --> 00:00:47.000]  那個外科醫生就回答他
[00:00:47.000 --> 00:00:50.000]  不行 我的手是用來做手術的
[00:00:50.000 --> 00:00:53.000]  我怎麼可以用手擋住電梯門呢
[00:00:53.000 --> 00:00:57.000]  我們來到敬拜神
[00:00:57.000 --> 00:00:59.000]  我們都知道
[00:00:59.000 --> 00:01:02.000]  不是靠我們的口
[00:01:02.000 --> 00:01:05.000]  不是靠我們的嘴
[00:01:05.000 --> 00:01:08.000]  不是靠我們的耳朵
[00:01:08.000 --> 00:01:12.000]  我們是要全人投入去敬拜
[00:01:12.000 --> 00:01:14.000]  這個外科醫生
[00:01:14.000 --> 00:01:16.000]  他需要手做手術
[00:01:16.000 --> 00:01:20.000]  他也需要腦去做手術
[00:01:20.000 --> 00:01:23.000]  我們再一次低頭祈禱
[00:01:23.000 --> 00:01:25.000]  聖靈在這一刻求你
[00:01:25.000 --> 00:01:29.000]  臨在我們當中
[00:01:29.000 --> 00:01:32.000]  因為凡被神的靈引導
[00:01:32.000 --> 00:01:35.000]  都是神的兒子
[00:01:35.000 --> 00:01:39.000]  我們就渴求被主你的靈去引導
[00:01:39.000 --> 00:01:42.000]  引導我們進入真理
[00:01:42.000 --> 00:01:45.000]  引導我們明白真理
[00:01:45.000 --> 00:01:48.000]  引導我們實踐真理
[00:01:48.000 --> 00:01:50.000]  幫助我們
[00:01:50.000 --> 00:01:52.000]  因為我們都是不足
[00:01:52.000 --> 00:01:54.000]  我們都是軟弱
[00:01:54.000 --> 00:01:56.000]  求你在今天
