
[00:00:00.000 --> 00:00:02.320]  各位定庸姐妹平安
[00:00:02.320 --> 00:00:05.300]  網路上的定庸姐妹很高興再一次能夠進到你的家中
[00:00:05.300 --> 00:00:10.600]  跟一同金牌上面我們的主一同來分享神的話語
[00:00:10.600 --> 00:00:15.000]  大家對秘訣都相當感興趣
[00:00:15.000 --> 00:00:18.140]  不論是講到成功的秘訣
[00:00:18.140 --> 00:00:21.000]  或者是長壽的秘訣
[00:00:21.000 --> 00:00:22.480]  減肥的秘訣
[00:00:22.480 --> 00:00:24.680]  快樂的秘訣
[00:00:24.680 --> 00:00:28.520]  所以保羅在菲律賓書第四章十二節十三節告訴我們
[00:00:28.520 --> 00:00:31.360]  一個知足常樂的秘訣
[00:00:31.360 --> 00:00:34.360]  他說我在各樣的情況之下
[00:00:34.360 --> 00:00:36.080]  懂得如何知足
[00:00:36.080 --> 00:00:38.080]  我知道如何處備件
[00:00:38.080 --> 00:00:40.080]  也知道如何處豐富
[00:00:40.080 --> 00:00:42.800]  隨時隨在我都得了秘訣
[00:00:42.800 --> 00:00:44.520]  靠著那加給我力量的
[00:00:44.520 --> 00:00:48.040]  我凡事都能做
[00:00:48.040 --> 00:00:51.200]  上個禮拜前我的親家從新加坡過來
[00:00:51.200 --> 00:00:53.840]  探望他的兒子就是我的女婿
[00:00:53.840 --> 00:00:57.400]  然後上個星期我們請他到我們家來吃飯
[00:00:57.400 --> 00:01:00.360]  我們兩位是同一年出生
[00:01:00.360 --> 00:01:02.800]  雖然不同日不同月
[00:01:02.800 --> 00:01:05.480]  我的親家和我也是同一年結婚
[00:01:05.480 --> 00:01:08.240]  當時我看到他滿頭黑髮
[00:01:08.240 --> 00:01:10.040]  好羨慕
[00:01:10.040 --> 00:01:12.160]  我就對他說
[00:01:12.160 --> 00:01:15.600]  我們同一年出生同一年結婚
[00:01:15.600 --> 00:01:17.880]  你滿頭烏黑的頭髮
[00:01:17.880 --> 00:01:20.960]  我的白頭髮快追上我的黑頭髮了
[00:01:20.960 --> 00:01:24.120]  我很想知道你滿頭黑髮的秘訣到底是什麼
[00:01:24.120 --> 00:01:25.840]  你可以告訴我嗎
[00:01:25.840 --> 00:01:28.400]  他笑著對我說
[00:01:28.400 --> 00:01:30.640]  我學習了保羅的秘訣
[00:01:30.640 --> 00:01:32.800]  然後用英文對我說
[00:01:32.800 --> 00:01:36.760]  I die everyday
[00:01:36.760 --> 00:01:37.800]  告訴旁邊的人說
[00:01:37.800 --> 00:01:41.600]  I die everyday
[00:01:41.600 --> 00:01:44.000]  是的或許你每天染頭髮
[00:01:44.000 --> 00:01:46.880]  可以讓你頭髮保持烏黑
[00:01:46.880 --> 00:01:49.360]  但是我們跟隨耶穌基督的人
[00:01:49.360 --> 00:01:51.680]  我們每天都要死去
[00:01:51.680 --> 00:01:54.680]  我們才能夠活出耶穌基督的生命來
[00:01:54.680 --> 00:01:56.040]  Amen
[00:01:56.040 --> 00:01:59.240]  因為耶穌基督用重價保險買出了我們
[00:01:59.240 --> 00:02:01.000]  把我們分別出來
[00:02:01.000 --> 00:02:03.160]  讓我們在祂的國度裡面有份
[00:02:03.160 --> 00:02:05.200]  更是把我們放在教會裡面
[00:02:05.200 --> 00:02:09.880]  讓我們和祂一同建造神榮耀的教會
[00:02:09.880 --> 00:02:11.600]  所以今天早上我們一起來思想
[00:02:11.600 --> 00:02:12.800]  神的殿我們的家
[00:02:12.800 --> 00:02:15.360]  三個非常重要的元素
[00:02:15.360 --> 00:02:16.320]  我們先來看看
[00:02:16.320 --> 00:02:18.440]  耶穌基督跟門徒的一段對話
[00:02:18.440 --> 00:02:20.120]  在馬太福音第16章
[00:02:20.120 --> 00:02:21.960]  16節到第19節
[00:02:21.960 --> 00:02:24.800]  這段話是耶穌問門徒們說
[00:02:24.800 --> 00:02:26.560]  眾人說我是誰
[00:02:26.560 --> 00:02:29.480]  講完以後就轉向門徒問他們說
[00:02:29.480 --> 00:02:31.400]  你們說我是誰呢
[00:02:31.400 --> 00:02:32.920]  後來他們知道愛講話
[00:02:32.920 --> 00:02:35.240]  愛出風頭的彼得馬上回答
[00:02:35.240 --> 00:02:36.280]  西門彼得回答說
[00:02:36.280 --> 00:02:39.560]  你是基督是永生神的兒子
[00:02:39.560 --> 00:02:40.680]  耶穌對他說
[00:02:40.680 --> 00:02:43.760]  西門拜願你是有福的
[00:02:43.760 --> 00:02:47.120]  因為這不是屬血肉的告示是你的
[00:02:47.120 --> 00:02:49.840]  乃是我在天上的父指示的
[00:02:49.840 --> 00:02:51.960]  然後18節說
[00:02:51.960 --> 00:02:55.000]  18節我還告訴你你是彼得
[00:02:55.000 --> 00:02:59.160]  我要把我的教會建造在這磐石上
[00:02:59.160 --> 00:03:01.960]  應接的權柄不能勝過他
[00:03:01.960 --> 00:03:03.880]  我要把天國的鑰匙給你
[00:03:03.880 --> 00:03:05.880]  凡你在地上所捆綁的
[00:03:05.880 --> 00:03:07.600]  在天上也要捆綁
[00:03:07.600 --> 00:03:09.600]  凡你在地上所釋放的
[00:03:09.600 --> 00:03:12.560]  在天上也要釋放
[00:03:12.560 --> 00:03:15.000]  這點是告訴我們非常重要
[00:03:15.000 --> 00:03:18.000]  建造神榮耀教會的一個基礎
[00:03:18.000 --> 00:03:21.240]  首先他說這樣一個建造榮耀教會的藍圖
[00:03:21.240 --> 00:03:23.120]  不是從人想出來的
[00:03:23.120 --> 00:03:26.360]  也不是彼得一時衝動打出這樣的答案來
[00:03:26.360 --> 00:03:27.600]  他說乃是什麼
[00:03:27.600 --> 00:03:30.240]  天上的父啟示你的
[00:03:30.240 --> 00:03:33.720]  換句話說這乃是天上來的一個啟示
[00:03:33.720 --> 00:03:36.760]  建造神榮耀的教會本來就是神的心意
[00:03:36.760 --> 00:03:39.800]  所以神必須透過這樣的一個啟示
[00:03:39.800 --> 00:03:42.120]  指示彼得告訴他
[00:03:42.120 --> 00:03:45.680]  他耶穌基督是基督是永生神的兒子
[00:03:45.680 --> 00:03:47.360]  所以首先第一我們知道說
[00:03:47.360 --> 00:03:50.680]  榮耀的教會是天上來的啟示阿門
[00:03:50.680 --> 00:03:51.880]  然後第二耶穌說
[00:03:51.880 --> 00:03:54.000]  這個教會是要建造在什麼
[00:03:54.000 --> 00:03:55.680]  他的磐石上
[00:03:55.680 --> 00:03:58.600]  就是基督永生神的兒子
[00:03:58.600 --> 00:04:03.160]  耶穌基督這塊磐石上非常堅固的基礎
[00:04:03.160 --> 00:04:04.560]  沒有任何的勢力
[00:04:04.560 --> 00:04:05.920]  沒有任何的權柄
[00:04:05.920 --> 00:04:07.880]  可以難倒這樣的一個基礎
[00:04:07.880 --> 00:04:09.520]  因為是耶穌基督
[00:04:09.520 --> 00:04:12.600]  成為教會最堅固的磐石
[00:04:12.600 --> 00:04:13.680]  不但是如此
[00:04:13.680 --> 00:04:17.400]  祂說非常有權柄的陰間的權勢
[00:04:17.400 --> 00:04:18.440]  黑暗的權勢
[00:04:18.440 --> 00:04:19.600]  死亡的權勢
[00:04:19.600 --> 00:04:21.480]  都不能夠勝過教會
[00:04:21.480 --> 00:04:23.080]  在原文的意思是說
[00:04:23.080 --> 00:04:26.080]  陰間的權勢教會都要勝過他們
[00:04:26.080 --> 00:04:28.760]  都要勝過黑暗死亡黑暗的權勢
[00:04:28.760 --> 00:04:32.880]  因為這是耶穌基督神的兒子的教會
[00:04:32.880 --> 00:04:34.000]  不但是如此
[00:04:34.000 --> 00:04:36.880]  耶穌說這樣一個權柄也已經怎麼樣
[00:04:36.880 --> 00:04:38.400]  給你們了
[00:04:38.400 --> 00:04:41.120]  天國的鑰匙已經給了教會
[00:04:41.120 --> 00:04:44.480]  因此教會有這樣超自然屬天的權柄
[00:04:44.480 --> 00:04:47.240]  我們在地上禱告宣告捆綁的
[00:04:47.240 --> 00:04:49.760]  祂說在天上已經捆綁了
[00:04:49.760 --> 00:04:51.800]  我們在地上宣告要釋放的
[00:04:51.800 --> 00:04:53.800]  在天上早已經釋放了
[00:04:53.800 --> 00:04:55.480]  在原文的意思是說
[00:04:55.480 --> 00:04:57.400]  你們在地上所捆綁的
[00:04:57.400 --> 00:04:58.720]  在天上怎麼樣
[00:04:58.720 --> 00:05:00.200]  已經被捆綁了
[00:05:00.200 --> 00:05:03.160]  我們要做宣告神的權柄
[00:05:03.160 --> 00:05:05.600]  我們在地上所宣告要釋放的
[00:05:05.600 --> 00:05:06.520]  在天上呢
[00:05:06.520 --> 00:05:07.520]  原文的意思是說
[00:05:07.520 --> 00:05:10.000]  早已經被釋放了
[00:05:10.000 --> 00:05:11.080]  換句話說
[00:05:11.080 --> 00:05:13.560]  耶穌基督所建立的榮耀的教會
[00:05:13.560 --> 00:05:15.160]  是蠻有權柄
[00:05:15.160 --> 00:05:16.240]  蠻有能力的教會
[00:05:16.240 --> 00:05:17.440]  阿們
[00:05:17.440 --> 00:05:17.960]  他在旁邊說
[00:05:17.960 --> 00:05:19.120]  我們的教會是蠻有權柄
[00:05:19.120 --> 00:05:22.560]  蠻有能力
[00:05:22.560 --> 00:05:24.040]  所以建造神榮耀的教會
[00:05:24.040 --> 00:05:24.920]  神的力量我們的家
[00:05:24.920 --> 00:05:26.800]  三個非常重要的元素
[00:05:26.800 --> 00:05:27.640]  第一個元素是
[00:05:27.640 --> 00:05:30.320]  我們有一位偉大奇妙的耶穌
[00:05:30.320 --> 00:05:31.640]  我們一起來講一遍來
[00:05:31.640 --> 00:05:36.080]  我們有一位偉大奇妙的主耶穌
[00:05:36.080 --> 00:05:39.680]  祂是教會的元首
[00:05:39.680 --> 00:05:42.760]  祂是教會最重要的盤匙
[00:05:42.760 --> 00:05:45.160]  祂是教會最重要的基礎
[00:05:45.160 --> 00:05:48.240]  你是基督永生神的兒子
[00:05:48.240 --> 00:05:49.520]  所以教會是
[00:05:49.520 --> 00:05:51.600]  耶穌基督做元首
[00:05:51.600 --> 00:05:52.440]  做寶座
[00:05:52.440 --> 00:05:55.400]  這樣完全不是任何人說了算
[00:05:55.400 --> 00:05:56.880]  乃是主怎麼說
[00:05:56.880 --> 00:05:58.240]  我們就怎麼做
[00:05:58.240 --> 00:06:00.160]  因為這是耶穌基督的教會
[00:06:00.160 --> 00:06:02.760]  是祂說我要建造我的教會
[00:06:02.760 --> 00:06:04.560]  在這盤匙上
[00:06:04.560 --> 00:06:05.840]  因此我們要做的是什麼
[00:06:05.840 --> 00:06:08.840]  來敬拜 讚美 尊崇祂
[00:06:08.840 --> 00:06:11.880]  讓祂在教會的每一個事工上做主
[00:06:11.880 --> 00:06:13.680]  讓祂在教會的每一個木區
[00:06:13.680 --> 00:06:15.280]  每一個小組裡面做主
[00:06:15.280 --> 00:06:16.600]  不是我們人說
[00:06:16.600 --> 00:06:17.720]  乃是主怎麼說
[00:06:17.720 --> 00:06:18.440]  我們就怎麼做
[00:06:18.440 --> 00:06:19.240]  阿們
[00:06:19.240 --> 00:06:21.080]  祂是教會的元首
[00:06:21.080 --> 00:06:24.320]  所以保羅在《以復所書》裡面
[00:06:24.320 --> 00:06:26.040]  讓祂寫信給《以復所教會》的時候
[00:06:26.040 --> 00:06:28.040]  把許多非常重要
