
[00:00:00.000 --> 00:00:01.880]  各位領子們,晚安!
[00:00:01.880 --> 00:00:04.520]  晚安!我們懷著感恩的心,
[00:00:04.520 --> 00:00:08.120]  一同領受上帝的話語,我們一起祈禱。
[00:00:08.120 --> 00:00:09.600]  慈悲是我們的天賦,
[00:00:09.600 --> 00:00:12.960]  祈求主祢的話,成為我們的提醒和鼓勵。
[00:00:12.960 --> 00:00:14.560]  特別在這兩個禮拜裡面,
[00:00:14.560 --> 00:00:16.400]  我們很想了解,
[00:00:16.400 --> 00:00:18.720]  祢就著福音的大能,
[00:00:18.720 --> 00:00:20.840]  怎樣去改變我們的生命。
[00:00:20.840 --> 00:00:22.640]  求主祢直著的話,
[00:00:22.640 --> 00:00:24.800]  去跟我們的生命說話,
[00:00:24.800 --> 00:00:27.480]  也幫助孩子講解祢的話語清楚,
[00:00:27.480 --> 00:00:29.560]  我們同心謙卑領受。
[00:00:29.560 --> 00:00:31.840]  禱告是奉耶穌基督的名求。
[00:00:31.840 --> 00:00:33.720]  對嗎?
[00:00:33.720 --> 00:00:35.240]  今天和下個禮拜,
[00:00:35.240 --> 00:00:37.080]  我一連兩個禮拜,
[00:00:37.080 --> 00:00:42.880]  就和大家一起去到思想宣教和福音的課題。
[00:00:42.880 --> 00:00:45.600]  我選了兩段經文,
[00:00:45.600 --> 00:00:50.160]  第一段就是今天我們會提到的《使徒行傳》的第十七章,
[00:00:50.160 --> 00:00:53.240]  下個禮拜就是《馬可福音》的第四章,
[00:00:53.240 --> 00:00:54.760]  透過這兩段經文,
[00:00:54.760 --> 00:01:00.440]  關乎福音和傳福音這件事,
[00:01:00.440 --> 00:01:02.680]  讓大家一起去到反思。
[00:01:02.680 --> 00:01:06.560]  今天我們選了這段比較冷門一點的,
[00:01:06.560 --> 00:01:09.040]  因為是《使徒行傳》的第十七章,
[00:01:09.040 --> 00:01:11.000]  第一到第九節的經文。
[00:01:11.000 --> 00:01:13.560]  如果我們看 PowerPoint 的時候,
[00:01:13.560 --> 00:01:17.840]  你就會發現大概《使徒行傳》到第十七到第十八章,
[00:01:17.840 --> 00:01:21.280]  其實就是記載了保羅和西拉,
[00:01:21.280 --> 00:01:24.400]  如果你有看《使徒行傳》的第十六章的時候,
[00:01:24.400 --> 00:01:27.720]  你就會發現他們兩個就在獄中裡面,
[00:01:27.720 --> 00:01:31.280]  然後就歌唱、禱告去到札美上帝,
[00:01:31.280 --> 00:01:33.400]  上帝就施展一個神蹟,
[00:01:33.400 --> 00:01:35.600]  以至他們的監牢去到大開,
[00:01:35.600 --> 00:01:40.200]  然後那幫的兵丁以為他們整幫的仇友就沒有了,
[00:01:40.200 --> 00:01:42.760]  就想著自盡的時候,
[00:01:42.760 --> 00:01:45.320]  就學著他們千萬不要這樣做,
[00:01:45.320 --> 00:01:47.480]  然後有一句說話大家還記得的,
[00:01:47.480 --> 00:01:49.640]  那句說話就是說至於……
[00:01:49.640 --> 00:01:52.360]  那句說話就是說……
[00:01:52.360 --> 00:01:55.800]  突然間我不記得了,大家都記得,我不記得了。
[00:01:55.800 --> 00:01:59.520]  那個說話就是……
[00:01:59.520 --> 00:02:02.080]  當信著耶穌,
[00:02:02.080 --> 00:02:04.200]  你和你一家都必得救。
[00:02:04.200 --> 00:02:07.200]  是的,就是這個經歷完成了,
[00:02:07.200 --> 00:02:08.520]  完成了之後呢,
[00:02:08.520 --> 00:02:11.600]  就保羅和西拉就繼續走去選教,
[00:02:11.600 --> 00:02:13.520]  其實他們真是不怕死的,
[00:02:13.520 --> 00:02:14.840]  就走去選教。
[00:02:14.840 --> 00:02:18.640]  當初呢,就應該去到第十七章那一段的經文,
[00:02:18.640 --> 00:02:20.600]  是踏足一個的地方,
[00:02:20.600 --> 00:02:27.080]  那個地方呢,我們看看就是來自貼薩諾尼加前書第二章的第九節,
[00:02:27.080 --> 00:02:30.360]  我們就會發現有一句這樣的說話,
[00:02:30.360 --> 00:02:31.960]  貼薩諾尼加的二章九節,
[00:02:31.960 --> 00:02:35.960]  就是說:「我們辛苦勞碌,就夜做工,
[00:02:35.960 --> 00:02:38.800]  全神的福音給你們。」
[00:02:38.800 --> 00:02:40.840]  那我們知道一到九節,
[00:02:40.840 --> 00:02:42.720]  其實就是來了貼薩諾尼加,
[00:02:42.720 --> 00:02:48.400]  雖然經文只是說到保羅一年三個的安息日,
[00:02:48.400 --> 00:02:49.680]  去到走去港島,
[00:02:49.680 --> 00:02:54.760]  但是我們可以由貼薩諾尼加前書的二章九節這一句能夠看出來呢,
[00:02:54.760 --> 00:02:59.920]  我們就會發現其實保羅不只是停留三個的安息日那麼少的,
[00:02:59.920 --> 00:03:02.560]  很有可能是一段長的時間,
[00:03:02.560 --> 00:03:05.320]  因為因此我們有可能認為呢,
[00:03:05.320 --> 00:03:07.400]  這三個安息日之外,
[00:03:07.400 --> 00:03:10.440]  其實可能保羅留在這個地方是更加久。
[00:03:10.440 --> 00:03:11.480]  今天的港島,
[00:03:11.480 --> 00:03:14.480]  我們就透過第一到第九節的經文,
[00:03:14.480 --> 00:03:17.840]  分為三點去到和大家一起去到分享,
[00:03:17.840 --> 00:03:21.880]  第一點,就是關乎沉明福音的內容本質,
[00:03:21.880 --> 00:03:25.160]  就是關乎耶穌基督的死和復活。
[00:03:25.160 --> 00:03:26.160]  第二點呢,
[00:03:26.160 --> 00:03:30.240]  就是有描述到是接受這個福音,
[00:03:30.240 --> 00:03:31.960]  還是拒絕這個福音。
[00:03:31.960 --> 00:03:34.200]  當那個福音來到的時候呢,
[00:03:34.200 --> 00:03:36.920]  其實就只有兩個可能性而已,
[00:03:36.920 --> 00:03:38.440]  第一,你就是接受,
[00:03:38.440 --> 00:03:40.000]  第二,就是拒絕。
[00:03:40.000 --> 00:03:41.240]  那其實恰巧呢,
[00:03:41.240 --> 00:03:42.240]  這段的經文,
[00:03:42.240 --> 00:03:45.160]  就也都說到有一班人是接受的,
[00:03:45.160 --> 00:03:47.080]  有一班人是拒絕的。
[00:03:47.080 --> 00:03:50.040]  那我們就成為第二和第三點的港島,
[00:03:50.040 --> 00:03:51.800]  那就和大家一起去到分享。
[00:03:51.800 --> 00:03:52.600]  首先呢,
[00:03:52.600 --> 00:03:54.480]  我們看看這段的經文先。
[00:03:54.480 --> 00:03:58.320]  這段經文的power point在一到三節他就這樣說,
[00:03:58.320 --> 00:04:02.720]  他就說保羅和西拉經過暗飛玻璃,
[00:04:02.720 --> 00:04:04.640]  亞波羅尼亞,
[00:04:04.640 --> 00:04:07.280]  來到帖撒羅尼加,
[00:04:07.280 --> 00:04:10.560]  在那裡有猶太人的會堂,
[00:04:10.560 --> 00:04:15.040]  保羅照他掃上的規矩就去到進去,
[00:04:15.040 --> 00:04:16.920]  一連三個安息日,
[00:04:16.920 --> 00:04:19.240]  本著聖經和他們去到辯論,
[00:04:19.240 --> 00:04:22.160]  講解沉明基督必須受害,
[00:04:22.160 --> 00:04:23.440]  從死裡復活,
[00:04:23.440 --> 00:04:28.000]  又說我所傳遠你們的這位耶穌,
[00:04:28.000 --> 00:04:31.000]  就是基督。
[00:04:31.000 --> 00:04:34.920]  這一段經文講到保羅和西拉來到帖撒羅尼加,
[00:04:34.920 --> 00:04:39.120]  就如常地去到一個地方叫做猶太人的會堂,
[00:04:39.120 --> 00:04:41.200]  一連三個安息日,
[00:04:41.200 --> 00:04:44.960]  去到本著聖經和會堂當中去到爭辯。
[00:04:44.960 --> 00:04:49.200]  首先我們要了解一下會堂這個東西究竟是什麼。
[00:04:49.200 --> 00:04:52.280]  會堂英文讀作 Synagogue,
[00:04:52.280 --> 00:04:54.360]  來自希臘文,
[00:04:54.360 --> 00:04:57.760]  拉丁文或者意大利文,
[00:04:57.760 --> 00:05:02.120]  其實它的意思都是來自希臘文讀作 Synagogue,
[00:05:02.120 --> 00:05:04.520]  這個主要的意思是什麼呢?
[00:05:04.520 --> 00:05:08.880]  主要你會發現猶太人的會堂的設計,
[00:05:08.880 --> 00:05:10.720]  通常是一個祈禱房,
[00:05:10.720 --> 00:05:16.640]  以及有幾個不同的比較細小的研究和學習猶太教的經典,
[00:05:16.640 --> 00:05:18.840]  希伯來聖經一些的房間,
[00:05:18.840 --> 00:05:21.120]  那些房間好像我們的主要學,
[00:05:21.120 --> 00:05:22.440]  即是分幾班,
[00:05:22.440 --> 00:05:24.760]  一同去到學習那些的經卷。
[00:05:24.760 --> 00:05:28.080]  猶太的會堂其實不只是祈禱那麼簡單,
[00:05:28.080 --> 00:05:30.840]  可以說是一個叫做公共的活動,
