
[00:00:00.000 --> 00:00:05.520]  有等級會師問我為什麼一年多次傳講有關聖靈工作的訊息
[00:00:05.520 --> 00:00:10.860]  有弟兄姊妹多次問我為什麼一年多次要傳講有關聖靈工作的訊息
[00:00:10.860 --> 00:00:12.860]  主要的原因包括我自己
[00:00:12.860 --> 00:00:14.360]  主要的原因包括我自己
[00:00:14.360 --> 00:00:17.980]  其實對聖靈的工作的教導那種忽視
[00:00:17.980 --> 00:00:20.360]  對聖靈工作教導的一個忽視
[00:00:20.360 --> 00:00:21.740]  做了幾十年傳道人
[00:00:21.740 --> 00:00:23.200]  做了幾十年的傳道人
[00:00:23.200 --> 00:00:30.760]  這次是我最有系統對聖靈工作的有關聖靈工作的閱讀和教導
[00:00:30.760 --> 00:00:36.180]  這次是我最有次序的對聖靈工作的一個閱讀跟教導
[00:00:36.180 --> 00:00:37.840]  我聲明我自己的立場
[00:00:37.840 --> 00:00:39.380]  我聲明我自己的立場
[00:00:39.380 --> 00:00:44.300]  我持守的一種叫做內聖外王的聖靈觀
[00:00:44.300 --> 00:00:47.880]  我持守的是一種內聖外王的聖靈觀
[00:00:47.880 --> 00:00:51.900]  意思就是說我是站在福音派的立場
[00:00:51.900 --> 00:00:55.760]  強調聖靈內化生命根深工作的重要性
[00:00:55.760 --> 00:01:03.460]  意思就是我站在福音派來強調聖靈內化生命根深的一個工作
[00:01:03.460 --> 00:01:08.500]  但我不排斥靈恩派在講聖靈工作外顯的那種表現
[00:01:08.500 --> 00:01:13.640]  但我並不排斥靈恩派那種推動聖靈外顯工作的
[00:01:13.640 --> 00:01:17.500]  聖靈在我們生命內化是那個根本
[00:01:17.500 --> 00:01:20.260]  聖靈在我們心中內化是一個根本
[00:01:20.260 --> 00:01:22.900]  但如果一個聖徒沒有一個聖潔的生活
[00:01:22.900 --> 00:01:24.960]  但如果一個聖徒沒有一個聖潔的生活
[00:01:24.960 --> 00:01:27.180]  只是追求聖靈外顯的恩賜
[00:01:27.180 --> 00:01:29.100]  只是去追求聖靈外顯的工作
[00:01:29.100 --> 00:01:32.060]  我們根本不能夠承載或者駕馭
[00:01:32.060 --> 00:01:34.800]  我們根本不能夠承載或者駕馭
[00:01:34.800 --> 00:01:37.520]  只是帶來自高自大、高舉自己而已
[00:01:37.520 --> 00:01:40.260]  只會帶來自高自大或高舉自己
[00:01:40.260 --> 00:01:43.020]  我在圖書館無意中發現了這本書
[00:01:43.020 --> 00:01:45.300]  我在圖書館無意中發現了這本書
[00:01:45.300 --> 00:01:48.340]  這本書是藤近輝牧師翻譯的一本書
[00:01:48.340 --> 00:01:51.220]  這本書是藤近輝牧師翻譯的一本書
[00:01:51.220 --> 00:01:53.460]  大家都知道藤牧師寫了不少的書
[00:01:53.460 --> 00:01:55.700]  大家都知道藤牧師寫了很多的書
[00:01:55.700 --> 00:01:57.820]  何牧師就很受他影響
[00:01:57.820 --> 00:01:59.780]  何牧師就很受他影響
[00:01:59.780 --> 00:02:03.820]  但他反而推崇被自己這本翻譯的書
[00:02:03.820 --> 00:02:05.780]  隱於能力之源
[00:02:05.780 --> 00:02:09.180]  但是他反而最推崇的是他翻譯的這本書
[00:02:09.180 --> 00:02:10.700]  隱於能力之源
[00:02:10.700 --> 00:02:13.100]  他自己說在翻譯這本書的時候
[00:02:13.100 --> 00:02:15.100]  靈性得到很大的幫助
[00:02:15.100 --> 00:02:17.380]  他自己說當他在翻譯這本書的時候
[00:02:17.380 --> 00:02:18.900]  靈性得到極大的幫助
[00:02:18.900 --> 00:02:22.580]  對聖靈的工作有一個重新全面的認識
[00:02:22.580 --> 00:02:26.060]  對聖靈的工作有一個重新全新體會的認識
[00:02:26.060 --> 00:02:29.660]  這本書其中一位作者圖書這樣說
[00:02:29.660 --> 00:02:32.660]  這本書其中一位作者陶樹博士這樣說
[00:02:32.660 --> 00:02:35.180]  他說歷史上最重大的事件就是
[00:02:35.180 --> 00:02:38.380]  耶穌基督來到這個世上並且為人寫命
[00:02:38.380 --> 00:02:40.860]  他說歷史上最重大的事件就是
[00:02:40.860 --> 00:02:44.380]  耶穌基督來到世界上面並且為人類捨命
[00:02:44.380 --> 00:02:46.380]  可能大家覺得老生常談
[00:02:46.380 --> 00:02:48.380]  可能大家覺得老生常談
[00:02:48.380 --> 00:02:53.860]  記得當美國第一次成功登陸月球的時候
[00:02:53.860 --> 00:02:56.900]  記得當美國人第一次成功登陸月球的時候
[00:02:56.900 --> 00:02:58.420]  當時的總統是尼克遜
[00:02:58.420 --> 00:03:00.220]  當時的總統是尼克遜
[00:03:00.220 --> 00:03:04.140]  他就很興奮的向全世界宣告一個消息
[00:03:04.140 --> 00:03:07.260]  他就很興奮的向全世界來宣講這個信息
