
[00:00:00.000 --> 00:00:03.640]  開始尼西米的講道系列
[00:00:03.640 --> 00:00:06.280]  會和大家研究第一章
[00:00:06.280 --> 00:00:10.720]  首先做一個歷史背景的介紹
[00:00:10.720 --> 00:00:15.560]  基督教傳統將以色列記和尼西米記當作兩卷書
[00:00:15.560 --> 00:00:19.600]  但是希伯來聖經其實原本是一卷書
[00:00:19.600 --> 00:00:24.120]  是秘魯回歸猶太人一個世紀的神學歷史
[00:00:24.120 --> 00:00:26.000]  以色列記第一章記載
[00:00:26.000 --> 00:00:30.080]  波斯王居魯士元年也就是538年
[00:00:30.080 --> 00:00:35.080]  下詔令允許猶太人回歸耶路撒冷重建聖殿
[00:00:35.080 --> 00:00:36.720]  但是第四章說
[00:00:36.720 --> 00:00:40.240]  因為倫邦反對工程被迫停止
[00:00:40.240 --> 00:00:43.120]  第五章以色列記第五章裡面說
[00:00:43.120 --> 00:00:45.480]  十八年之後主持520年
[00:00:45.480 --> 00:00:49.480]  通過哈該和撒加利亞先知的勸勉
[00:00:49.480 --> 00:00:52.280]  聖殿才完成重建
[00:00:52.280 --> 00:00:55.680]  今年我們早前會有大會和大家分享的
[00:00:55.680 --> 00:00:59.400]  就是當時哈該先知的訊息
[00:00:59.400 --> 00:01:03.200]  第七章其實以色列記第七章一開始的時候
[00:01:03.200 --> 00:01:05.000]  已經是六十年之後的事
[00:01:05.000 --> 00:01:11.080]  是主前458年阿達薩西王第七年
[00:01:11.080 --> 00:01:14.520]  有一個精通摩西律法的文士
[00:01:14.520 --> 00:01:17.720]  就是以色列他來到耶路撒冷
[00:01:17.720 --> 00:01:20.640]  以色列得到阿達薩西的許可
[00:01:20.640 --> 00:01:25.000]  在耶路撒冷聖殿裡面恢復正確的敬拜
[00:01:25.000 --> 00:01:27.000]  第七章第六節評論
[00:01:27.000 --> 00:01:29.880]  因為神的手幫助他
[00:01:29.880 --> 00:01:31.640]  後面再記載
[00:01:31.640 --> 00:01:36.720]  以色列在耶路撒冷制定重要的宗教改革
[00:01:36.720 --> 00:01:43.160]  最主要包括停止了以色列人和外族人的兒女的通婚
[00:01:43.160 --> 00:01:49.280]  認罪之後以色列人將所有外族的妻兒送走
[00:01:49.280 --> 00:01:54.360]  第十章列舉了所有和外族通婚的以色列人
[00:01:54.360 --> 00:01:57.280]  接下來就是尼希米記第一章
[00:01:57.280 --> 00:02:01.200]  尼希米記的第一章記載其實是發生在十二年之後
[00:02:01.200 --> 00:02:03.600]  主前444年
[00:02:03.600 --> 00:02:06.120]  尼希米是波斯王的走證
[00:02:06.120 --> 00:02:12.920]  第二章說波斯王許可尼希米前往耶路撒冷重建城牆
[00:02:12.920 --> 00:02:15.360]  第二章第八節裡面評論
[00:02:15.360 --> 00:02:20.680]  波斯王允許尼希米是因為神施恩的手幫助他
[00:02:20.680 --> 00:02:22.600]  呼應之前以色列記
[00:02:22.600 --> 00:02:25.480]  所以表明其實是一本書
[00:02:25.480 --> 00:02:29.400]  雖然還是面對這個倫邦的反對勢力
[00:02:29.400 --> 00:02:33.080]  但是尼希米成功地重建了城牆
[00:02:33.080 --> 00:02:35.120]  還進一步的宗教改革
[00:02:35.120 --> 00:02:38.760]  第十三章記載他最後一次的宗教改革
[00:02:38.760 --> 00:02:44.480]  就是停止以色列人和外邦人的兒女的通婚
[00:02:44.480 --> 00:02:50.200]  以斯拉尼希米這一卷回歸後的宗教改革歷史
[00:02:50.200 --> 00:02:53.960]  成書可能是主前五世紀末
[00:02:53.960 --> 00:02:59.560]  作者的面前應該有以斯拉和尼希米的回憶錄
[00:02:59.560 --> 00:03:01.680]  作者省略了一些歷史
[00:03:01.680 --> 00:03:06.800]  突出重建聖潔的神學主題
[00:03:06.800 --> 00:03:11.040]  譬如以斯拉記第一七章一開始就跳了60年
[00:03:11.040 --> 00:03:15.960]  但是期間很多這些可歌可泣的國際歷史
[00:03:15.960 --> 00:03:20.720]  博士在主前492年和480年
[00:03:20.720 --> 00:03:25.720]  對希臘進行了兩次不成功的侵略行動
[00:03:25.720 --> 00:03:29.360]  可能有人看過一部電影《300》
[00:03:29.360 --> 00:03:31.560]  故事就是講480年
[00:03:31.560 --> 00:03:37.480]  主前480年斯巴達王尼奧納德大領298個戰士
[00:03:37.480 --> 00:03:40.040]  在溫泉關的一役
[00:03:40.040 --> 00:03:45.320]  被譽為是西方歷史上最關鍵性的戰士之一
[00:03:45.320 --> 00:03:49.480]  改變了東西的戰略平衡
[00:03:49.480 --> 00:03:53.320]  以斯帖的故事《阿帕薩科威》又有一個新的CBI課程
[00:03:53.320 --> 00:03:56.920]  亦都發生在主前475年
[00:03:56.920 --> 00:03:59.800]  阿哈徐魯王統治的時期
[00:03:59.800 --> 00:04:05.080]  但是以斯拉和尼希米對這些國際的歷史
[00:04:05.080 --> 00:04:07.000]  其實是一致補提的
[00:04:07.000 --> 00:04:13.360]  焦點集中在耶路撒冷的宗教改革
[00:04:13.360 --> 00:04:17.760]  重建聖結在不同時代有不同具體的意義
[00:04:17.760 --> 00:04:21.080]  重建聖殿只是第一步
[00:04:21.080 --> 00:04:26.480]  重建聖結亦都是包括恢復正確的敬拜
[00:04:26.480 --> 00:04:29.240]  恢復聖結的婚姻關係
[00:04:29.240 --> 00:04:34.640]  之後亦都包括重建城牆和其他宗教的改革
[00:04:34.640 --> 00:04:38.680]  尼希米第一章講到尼希米從兄弟哈拿尼
[00:04:38.680 --> 00:04:46.120]  和其他去過猶大的人口當中聽到耶路撒冷的警報
[00:04:46.120 --> 00:04:52.560]  那些被擄歸回剩下的漁民在猶大省那裡遭大難收領獄
[00:04:52.560 --> 00:04:54.800]  耶路撒冷的城牆被拆毀
[00:04:54.800 --> 00:04:57.240]  城門被火焚燒
[00:04:57.240 --> 00:05:01.440]  當時尼希米在舒山城波斯的首都
[00:05:01.440 --> 00:05:05.960]  位於現代伊朗的西南部
[00:05:05.960 --> 00:05:09.040]  這宗消息使尼希米非常難過
[00:05:09.040 --> 00:05:11.080]  他哭泣悲哀了好幾天
[00:05:11.080 --> 00:05:13.640]  在神面前禁食禱告
[00:05:13.640 --> 00:05:17.800]  第一章下面的經文就是他的禱文
[00:05:17.800 --> 00:05:19.520]  第一章第一節其實講
[00:05:19.520 --> 00:05:24.840]  他是楊歷十一十二月左右聽到耶路撒冷的消息
[00:05:24.840 --> 00:05:30.000]  到第二章波斯王和他有對話的時候已經是春季
[00:05:30.000 --> 00:05:32.720]  所以第一章這個禱告文
[00:05:32.720 --> 00:05:36.720]  可以說是尼希米在四五個月之內
[00:05:36.720 --> 00:05:41.280]  每天向神禱告的一個撮要
[00:05:41.280 --> 00:05:44.040]  尼希米為他回歸的同胞
[00:05:44.040 --> 00:05:47.200]  所遭受的苦楚深為難過
[00:05:47.200 --> 00:05:53.000]  但是尼希米禱告的重點並非求神減輕這些苦楚
[00:05:53.000 --> 00:05:57.520]  尼希米知道這些禍患都是犯罪的結果
[00:05:57.520 --> 00:06:02.760]  除非以色列人首先去認真處理他們的罪
[00:06:02.760 --> 00:06:04.920]  即使他們回到耶路撒冷
[00:06:04.920 --> 00:06:08.120]  即使他們已經重建聖殿
[00:06:08.120 --> 00:06:12.600]  苦楚仍然是會繼續的
[00:06:12.600 --> 00:06:16.000]  今天大家為了甚麼來教會呢
[00:06:16.000 --> 00:06:19.120]  你是不是來尋求平安呢
[00:06:19.120 --> 00:06:21.280]  前幾天我讀到新聞
[00:06:21.280 --> 00:06:24.720]  前加州的參議員Barbara Boxer
[00:06:24.720 --> 00:06:29.920]  光天化日之下被人在奧林匹克搶劫
[00:06:29.920 --> 00:06:34.840]  疫情似乎在死灰復燃當中
[00:06:34.840 --> 00:06:37.720]  有很多人仍然不願意打疫苗
[00:06:37.720 --> 00:06:39.240]  有些人不可能打疫苗
[00:06:39.240 --> 00:06:41.800]  但是又不願意戴口罩
[00:06:41.800 --> 00:06:44.600]  世界從來就不是很平安的
[00:06:44.600 --> 00:06:48.000]  如果你來教會是為了要得到平安
[00:06:48.000 --> 00:06:50.160]  我當然不會奇怪
[00:06:50.160 --> 00:06:56.560]  但伊斯拉基和尼西米基教導我們一個很重要的神學功課
[00:06:56.560 --> 00:06:58.600]  如果你來追求聖潔
