
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹,又讀聖經啦
[00:00:02.000 --> 00:00:04.000]  每日讀一段
[00:00:04.000 --> 00:00:06.000]  《聖經人》《聖經事》
[00:00:06.000 --> 00:00:09.000]  看看這個人物是誰
[00:00:09.000 --> 00:00:11.000]  故事是甚麼
[00:00:11.000 --> 00:00:13.000]  而看到神的手在背後工作
[00:00:13.000 --> 00:00:15.000]  心力書書的網絡
[00:00:15.000 --> 00:00:17.000]  是很開心和大家一起讀聖經的
[00:00:17.000 --> 00:00:19.000]  今次的《聖經人事》
[00:00:19.000 --> 00:00:22.000]  就是神的靈在他裏面
[00:00:22.000 --> 00:00:26.000]  這裡有兩個對象
[00:00:26.000 --> 00:00:27.000]  有兩個人物
[00:00:27.000 --> 00:00:28.000]  不是人物來的
[00:00:28.000 --> 00:00:30.000]  第一個是神的靈
[00:00:30.000 --> 00:00:32.000]  神的靈呢
[00:00:32.000 --> 00:00:34.000]  雖然眼看不到
[00:00:34.000 --> 00:00:37.000]  但是很活的
[00:00:37.000 --> 00:00:39.000]  很活躍的
[00:00:39.000 --> 00:00:41.000]  不停地做事的
[00:00:41.000 --> 00:00:43.000]  神的靈在聖經裏面最先見到是甚麼呢
[00:00:43.000 --> 00:00:46.000]  神的靈運行在水面上
[00:00:46.000 --> 00:00:47.000]  創造的時候
[00:00:47.000 --> 00:00:49.000]  神的靈已經參與了
[00:00:49.000 --> 00:00:52.000]  父神創造的時候
[00:00:52.000 --> 00:00:55.000]  找了兩個極佳的工人
[00:00:55.000 --> 00:00:57.000]  極佳的製作者
[00:00:57.000 --> 00:00:59.000]  一個是神的靈
[00:00:59.000 --> 00:01:01.000]  和聖子耶穌
[00:01:01.000 --> 00:01:03.000]  聖子 他的兒子
[00:01:03.000 --> 00:01:06.000]  六天就造起一個
[00:01:06.000 --> 00:01:09.000]  他心目中造的天地
[00:01:09.000 --> 00:01:11.000]  然後神的靈繼續工作
[00:01:11.000 --> 00:01:13.000]  從來沒有停止過
[00:01:13.000 --> 00:01:15.000]  神的靈今天仍然在工作
[00:01:15.000 --> 00:01:17.000]  神的靈在他裏面
[00:01:17.000 --> 00:01:18.000]  這個他是誰呢
[00:01:18.000 --> 00:01:19.000]  若實
[00:01:19.000 --> 00:01:22.000]  神的靈是不是在每一個人裏面呢
[00:01:22.000 --> 00:01:24.000]  信了主的就是
[00:01:24.000 --> 00:01:26.000]  但是當時不是
[00:01:26.000 --> 00:01:28.000]  如果若實的時代
[00:01:28.000 --> 00:01:29.000]  舊約的時代
[00:01:29.000 --> 00:01:32.000]  神的靈未必永遠在一個人裏面
[00:01:32.000 --> 00:01:33.000]  有時候呢
[00:01:33.000 --> 00:01:35.000]  如果神感動他就會是
[00:01:35.000 --> 00:01:37.000]  有時候不是
[00:01:37.000 --> 00:01:39.000]  特別是未認識耶和華
[00:01:39.000 --> 00:01:41.000]  神的靈有時候會感動他
[00:01:41.000 --> 00:01:43.000]  外邦人都會發生一些事
[00:01:43.000 --> 00:01:45.000]  是跟隨神的
[00:01:45.000 --> 00:01:47.000]  但是不是像我們今天這樣
[00:01:47.000 --> 00:01:49.000]  基督徒是有神的靈
[00:01:49.000 --> 00:01:51.000]  長久永遠在我們裏面
[00:01:51.000 --> 00:01:53.000]  神的靈和若實
[00:01:53.000 --> 00:01:55.000]  是怎樣的呢
[00:01:55.000 --> 00:01:57.000]  41章第37節
[00:01:57.000 --> 00:02:01.000]  神命定的事是速速成就
[00:02:01.000 --> 00:02:02.000]  昨天說
[00:02:02.000 --> 00:02:04.000]  你見到若實由他出生
[00:02:04.000 --> 00:02:06.000]  一直到他穿起一件彩衣
[00:02:06.000 --> 00:02:07.000]  被哥哥嬲他
[00:02:07.000 --> 00:02:09.000]  然後賣他
[00:02:09.000 --> 00:02:11.000]  然後被主母陷害他
[00:02:11.000 --> 00:02:13.000]  然後坐了監
[00:02:13.000 --> 00:02:15.000]  然後現在出來
[00:02:15.000 --> 00:02:17.000]  解夢
[00:02:17.000 --> 00:02:19.000]  然後呢 嘩
[00:02:19.000 --> 00:02:21.000]  這一段說就是
[00:02:21.000 --> 00:02:23.000]  若實被提升到
[00:02:23.000 --> 00:02:25.000]  一人之下 萬人之上
[00:02:25.000 --> 00:02:27.000]  整件事
[00:02:27.000 --> 00:02:29.000]  都可以見到神的靈
[00:02:29.000 --> 00:02:31.000]  在背後工作
[00:02:31.000 --> 00:02:33.000]  神掌管的事
[00:02:33.000 --> 00:02:35.000]  沒有一件失手的
[00:02:35.000 --> 00:02:37.000]  沒有一件是會說
[00:02:37.000 --> 00:02:39.000]  哎呀 一時靈不穩
[00:02:39.000 --> 00:02:41.000]  跌了 沒有的
[00:02:41.000 --> 00:02:43.000]  沒有意外的
[00:02:43.000 --> 00:02:45.000]  因為他都編排了
[00:02:45.000 --> 00:02:47.000]  而且他有能力
[00:02:47.000 --> 00:02:49.000]  叫事情按著
[00:02:49.000 --> 00:02:51.000]  他的想法去做
[00:02:51.000 --> 00:02:53.000]  神命定的事
[00:02:53.000 --> 00:02:55.000]  必速速成就
[00:02:55.000 --> 00:02:57.000]  昨天就說了
[00:02:57.000 --> 00:02:59.000]  來到這裡承接著昨天
[00:02:59.000 --> 00:03:01.000]  法老和他一切
[00:03:01.000 --> 00:03:03.000]  神福都以為
[00:03:03.000 --> 00:03:05.000]  這事為妙
[00:03:05.000 --> 00:03:07.000]  哎呀 對呀 說得對
[00:03:07.000 --> 00:03:09.000]  好呀 真的好
[00:03:09.000 --> 00:03:11.000]  要找一個人去
[00:03:11.000 --> 00:03:13.000]  管理 法老就對
[00:03:13.000 --> 00:03:15.000]  神福說
[00:03:15.000 --> 00:03:17.000]  不是跟若實說
[00:03:17.000 --> 00:03:19.000]  跟神福說 大家奉福
[00:03:19.000 --> 00:03:21.000]  法老對神福說
[00:03:21.000 --> 00:03:23.000]  像這樣的人
[00:03:23.000 --> 00:03:25.000]  最重要的是第一
[00:03:25.000 --> 00:03:27.000]  有神的靈在他裡頭
[00:03:27.000 --> 00:03:29.000]  我們豈能
[00:03:29.000 --> 00:03:31.000]  找得著呢
[00:03:31.000 --> 00:03:33.000]  他們都信很多神
[00:03:33.000 --> 00:03:35.000]  有很多
[00:03:35.000 --> 00:03:37.000]  祭司 他們的神
[00:03:37.000 --> 00:03:39.000]  但是
[00:03:39.000 --> 00:03:41.000]  法老這個時候知道
[00:03:41.000 --> 00:03:43.000]  若實的神
[00:03:43.000 --> 00:03:45.000]  才厲害 才真
[00:03:45.000 --> 00:03:47.000]  我們那些神
