
[00:00:00.000 --> 00:00:03.820]  不知大家有沒有出席過一些場合
[00:00:03.820 --> 00:00:07.640]  是會有一個主席介紹你出場的
[00:00:07.640 --> 00:00:10.780]  大家可以回想你們結婚的時候
[00:00:10.780 --> 00:00:15.800]  不知你們結婚的時候有沒有司儀介紹你出場的
[00:00:15.800 --> 00:00:17.700]  如果有的話
[00:00:17.700 --> 00:00:19.980]  那時候他們是怎樣介紹你出場的
[00:00:19.980 --> 00:00:24.500]  很有可能說這個漂亮到不得了的新娘子
[00:00:24.500 --> 00:00:27.940]  又或者說這個高大威猛的
[00:00:27.940 --> 00:00:32.740]  英俊瀟灑的新郎哥什麼什麼名字
[00:00:32.740 --> 00:00:36.820]  很有可能司儀還會加一些描述形容
[00:00:36.820 --> 00:00:38.640]  不過無論他怎樣形容
[00:00:38.640 --> 00:00:40.840]  有兩個最基本的資料
[00:00:40.840 --> 00:00:44.320]  作為介紹出場的那個人必須要包括在裡面
[00:00:44.320 --> 00:00:45.560]  什麼資料?
[00:00:45.560 --> 00:00:47.600]  第一,他是誰?
[00:00:47.600 --> 00:00:51.080]  第二,他在這個場合的角色
[00:00:51.080 --> 00:00:54.320]  這兩個最基本的資料一定要包括
[00:00:54.320 --> 00:00:56.740]  在今天的經文裡面
[00:00:56.740 --> 00:01:03.160]  施洗約翰好像是在介紹耶穌出場似的
[00:01:03.160 --> 00:01:06.080]  而這個經文告訴我們
[00:01:06.080 --> 00:01:12.060]  施洗約翰也完成了他的工作
[00:01:12.060 --> 00:01:16.120]  很清楚地介紹耶穌的身份和耶穌的角色
[00:01:16.120 --> 00:01:18.820]  他將會在地上做什麼的工作
[00:01:18.820 --> 00:01:21.920]  這兩個基本的資料他都講得很清楚
[00:01:21.920 --> 00:01:24.120]  你說這兩個資料跟我們有什麼關係?
[00:01:24.120 --> 00:01:26.920]  今天就通過這段經文讓我們看一看
[00:01:26.920 --> 00:01:33.660]  究竟在施洗約翰介紹耶穌出場的描述裡面
[00:01:33.660 --> 00:01:35.660]  跟我們有什麼關係呢?
[00:01:35.660 --> 00:01:38.280]  我們一開始的時候這個經文
[00:01:38.280 --> 00:01:40.760]  就告訴我們約翰這麼說的
[00:01:40.760 --> 00:01:45.400]  「看看,神的羔羊除去世人罪孽的」
[00:01:45.400 --> 00:01:46.720]  很清楚地告訴我們
[00:01:46.720 --> 00:01:51.740]  這個就是耶穌基督將會來到這個世界要做的工作
[00:01:51.740 --> 00:01:53.560]  我想大家留意一下
[00:01:53.560 --> 00:01:56.840]  雖然耶穌和約翰是什麼人?
[00:01:56.840 --> 00:01:58.640]  猶太人
[00:01:58.640 --> 00:02:03.400]  而當時的猶太人等了過千年
[00:02:03.400 --> 00:02:05.700]  一個人物叫做尼塞亞
[00:02:05.700 --> 00:02:08.160]  他們等了這個人物來很久了
[00:02:08.160 --> 00:02:11.360]  不過留意約翰怎麼說
[00:02:11.360 --> 00:02:15.120]  約翰沒有說耶穌這個耶穌來
[00:02:15.120 --> 00:02:19.760]  或者神的羔羊來是要除去猶太人的罪孽
[00:02:19.760 --> 00:02:21.140]  他不是這麼說的
[00:02:21.140 --> 00:02:22.560]  施洗約翰怎麼說的?
[00:02:22.560 --> 00:02:28.560]  他說這個人物來到的時候是要除去世人的罪孽
