
[00:00:00.000 --> 00:00:05.280]  我們今天再次來到繼續八福的講道系列
[00:00:05.280 --> 00:00:09.160]  繼續一同浸淫在天國的福氣裏面
[00:00:09.160 --> 00:00:11.840]  其實剛纔我和小朋友所講的
[00:00:11.840 --> 00:00:15.760]  今天我要和大家講的已經講完了
[00:00:15.760 --> 00:00:19.800]  不過在這麼重要的題目裏面
[00:00:19.800 --> 00:00:22.160]  我們值得再來到一切
[00:00:22.160 --> 00:00:25.240]  來到心思當中的意義
[00:00:25.240 --> 00:00:29.640]  這屆美國總統選舉鬥得難分難解
[00:00:29.640 --> 00:00:31.760]  當中有很多的故事
[00:00:31.760 --> 00:00:33.720]  令我想起百多年前
[00:00:33.720 --> 00:00:36.520]  在第十二屆美國總統選舉裏面
[00:00:36.520 --> 00:00:39.960]  都有一件令人深刻難忘的故事
[00:00:39.960 --> 00:00:43.800]  當年泰勒當選總統
[00:00:43.800 --> 00:00:48.760]  就職典禮定在1849年3月4日
[00:00:48.760 --> 00:00:51.160]  當日是星期日
[00:00:51.160 --> 00:00:55.080]  由於泰勒是一個很虔誠很偉新的基督徒
[00:00:55.080 --> 00:00:59.000]  因此他拒絕出席當日的就職典禮
[00:00:59.000 --> 00:01:00.920]  他要求要押後
[00:01:00.920 --> 00:01:02.280]  他這樣說
[00:01:02.280 --> 00:01:06.360]  「教堂崇拜比成爲美國總統
[00:01:06.360 --> 00:01:08.200]  對我來說更加重要」
[00:01:08.200 --> 00:01:12.320]  因此整個儀式就押後了一天
[00:01:12.320 --> 00:01:13.920]  泰勒學慕神
[00:01:13.920 --> 00:01:15.960]  將神擺在一切之上
[00:01:15.960 --> 00:01:18.840]  正好帶出我們今天要一同思想的題目
[00:01:18.840 --> 00:01:21.040]  基學慕異
[00:01:21.040 --> 00:01:23.960]  今天我們所看的經文是《馬太福音》五章六節
[00:01:23.960 --> 00:01:25.120]  那裏這樣說
[00:01:25.120 --> 00:01:26.960]  基學慕異的人有福了
[00:01:26.960 --> 00:01:30.320]  因爲他們必得飽足
[00:01:30.320 --> 00:01:32.200]  這個屬靈福氣
[00:01:32.200 --> 00:01:36.080]  是八福裏面第四個提到的屬靈福氣
[00:01:36.080 --> 00:01:38.160]  正如之前我們說過
[00:01:38.160 --> 00:01:43.480]  八福並不是八個獨立不同的福氣
[00:01:43.480 --> 00:01:47.120]  也不是形容八類有福的人
[00:01:47.120 --> 00:01:52.920]  而是從不同角度來描述一個天國子民
[00:01:52.920 --> 00:01:55.840]  應該有的生命素質應該是怎樣的
[00:01:55.840 --> 00:02:00.680]  這些屬靈福氣之間也有相關性
[00:02:00.680 --> 00:02:06.000]  就好像我們去參觀一座很美麗的建築物一樣
[00:02:06.000 --> 00:02:10.960]  我們從不同角度來欣賞這座建築物
[00:02:10.960 --> 00:02:15.720]  既然我們講到八福是天國子民的特質
[00:02:15.720 --> 00:02:17.480]  他們特別的品格的時候
[00:02:17.480 --> 00:02:24.440]  就與這個世界的原則和標準是截然不同的
[00:02:24.440 --> 00:02:27.880]  你與一些未認識神的人來分享
[00:02:27.880 --> 00:02:28.760]  你告訴他們
[00:02:28.760 --> 00:02:31.280]  這些屬靈素質他們是無法明白的
[00:02:31.280 --> 00:02:33.400]  你跟他們說飢餓的有福
[00:02:33.400 --> 00:02:36.280]  你跟他們說哀悼的有福
[00:02:36.280 --> 00:02:38.840]  你跟他們說貧窮的有福
[00:02:38.840 --> 00:02:39.960]  他們會莫名其妙
[00:02:39.960 --> 00:02:42.560]  究竟是什麼一回事呢?
[00:02:42.560 --> 00:02:45.040]  但對於我們一羣屬神的子民來說
[00:02:45.040 --> 00:02:48.320]  我們都必須要知道
[00:02:48.320 --> 00:02:51.800]  我們要以一個屬靈的目光來看八福
[00:02:51.800 --> 00:02:55.320]  否則我們也不能夠完全明白當中的意思
[00:02:55.320 --> 00:02:57.200]  甚至我們可能會誤會了
[00:02:57.200 --> 00:03:03.680]  爲什麼做基督徒好像這麼艱難、這麼艱苦呢?
[00:03:03.680 --> 00:03:06.040]  如果我們誤會了八福
[00:03:06.040 --> 00:03:09.840]  甚至是整個登山寶庫的意義
[00:03:09.840 --> 00:03:12.640]  就好像我們誤會了十芥
[00:03:12.640 --> 00:03:16.680]  我們覺得這些屬靈法則
[00:03:16.680 --> 00:03:19.520]  是對我們作出很多的限制
[00:03:19.520 --> 00:03:20.960]  是一些枷鎖
[00:03:20.960 --> 00:03:23.640]  爲什麼這些不能做,那些也不能做呢?
[00:03:23.640 --> 00:03:25.240]  有時如果我們是這樣的時候
[00:03:25.240 --> 00:03:27.120]  我們會誤會了神的意思
[00:03:27.120 --> 00:03:28.880]  其實神給我們這些屬靈的法則
[00:03:28.880 --> 00:03:31.160]  是要讓我們得到真正的自由
[00:03:31.160 --> 00:03:34.480]  和真正蒙福的人生
[00:03:34.480 --> 00:03:38.200]  耶穌這裏所說的有福是什麼意思呢?
[00:03:38.200 --> 00:03:43.080]  當然裏面包含了喜樂的意思
[00:03:43.080 --> 00:03:44.960]  包含了快樂的意思
[00:03:44.960 --> 00:03:50.200]  但這並不是世人一般所說的觀感上的快樂
[00:03:50.200 --> 00:03:52.920]  並不是強調感覺
[00:03:52.920 --> 00:03:56.720]  因爲感覺很多時候是主觀、多變
[00:03:56.720 --> 00:03:58.560]  並且是短暫的
[00:03:58.560 --> 00:04:00.280]  這裏所說的有福
[00:04:00.280 --> 00:04:02.480]  一個很重要的地方
[00:04:02.480 --> 00:04:04.120]  除了快樂的感覺之外
[00:04:04.120 --> 00:04:07.400]  是在神眼中我們有福
[00:04:07.400 --> 00:04:12.960]  是神對我們正面的評價
[00:04:12.960 --> 00:04:14.440]  是神閱納我們的
[00:04:14.440 --> 00:04:17.920]  因此祂會格外的施恩給我們
[00:04:17.920 --> 00:04:20.680]  讓我們經歷真正的喜樂
[00:04:20.680 --> 00:04:21.920]  真正有福的人
[00:04:21.920 --> 00:04:24.320]  一定是真正快樂的人
[00:04:24.320 --> 00:04:25.240]  我再說一遍
[00:04:25.240 --> 00:04:26.680]  真正有福的人
[00:04:26.680 --> 00:04:30.960]  一定是真正快樂的人
[00:04:30.960 --> 00:04:32.640]  當然
[00:04:32.640 --> 00:04:34.320]  有福的人
[00:04:34.320 --> 00:04:39.280]  有時也會遇到人生一些挑戰、一些考驗
[00:04:39.280 --> 00:04:41.320]  以致我們的心情會有起伏
[00:04:41.320 --> 00:04:43.680]  有時會有不安的情況
[00:04:43.680 --> 00:04:45.080]  但這是很正常的
[00:04:45.080 --> 00:04:48.080]  但如果這成爲我們的常規
[00:04:48.080 --> 00:04:51.240]  如果我們常常都是壽未不展的時候
[00:04:51.240 --> 00:04:52.920]  而不是例外的情況
