
[00:00:00.000 --> 00:00:05.000]  弟兄姊妹,平安,讓我們先一起祈禱
[00:00:05.000 --> 00:00:09.000]  親愛的天父,我們感謝祢的恩典
[00:00:09.000 --> 00:00:14.000]  在主日的清晨,祢讓我們有機會一同聚集
[00:00:14.000 --> 00:00:18.000]  一同唱詩讚美祢,一同思想祢的話語
[00:00:18.000 --> 00:00:23.000]  化下我們求聖靈在我們當中帶領我們
[00:00:23.000 --> 00:00:26.000]  幫助我們明白祢的說話
[00:00:26.000 --> 00:00:32.000]  令祢有智慧在我們日常生活中實行主祢的教導
[00:00:32.000 --> 00:00:34.000]  榮耀主祢的名
[00:00:34.000 --> 00:00:37.000]  奉耶穌基督的名祈禱,阿門
[00:00:37.000 --> 00:00:43.000]  今天是《約翰一書》系列的最後一講
[00:00:43.000 --> 00:00:47.000]  主題是「神就是愛」
[00:00:47.000 --> 00:00:54.000]  前一個星期,我跟大家分享「神就是生命」的時候
[00:00:54.000 --> 00:01:00.000]  是引用了《約翰一書》五章十一至十二節
[00:01:00.000 --> 00:01:03.000]  那兩節經文是這樣說的
[00:01:03.000 --> 00:01:08.000]  「這見證就是上帝賜給我們永生
[00:01:08.000 --> 00:01:12.000]  而這永生是在他兒子裡面的
[00:01:12.000 --> 00:01:16.000]  那有上帝兒子的,就有生命
[00:01:16.000 --> 00:01:21.000]  沒有上帝兒子的,就沒有生命」
[00:01:21.000 --> 00:01:28.000]  我解釋到基督徒信的永生不是長生不老
[00:01:28.000 --> 00:01:34.000]  而是一種好像神一樣,永遠不會消失的生命
[00:01:34.000 --> 00:01:38.000]  後來我再思想一下這段經文
[00:01:38.000 --> 00:01:41.000]  我就覺得我講解得不是很清楚
[00:01:41.000 --> 00:01:44.000]  要補充、糾正一下
[00:01:44.000 --> 00:01:48.000]  可能我現在正在接受化療
[00:01:48.000 --> 00:01:52.000]  對這段經文講解得不夠仔細
[00:01:52.000 --> 00:01:55.000]  請大家包容我的疏漏
[00:01:55.000 --> 00:02:02.000]  其實我們基督徒有的永生是包含了兩個元素
[00:02:02.000 --> 00:02:07.000]  第一,是一種不會消失的生命
[00:02:07.000 --> 00:02:12.000]  第二,是在上帝的家裡面
[00:02:12.000 --> 00:02:17.000]  和上帝一起永恆快樂地生活
[00:02:17.000 --> 00:02:21.000]  但經文又提到
[00:02:21.000 --> 00:02:26.000]  「沒有上帝兒子的,就沒有生命」
[00:02:26.000 --> 00:02:30.000]  這句說話的涵義
[00:02:30.000 --> 00:02:35.000]  就是沒有剛才提到的那種永生
[00:02:35.000 --> 00:02:41.000]  即是在上帝的家裡面永恆快樂地
[00:02:41.000 --> 00:02:48.000]  和上帝和所有弟兄姊妹一起生活
[00:02:48.000 --> 00:02:54.000]  但並不代表他們沒有上帝兒子的人的生命
[00:02:54.000 --> 00:03:00.000]  就會在死後一了百了
[00:03:00.000 --> 00:03:04.000]  如果人死後真是一了百了的話
[00:03:04.000 --> 00:03:08.000]  大概我們都不需要積極地傳福音
