
[00:00:00.000 --> 00:00:07.000]  我用咩來形容呢個世代呢 三個字 等下先
[00:00:07.000 --> 00:00:14.000]  我見到我細蚊仔仲細嘅時候呢 我叫佢做功課呀 食飯呀 瞓覺呀 洗碗呀 幫手做嘢啦
[00:00:14.000 --> 00:00:19.000]  佢梗係比我一個model answer就係 等下先
[00:00:19.000 --> 00:00:24.000]  而家輪到我個孫呀 上一次我去探我個孫嘅時候呢 佢三歲幾
[00:00:24.000 --> 00:00:29.000]  有三個字呢 佢就成日用嘅 wait a minute
[00:00:29.000 --> 00:00:33.000]  叫佢做乜嘢都係wait a minute 叫佢瞓覺都係wait a minute
[00:00:33.000 --> 00:00:38.000]  每一次都有下一個分鐘嘅 所以永遠都係不住嘅係wait a minute
[00:00:38.000 --> 00:00:43.000]  有時呢 我喺教會入面叫啲弟兄姊妹侍奉呢 通常我又得到呢個答案
[00:00:43.000 --> 00:00:46.000]  等下先啦 遲啲先啦 咁
[00:00:46.000 --> 00:00:51.000]  我哋中間嗰啲讀書嗰啲呀 中學生呀 大學生呀 交功課呀 寫paper啦
[00:00:51.000 --> 00:00:54.000]  佢哋一樣採採呢個得 等下先嘅政策
[00:00:54.000 --> 00:00:59.000]  到交功課前一晚呀 就趕頭趕命通宵達旦咁做
[00:00:59.000 --> 00:01:02.000]  然後就喺度埋怨話 讀書好辛苦呀
[00:01:02.000 --> 00:01:06.000]  早兩個月開工又點會辛苦呀 係咪呀
[00:01:06.000 --> 00:01:09.000]  仲有呀 我哋大人交稅呀
[00:01:09.000 --> 00:01:14.000]  都係等到最落尾個日先至趕頭趕命呀
[00:01:14.000 --> 00:01:17.000]  如果趕唔及呢 罰先算呀
[00:01:17.000 --> 00:01:23.000]  我哋叫人去信耶穌去禮拜堂呢 佢哋都係呢一招等下先
[00:01:23.000 --> 00:01:25.000]  我諗下我都係咁樣嘅
[00:01:25.000 --> 00:01:28.000]  我太太叫我做家務呢 我亦都學會等下先
[00:01:28.000 --> 00:01:33.000]  尤其是睇緊波嘅時候呀 唔好嘈 等下先 睇完先
[00:01:33.000 --> 00:01:36.000]  我諗我學得唔夠精彩呀
[00:01:36.000 --> 00:01:41.000]  或者啲仔女問我攞零用錢嘅時候 我一於用返 等下先
[00:01:41.000 --> 00:01:45.000]  其實等下先未必一定係推搪嘅說話
[00:01:45.000 --> 00:01:49.000]  等下先可能係一個更深層次嘅問題
[00:01:49.000 --> 00:01:56.000]  可能係我哋本質裏面一個內心嘅生命嘅一種特質
[00:01:56.000 --> 00:02:01.000]  等下先 遲啲先 英文叫procrastination
[00:02:01.000 --> 00:02:04.000]  你諗一諗 你自己check一check好容易
[00:02:04.000 --> 00:02:07.000]  你諗下你仲有幾多封信應該寫嘅未寫呀
[00:02:07.000 --> 00:02:11.000]  你有幾多個email應該回嘅仲未回呀
[00:02:11.000 --> 00:02:16.000]  你有幾多個答應咗話同人一齊飲茶仲未曾飲嘅呢
[00:02:16.000 --> 00:02:19.000]  有幾多個情仲未曾覆嘅呢
[00:02:19.000 --> 00:02:22.000]  有啲應許仲未曾實現嘅呢
[00:02:22.000 --> 00:02:25.000]  仲有幾多壞習慣未曾改嘅呢
[00:02:25.000 --> 00:02:27.000]  仲有幾多垃圾未曾掃嘅呢
[00:02:27.000 --> 00:02:33.000]  仲有對神許下幾多個諾言仲未曾還呢
[00:02:33.000 --> 00:02:35.000]  你試下攞呢啲嚟take一take呢
[00:02:35.000 --> 00:02:40.000]  你就好容易發覺原來我都係等下先呢一族
[00:02:40.000 --> 00:02:43.000]  老實講啦 有好多事情啦
[00:02:43.000 --> 00:02:45.000]  有好多嘢等下先都無所謂嘅
[00:02:45.000 --> 00:02:48.000]  但有啲嘢尤其是同生命有關係嘅嘢呢
[00:02:48.000 --> 00:02:52.000]  係絕對唔可以等下先
[00:02:52.000 --> 00:02:57.000]  我記得我第一個細蚊仔出世嘅時候
[00:02:57.000 --> 00:02:59.000]  我同我太太講話唔得啦
[00:02:59.000 --> 00:03:02.000]  因為第一個細蚊仔出世
[00:03:02.000 --> 00:03:04.000]  我太太懷孕第十周嘅時候呢
[00:03:04.000 --> 00:03:07.000]  就同樓下一個太太接觸
[00:03:07.000 --> 00:03:10.000]  後來個太太就話畀我哋聽佢有德國疹
[00:03:10.000 --> 00:03:15.000]  個時我哋就嚇到真係面無人色
[00:03:15.000 --> 00:03:19.000]  因為好驚住佢懷孕嘅初期染到德國疹就唔掂
[00:03:19.000 --> 00:03:21.000]  所以後來染咗冇事啦
[00:03:21.000 --> 00:03:23.000]  第一個細蚊仔出世啦
[00:03:23.000 --> 00:03:25.000]  我就同太太講話快啲去打針
[00:03:25.000 --> 00:03:27.000]  個醫生話因為佢係冇瘀嘅
[00:03:27.000 --> 00:03:29.000]  所以就唔打得針止
[00:03:29.000 --> 00:03:33.000]  咁就等咗到時後來我哋返咗香港啦
[00:03:33.000 --> 00:03:35.000]  返咗香港嘅時候呢
