
[00:00:00.000 --> 00:00:04.000]  今日的講題其實是有點尷尬
[00:00:04.000 --> 00:00:06.000]  我的講題可能是
[00:00:06.000 --> 00:00:10.000]  如何不要向家人傳福音
[00:00:10.000 --> 00:00:12.000]  因為向家人傳福音
[00:00:12.000 --> 00:00:18.000]  其實真的不是學幾招就可以的東西
[00:00:18.000 --> 00:00:21.000]  原本永泉牧師請我的時候
[00:00:21.000 --> 00:00:24.000]  我就想一定是帶我的樂器來
[00:00:24.000 --> 00:00:27.000]  因為是福音主日
[00:00:27.000 --> 00:00:30.000]  我很喜歡講福音的時候
[00:00:30.000 --> 00:00:36.000]  一起藉著音樂來溫暖一下大家的心
[00:00:36.000 --> 00:00:38.000]  昨晚我就有這個機會
[00:00:38.000 --> 00:00:41.000]  去了一間教會
[00:00:41.000 --> 00:00:50.000]  那間教會連續13年都有請吃飯的晚餐
[00:00:50.000 --> 00:00:53.000]  在酒家那裡的福音晚會
[00:00:53.000 --> 00:00:58.000]  我在那裡又跟他們吹又唱又講
[00:00:58.000 --> 00:01:04.000]  我覺得有13年不斷請家人吃飯
[00:01:04.000 --> 00:01:07.000]  吃著吃著都應該有些好的結果
[00:01:07.000 --> 00:01:11.000]  昨晚都見到有些幾好的結果
[00:01:11.000 --> 00:01:14.000]  有個人很開心地牽著我的手
[00:01:14.000 --> 00:01:18.000]  牧師來跟我爸爸媽媽拍照
[00:01:18.000 --> 00:01:20.000]  都是七老八十的爸爸媽媽
[00:01:20.000 --> 00:01:21.000]  雖然我已經不年輕
[00:01:21.000 --> 00:01:23.000]  但一起拍照
[00:01:23.000 --> 00:01:27.000]  他說很開心他們今晚能夠出來
[00:01:27.000 --> 00:01:30.000]  決志一起信教耶穌基督
[00:01:30.000 --> 00:01:34.000]  我想大家都很希望自己家裡
[00:01:34.000 --> 00:01:37.000]  都有這樣的經歷
[00:01:37.000 --> 00:01:40.000]  或者大家也是很心急
[00:01:40.000 --> 00:01:43.000]  到底你什麼時候信呢
[00:01:43.000 --> 00:01:46.000]  如果你一直都不信
[00:01:46.000 --> 00:01:49.000]  突然間走了怎麼辦呢
[00:01:49.000 --> 00:01:52.000]  對永恆的歸宿
[00:01:52.000 --> 00:01:56.000]  都令我們覺得要把握時機
[00:01:56.000 --> 00:01:59.000]  向家人傳福音
[00:01:59.000 --> 00:02:01.000]  你也知道
[00:02:01.000 --> 00:02:03.000]  其實你知不知道
[00:02:03.000 --> 00:02:08.000]  他什麼時候能夠信主悔改
[00:02:08.000 --> 00:02:13.000]  完全不在你的掌握之中
[00:02:13.000 --> 00:02:17.000]  有時候你內疚到想死
[00:02:17.000 --> 00:02:19.000]  有時候你討厭到
[00:02:19.000 --> 00:02:21.000]  差不多每一次見他
[00:02:21.000 --> 00:02:23.000]  都不知道你什麼時候死
[00:02:23.000 --> 00:02:25.000]  希望今天我見你
[00:02:25.000 --> 00:02:27.000]  你就信主了
[00:02:27.000 --> 00:02:29.000]  每一次見到你們都是這樣的面孔
[00:02:29.000 --> 00:02:32.000]  我真的不想見你
[00:02:32.000 --> 00:02:34.000]  我覺得是艱難的
[00:02:34.000 --> 00:02:36.000]  也有時候我們聽過一些
[00:02:36.000 --> 00:02:38.000]  非常感人的見證
[00:02:38.000 --> 00:02:40.000]  很開心
[00:02:40.000 --> 00:02:43.000]  當信主耶穌
[00:02:43.000 --> 00:02:44.000]  你聽完了
[00:02:44.000 --> 00:02:48.000]  然後人家整家圓圓整整
[00:02:48.000 --> 00:02:51.000]  至少核心家庭
[00:02:51.000 --> 00:02:53.000]  個個都說是信主
[00:02:53.000 --> 00:02:57.000]  很整齊地回天家相聚
[00:02:57.000 --> 00:02:58.000]  自己呢
[00:02:58.000 --> 00:03:00.000]  不見了
[00:03:00.000 --> 00:03:02.000]  很心急
[00:03:02.000 --> 00:03:04.000]  有時候有人告訴我們
[00:03:04.000 --> 00:03:06.000]  這是一個應許
[00:03:06.000 --> 00:03:10.000]  到現在我都不敢很大聲地告訴你
[00:03:10.000 --> 00:03:12.000]  這是一個應許
[00:03:12.000 --> 00:03:15.000]  你要用信心掌握神的應許
[00:03:15.000 --> 00:03:17.000]  然後你和你一家所有人
[00:03:17.000 --> 00:03:19.000]  只要是屬於你家的
[00:03:19.000 --> 00:03:21.000]  就一定會信主
[00:03:21.000 --> 00:03:22.000]  是嗎?
[00:03:22.000 --> 00:03:24.000]  是不是?
[00:03:24.000 --> 00:03:27.000]  我們連是不是都不敢問
