
[00:00:00.000 --> 00:00:04.000]  這一年第一季我們會按照整個教會主題
[00:00:04.000 --> 00:00:06.000]  剛強壯膽 守主道
[00:00:06.000 --> 00:00:08.000]  我們會講解《約書亞紀》
[00:00:08.000 --> 00:00:11.000]  我們講到《約書亞紀》來到今天這一章的時候
[00:00:11.000 --> 00:00:13.000]  我們要解決的問題非常之多
[00:00:13.000 --> 00:00:17.000]  因爲我們不知道爲什麼 然後又不知道爲什麼
[00:00:17.000 --> 00:00:18.000]  不知道爲什麼是什麼意思呢
[00:00:18.000 --> 00:00:20.000]  就是說我們不太明白
[00:00:20.000 --> 00:00:24.000]  究竟爲什麼在第四章 第五章
[00:00:24.000 --> 00:00:26.000]  過了約旦河之後
[00:00:26.000 --> 00:00:30.000]  上帝不是教約書亞怎麼攻打耶利國
[00:00:30.000 --> 00:00:33.000]  第一件事叫祂行國禮
[00:00:33.000 --> 00:00:36.000]  第二件事叫祂守逾越節
[00:00:36.000 --> 00:00:39.000]  接着有一個元帥的出現
[00:00:39.000 --> 00:00:46.000]  究竟元帥的出現和守國禮和守逾越節有什麼關係呢
[00:00:46.000 --> 00:00:50.000]  究竟對未來的戰爭有什麼影響呢
[00:00:50.000 --> 00:00:54.000]  這些不知道爲什麼 加不知道爲什麼 再加不知道爲什麼
[00:00:54.000 --> 00:00:58.000]  確實是很難解決《約書亞紀》
[00:00:58.000 --> 00:01:00.000]  它爲什麼要記載這些事情
[00:01:00.000 --> 00:01:04.000]  我們知道當一個故事去講是很容易的
[00:01:04.000 --> 00:01:08.000]  但我們要去捕捉到整個後面的意義
[00:01:08.000 --> 00:01:11.000]  就有相當的難處了
[00:01:11.000 --> 00:01:14.000]  但是我們不是找不到蛛絲馬跡的
[00:01:14.000 --> 00:01:16.000]  我們很細心去留意看的時候
[00:01:16.000 --> 00:01:19.000]  我們看到一個總體的主題
[00:01:19.000 --> 00:01:22.000]  叫做優先次序
[00:01:22.000 --> 00:01:23.000]  自從人類犯罪之後呢
[00:01:23.000 --> 00:01:28.000]  我們人就是每一個人都是自我中心的
[00:01:28.000 --> 00:01:30.000]  每一個人都是 請留意
[00:01:30.000 --> 00:01:32.000]  問題程度有多深
[00:01:32.000 --> 00:01:35.000]  我們每一個人 我們中國人有句說話
[00:01:35.000 --> 00:01:37.000]  廣東人很會安慰自己的
[00:01:37.000 --> 00:01:40.000]  人不爲己 天誅地滅
[00:01:40.000 --> 00:01:44.000]  打工不打斧頭 又是天誅地滅
[00:01:44.000 --> 00:01:52.000]  家庭主婦買菜不保存私家錢 又是天誅地滅
[00:01:52.000 --> 00:01:55.000]  男人在外面不滾 又是天誅地滅
[00:01:55.000 --> 00:01:59.000]  我們總有一些的說話安慰自己
[00:01:59.000 --> 00:02:02.000]  令到自己犯罪會舒服點
[00:02:02.000 --> 00:02:04.000]  但是如果自我中心本身
[00:02:04.000 --> 00:02:06.000]  Self Center這件事
[00:02:06.000 --> 00:02:09.000]  是對你和我是好的話
[00:02:09.000 --> 00:02:11.000]  上帝就不需要我們改變了
[00:02:11.000 --> 00:02:12.000]  聽清楚我講這件事
[00:02:12.000 --> 00:02:16.000]  上帝不是一個泛滿的父母
[00:02:16.000 --> 00:02:18.000]  明知子女做這個行爲是好
[00:02:18.000 --> 00:02:20.000]  但雖然不合他心意
[00:02:20.000 --> 00:02:22.000]  也要求他改變
[00:02:22.000 --> 00:02:25.000]  不是的 上帝一直都想你和我
[00:02:25.000 --> 00:02:27.000]  走在蒙福的路上
[00:02:27.000 --> 00:02:28.000]  和你隔着底極光車
[00:02:28.000 --> 00:02:32.000]  上帝愛你 想你蒙福
[00:02:32.000 --> 00:02:35.000]  所以他必須要和我們搞定
[00:02:35.000 --> 00:02:37.000]  一個優先次序的問題
[00:02:37.000 --> 00:02:39.000]  因爲Self Center的人
[00:02:39.000 --> 00:02:40.000]  自我中心的人
[00:02:40.000 --> 00:02:42.000]  就是萬物以我爲先
[00:02:42.000 --> 00:02:44.000]  這個很自大
[00:02:44.000 --> 00:02:45.000]  但不要忘記
[00:02:45.000 --> 00:02:47.000]  人類犯罪之後幾千年
[00:02:47.000 --> 00:02:49.000]  人類歷史沒有變過
[00:02:49.000 --> 00:02:51.000]  萬物以我爲先
[00:02:51.000 --> 00:02:53.000]  當萬物以我爲先的時候
[00:02:53.000 --> 00:02:56.000]  第一件事就會傷害你旁邊的人
[00:02:56.000 --> 00:02:57.000]  對不對
[00:02:57.000 --> 00:02:58.000]  因爲社會
[00:02:58.000 --> 00:03:00.000]  我常常聽到人家說
[00:03:00.000 --> 00:03:01.000]  這些是我們兩個人的事
[00:03:01.000 --> 00:03:02.000]  關你什麼事
[00:03:02.000 --> 00:03:03.000]  我告訴你這句話
[00:03:03.000 --> 00:03:04.000]  完全是廢話
[00:03:04.000 --> 00:03:06.000]  我再一次否定這句話
[00:03:06.000 --> 00:03:07.000]  一個世界沒有一件事
[00:03:07.000 --> 00:03:10.000]  是你兩個人的事
[00:03:10.000 --> 00:03:11.000]  聽清楚
[00:03:11.000 --> 00:03:12.000]  和你隔着底極光車的聲音
[00:03:12.000 --> 00:03:15.000]  你不是孤島
[00:03:15.000 --> 00:03:18.000]  怎可能是兩個人的事呢
[00:03:18.000 --> 00:03:21.000]  你兩個人就牽扯到這個社會的事
[00:03:21.000 --> 00:03:24.000]  這個社會就牽扯到這個社會的問題
[00:03:24.000 --> 00:03:27.000]  你做的行爲一定會影響這個社會
[00:03:27.000 --> 00:03:28.000]  我關上房門
[00:03:28.000 --> 00:03:29.000]  在我家裏幹什麼
[00:03:29.000 --> 00:03:30.000]  關你什麼事
[00:03:30.000 --> 00:03:31.000]  對不起
[00:03:31.000 --> 00:03:32.000]  你不要喫東西
[00:03:32.000 --> 00:03:33.000]  你不要扔垃圾
[00:03:33.000 --> 00:03:34.000]  你不要用電
[00:03:34.000 --> 00:03:35.000]  你不要呼吸
[00:03:35.000 --> 00:03:36.000]  對不對
[00:03:36.000 --> 00:03:38.000]  你不要燒炭
[00:03:38.000 --> 00:03:41.000]  沒有一件事是隻有兩個人的事
[00:03:41.000 --> 00:03:44.000]  所以當萬物以我爲先的時候
[00:03:44.000 --> 00:03:46.000]  就會帶來別人的傷害
[00:03:46.000 --> 00:03:49.000]  第二是什麼呢
[00:03:49.000 --> 00:03:51.000]  我舉一些例子
[00:03:51.000 --> 00:03:54.000]  爲什麼國內的同胞來香港
[00:03:54.000 --> 00:03:56.000]  對我們有這麼大的衝擊呢
[00:03:56.000 --> 00:03:58.000]  是文化的差異
[00:03:58.000 --> 00:03:59.000]  這是第一件事
[00:03:59.000 --> 00:04:01.000]  因爲我們香港人做事
[00:04:01.000 --> 00:04:03.000]  會關顧別人的
[00:04:03.000 --> 00:04:05.000]  會理會別人的感受
[00:04:05.000 --> 00:04:07.000]  但是國內同胞習慣了
[00:04:07.000 --> 00:04:09.000]  萬物以我爲先
[00:04:09.000 --> 00:04:10.000]  坐地鐵
[00:04:10.000 --> 00:04:12.000]  急起來就要小便
[00:04:12.000 --> 00:04:15.000]  這就是萬物以我爲先的好的例子
[00:04:15.000 --> 00:04:16.000]  我們香港人會
[00:04:16.000 --> 00:04:17.000]  這個不太習慣
[00:04:17.000 --> 00:04:18.000]  怎麼會這樣
[00:04:18.000 --> 00:04:20.000]  怎麼會這樣
[00:04:20.000 --> 00:04:22.000]  但是你不要忘記
[00:04:22.000 --> 00:04:25.000]  這是你和我學了很久
[00:04:25.000 --> 00:04:26.000]  學了很久
[00:04:26.000 --> 00:04:28.000]  而自我中心
[00:04:28.000 --> 00:04:30.000]  萬物以我爲先的人
[00:04:30.000 --> 00:04:31.000]  第二件事
[00:04:31.000 --> 00:04:34.000]  是不能夠得到滿足快樂的原因
[00:04:34.000 --> 00:04:36.000]  因爲我們裏面的需求
[00:04:36.000 --> 00:04:37.000]  是不斷增加
[00:04:37.000 --> 00:04:38.000]  不斷增加
[00:04:38.000 --> 00:04:39.000]  不斷增加
[00:04:39.000 --> 00:04:41.000]  我們追求事物
[00:04:41.000 --> 00:04:43.000]  人事物去滿足我們的時候
[00:04:43.000 --> 00:04:45.000]  最終我們是得不到滿足的
[00:04:45.000 --> 00:04:47.000]  你看看今天整個歐洲的
[00:04:47.000 --> 00:04:49.000]  萬物以我爲先
[00:04:49.000 --> 00:04:51.000]  人權至上的歐洲的經濟
