
[00:00:00.000 --> 00:00:04.240]  很高興再次來到這邊分享諸多話語
[00:00:04.240 --> 00:00:07.880]  真的高興 因爲神的話語蠻有能力
[00:00:07.880 --> 00:00:09.240]  不會突然返回
[00:00:09.240 --> 00:00:12.120]  好像你們今天背了些經文
[00:00:12.120 --> 00:00:13.800]  我們再念一遍好嗎
[00:00:13.800 --> 00:00:16.360]  本週默想的經句
[00:00:16.360 --> 00:00:19.320]  以賽亞書55章第11節
[00:00:19.320 --> 00:00:22.360]  在後面最後哪一塊
[00:00:22.360 --> 00:00:23.560]  一二三 來
[00:00:23.560 --> 00:00:28.480]  我從此後來絕不突然返回
[00:00:28.480 --> 00:00:31.240]  卻要成就我所喜悅的
[00:00:31.240 --> 00:00:34.360]  在我發達去成就
[00:00:34.360 --> 00:00:37.160]  一二三 本週默想的經句
[00:00:37.160 --> 00:00:39.760]  55章第11 12節
[00:00:39.760 --> 00:00:41.080]  我們再次禱告
[00:00:41.080 --> 00:00:42.240]  親愛的天父 我們謝謝你
[00:00:42.240 --> 00:00:45.040]  給我們今天早上有淨拜的時間
[00:00:45.040 --> 00:00:47.320]  也有你自己的話語的宣講
[00:00:47.320 --> 00:00:49.960]  願意主你聖靈 就是真理的靈
[00:00:49.960 --> 00:00:52.560]  在我們心裏面做啓迪的工作
[00:00:52.560 --> 00:00:54.720]  以致我們衆人不但明白
[00:00:54.720 --> 00:00:56.960]  而且能夠行出來
[00:00:56.960 --> 00:00:58.400]  就在所行的事上
[00:00:58.400 --> 00:00:59.440]  禱告別人的福
[00:00:59.440 --> 00:01:01.480]  禱告鳳祖耶穌的靈球
[00:01:01.480 --> 00:01:02.840]  阿們
[00:01:02.840 --> 00:01:13.080]  這是在暑假的時間
[00:01:13.080 --> 00:01:16.120]  很多人都回去中國
[00:01:16.120 --> 00:01:20.680]  或者回去星馬我們原來的地方
[00:01:20.680 --> 00:01:22.760]  很感謝主
[00:01:22.760 --> 00:01:28.360]  我們不知道你們坐哪個航空公司的飛機
[00:01:28.360 --> 00:01:33.400]  有沒有人坐馬航的
[00:01:33.400 --> 00:01:35.920]  其實願意先祝福你們
[00:01:35.920 --> 00:01:40.640]  我們也希望馬航越來越能夠重新的
[00:01:40.640 --> 00:01:45.960]  能夠建立他們的運作
[00:01:45.960 --> 00:01:49.800]  希望他們能夠很快的都給我們信心
[00:01:49.800 --> 00:01:52.680]  不過當你們選擇飛機也好
[00:01:52.680 --> 00:01:55.280]  這是你們發覺不單止價錢的問題
[00:01:55.280 --> 00:01:57.000]  也是考慮到安全的問題
[00:01:57.000 --> 00:01:58.440]  是不是
[00:01:58.440 --> 00:02:00.080]  就是好像你們現在坐
[00:02:00.080 --> 00:02:02.520]  坐在那個椅子上面
[00:02:02.520 --> 00:02:04.880]  穩不穩妥
[00:02:04.880 --> 00:02:06.640]  不會掉下來嗎
[00:02:06.640 --> 00:02:08.120]  你看看
[00:02:08.120 --> 00:02:09.760]  會掉下來不會
[00:02:09.760 --> 00:02:12.640]  因爲我們不會作弄你們
[00:02:12.640 --> 00:02:16.320]  我們也會保證你們的安全
[00:02:16.320 --> 00:02:18.200]  就是來到這裏
[00:02:18.200 --> 00:02:21.400]  不過我們就發覺原來信心的功課
[00:02:21.400 --> 00:02:22.880]  在平常的生活裏面
[00:02:22.880 --> 00:02:25.000]  在很小的事項
[00:02:25.000 --> 00:02:27.560]  都可以操練信心的功課
[00:02:27.560 --> 00:02:29.080]  譬如說我不知道你們
[00:02:29.080 --> 00:02:32.040]  今天早上你有沒有掙紮起來
[00:02:32.040 --> 00:02:35.040]  要不要來教會的
[00:02:35.040 --> 00:02:37.800]  要不要來教會
[00:02:37.800 --> 00:02:39.320]  有些人會的
[00:02:39.320 --> 00:02:42.480]  昨天好像廣東話他們都笑了
[00:02:42.480 --> 00:02:44.000]  有些人都掙扎
[00:02:44.000 --> 00:02:46.800]  昨天晚上很晚才睡
[00:02:46.800 --> 00:02:48.280]  今天要不要來
[00:02:48.280 --> 00:02:51.720]  那麼其實你們來到這個教會
[00:02:51.720 --> 00:02:52.840]  每一個禮拜來
[00:02:52.840 --> 00:02:54.760]  我相信你也有個信心
[00:02:54.760 --> 00:02:57.960]  就是說神是喜歡我們敬拜祂的
[00:02:57.960 --> 00:02:59.120]  你有這個信心
[00:02:59.120 --> 00:03:02.000]  神的話語能夠幫助你成長
[00:03:02.000 --> 00:03:03.600]  你繼續你的婚姻
[00:03:03.600 --> 00:03:04.920]  因爲你相信
[00:03:04.920 --> 00:03:08.840]  你們結婚的人已經結婚了
[00:03:08.840 --> 00:03:11.400]  我們還是比較好一點的
