
[00:00:00.000 --> 00:00:02.000]  首先我們看看今日的經文
[00:00:02.000 --> 00:00:06.640]  今日給我的經文是《馬可福音》三章二十至三十五節
[00:00:06.640 --> 00:00:07.840]  我們來看看我們今天的經文
[00:00:07.840 --> 00:00:10.400]  馬可福音三章二十至三十五節
[00:00:10.400 --> 00:00:11.900]  我把它讀出來
[00:00:11.900 --> 00:00:16.480]  耶穌進了屋子,眾人又聚集,甚至祂連飯也顧不得吃。
[00:00:16.480 --> 00:00:21.320]  耶穌的家人聽見就出來要拉住祂,因為他們說祂癲狂了。
[00:00:21.320 --> 00:00:28.880]  從耶路撒冷下來的文士說,祂是被北希普附身的,又說祂是靠著鬼王趕鬼的。
[00:00:28.880 --> 00:00:35.360]  耶穌叫他們來,用比喻對他們說,撒旦怎能趕出撒旦呢?
[00:00:35.360 --> 00:00:42.480]  一國若自相紛爭,那國就立不住;一家若自相紛爭,那家就立不住;
[00:00:42.480 --> 00:00:48.080]  撒旦若自相攻打紛爭,他就立不住,必定滅亡。
[00:00:48.080 --> 00:00:56.080]  沒有人能進入壯士家裡,搶奪他的東西,除非先綁住那壯士,否則無法搶奪他的家。
[00:00:56.080 --> 00:01:02.080]  我實在告訴你們,世上一切的罪和一切褻瀆的話都可以得到赦免,
[00:01:02.080 --> 00:01:07.600]  凡褻瀆聖靈的,卻永不得赦免,而要擔當永遠的罪。
[00:01:07.600 --> 00:01:10.480]  因為他們說,祂是被巫靈附身的。
[00:01:10.480 --> 00:01:17.280]  那時,耶穌的母親和她兄弟來,站在外邊,打發人去叫祂。
[00:01:17.280 --> 00:01:25.280]  有許多人在耶穌周圍坐著,他們就告訴祂,看啊,祢的母親,祢的兄弟和祢的姐妹在外面找祢。
[00:01:25.280 --> 00:01:29.280]  耶穌回答他們,誰是我的母親,誰是我的兄弟。
[00:01:29.280 --> 00:01:34.280]  就凡是那周圍坐著的人說,看啊,我的母親,我的兄弟,
[00:01:34.280 --> 00:01:38.280]  凡遵行上帝旨意的人,就是我的兄弟姐妹和母親。
[00:01:38.280 --> 00:01:41.280]  (主)您在崇拜聚會。
[00:01:41.280 --> 00:01:43.280]  我們在這裡崇拜聚會。
[00:01:43.280 --> 00:01:45.280]  (主)接著有人在旁邊告訴你。
[00:01:45.280 --> 00:01:48.280]  接下來有人在旁邊告訴你。
[00:01:48.280 --> 00:01:51.280]  (主)你媽媽和你的兄弟姐妹在門口找你。
[00:01:51.280 --> 00:01:54.280]  你的媽媽,你的兄弟姐妹在門口找你。
[00:01:54.280 --> 00:01:56.280]  你會怎麼回應呢?
[00:01:56.280 --> 00:01:57.280]  (主)你會怎麼回應呢?
[00:01:57.280 --> 00:02:02.280]  就好像耶穌的媽媽問耶穌,人家沒有酒了,怎麼辦?
[00:02:02.280 --> 00:02:06.280]  (主)就好像耶穌的母親問祂,別人都沒有酒了,怎麼辦呢?
[00:02:06.280 --> 00:02:11.280]  但是耶穌的回應通常都是超越我們所想的。
[00:02:11.280 --> 00:02:14.280]  (主)通常耶穌的回應都是超越我們所想的。
[00:02:14.280 --> 00:02:20.280]  於是耶穌就說,誰是我媽媽和兄弟姐妹,就是遵行上帝旨意的人。
[00:02:20.280 --> 00:02:24.280]  (主)於是耶穌的回應就是,誰是我的母親,誰是我的兄弟姐妹呢?
[00:02:24.280 --> 00:02:28.280]  所以很多人誤解這一句的意思,就是叫我們基督徒六親不認。
[00:02:28.280 --> 00:02:33.280]  (主)所以很多人都是誤解這個信息,覺得我們基督徒是六親不認。
[00:02:33.280 --> 00:02:39.280]  但是大家要明白耶穌說這句話,是在說究竟誰是神家裡面的人。
[00:02:39.280 --> 00:02:43.280]  (主)大家要明白耶穌講這句話,就是在講究竟誰是神家裡的人。
[00:02:43.280 --> 00:02:46.280]  不是叫我們拒絕我們的家人。
[00:02:46.280 --> 00:02:48.280]  (主)不是叫我們拒絕我們的家人。
[00:02:48.280 --> 00:02:53.280]  (主)我們經常聽到一句,我們嘗試在Living Grace上聽到的說話。
[00:02:53.280 --> 00:02:56.280]  (主)我們經常聽到一句在Living Grace上聽到的話。
[00:02:56.280 --> 00:03:00.280]  (主)就是Being seen,跟著Doing。
[00:03:00.280 --> 00:03:03.280]  (主)就是Being seen,接著Doing。
[00:03:03.280 --> 00:03:07.280]  (主)先有Being,然後有Doing。
[00:03:07.280 --> 00:03:09.280]  (主)先有Being,再有Doing。
[00:03:09.280 --> 00:03:11.280]  (主)這個是在講一個進程。
[00:03:11.280 --> 00:03:13.280]  (主)這是一個進程。
