
[00:00:00.000 --> 00:00:04.700]  薩姆爾記上三十章,第一節到第六節。
[00:00:04.700 --> 00:00:08.700]  這裏說第三日,大衛和跟隨他的人到了喜格拉。
[00:00:08.700 --> 00:00:14.000]  亞馬利人已經侵奪南地,攻破喜格拉,用火焚燒。
[00:00:14.000 --> 00:00:20.000]  擄了城內的婦女和其中的大小人口,卻沒有殺一個,都帶着走了。
[00:00:20.000 --> 00:00:24.500]  第三節,大衛和跟隨他人到了那城,不料城已經燒燬,
[00:00:24.500 --> 00:00:27.200]  他們的妻子兒女都被擄去了。
[00:00:27.200 --> 00:00:32.500]  大衛和跟隨他人就放聲大哭,直哭到沒有氣力。
[00:00:32.500 --> 00:00:40.500]  第五節,大衛的兩個妻,耶穌列人雅希暖和做過拿巴七的加密人雅比該也被擄去了。
[00:00:40.500 --> 00:00:48.500]  第六節,大衛就盛世驕極,因衆人爲自己的兒女苦惱,說要用石頭打死他。
[00:00:48.500 --> 00:00:56.500]  大衛卻依靠耶和華他的神,怎麼樣,最後我們一同來唸,心理堅固。
[00:00:56.500 --> 00:01:04.500]  連續幾個禮拜我們都在講到神的恩高,爲什麼我們需要神的恩高呢?
[00:01:04.500 --> 00:01:13.500]  因爲每當在我們人生的困境當中的時候,我們都需要從神而來特別的恩典,
[00:01:13.500 --> 00:01:18.500]  好讓我們能夠經歷神所應許的得勝。
[00:01:18.500 --> 00:01:28.500]  第六節,作爲一個神的兒女,你一定要明白,神樂意在你人生的道路當中成爲你的幫助的。
[00:01:28.500 --> 00:01:35.500]  而且在基督裏面,神已經賜給你那個得勝的恩高。
[00:01:35.500 --> 00:01:41.500]  那你說我們怎麼樣才能在生活當中承接這樣一個得勝的恩高呢?
[00:01:41.500 --> 00:01:46.500]  在聖經裏面我們看見大衛是一個有得勝恩高的人,
[00:01:46.500 --> 00:01:51.500]  他不但是在戰場上打死巨人哥利亞,
[00:01:51.500 --> 00:02:00.500]  而且在他一生當中我們也看見真的有神特別的恩典顯明在他的生命當中。
[00:02:00.500 --> 00:02:05.500]  我相信這絕對不只是因爲神揀選他這麼簡單而已,
[00:02:05.500 --> 00:02:14.500]  而是的確在大衛的生命當中是有一些特點讓他能夠承接這種得勝的恩高。
[00:02:14.500 --> 00:02:25.500]  換句話說,恩高不是一種只是能力的降臨而已,恩高更是與我們的生命是有關係的。
[00:02:25.500 --> 00:02:30.500]  跟你媽說,恩高是跟我們的生命有關的,跟她說。
[00:02:30.500 --> 00:02:34.500]  所以今天早上我們就要從大衛的身上來思想,
[00:02:34.500 --> 00:02:39.500]  我們要怎麼樣能夠承接這樣的得勝的恩高呢?
[00:02:39.500 --> 00:02:48.500]  有三方面,第一個一定要堅持信靠神,跟你媽說要堅持信靠神。
[00:02:48.500 --> 00:02:51.500]  其實如果你仔細看大衛的一生,
[00:02:51.500 --> 00:02:57.500]  你就會發現他的一生並不是像我們所想象的這麼平順。
[00:02:57.500 --> 00:03:04.500]  事實上正好相反,他的一生真的充滿了意想不到的曲折。
[00:03:04.500 --> 00:03:11.500]  從薩姆爾開始高他爲王開始,那個時候他只不過是少年人。
[00:03:11.500 --> 00:03:16.500]  一直到薩姆爾繼下猶太人真正高他爲王爲止,
[00:03:16.500 --> 00:03:20.500]  其實中間經過了13年。
[00:03:20.500 --> 00:03:26.500]  哇,你以爲當神應許你一件事情的時候,那件事情馬上就會發生,不是嗎?
[00:03:26.500 --> 00:03:33.500]  其實經過了13年,而這13年不是光光坐在那裏等而已。
[00:03:33.500 --> 00:03:37.500]  如果光是坐在那裏等也就算了。
[00:03:37.500 --> 00:03:47.500]  這13年不只是等,根本是每況愈下,而且越來越糟糕。
[00:03:47.500 --> 00:03:55.500]  事實上當他殺死哥利亞之後,他跟掃羅王的關係就越來越惡劣。
[00:03:55.500 --> 00:04:00.500]  掃羅王開始嫉妒大衛,爲什麼掃羅王嫉妒大衛呢?
[00:04:00.500 --> 00:04:05.500]  因爲姐妹們唱了一首歌,
[00:04:05.500 --> 00:04:11.500]  說掃羅殺死千千,大衛殺死萬萬。
[00:04:11.500 --> 00:04:14.500]  你是掃羅王你做何感想請問?
[00:04:14.500 --> 00:04:19.500]  就剩下王位沒有給他了嘛,不是嗎?
[00:04:19.500 --> 00:04:25.500]  所以從那一天開始,掃羅王怒視大衛。
[00:04:25.500 --> 00:04:32.500]  而且大衛在彈琴的時候,掃羅王就拿着槍想要刺死大衛。
[00:04:32.500 --> 00:04:37.500]  在你生命當中你曾經經歷過這樣的情況嗎?
