
[00:00:00.000 --> 00:00:04.660]  我們今天會開始一個新的系列講道
[00:00:04.660 --> 00:00:08.380]  主題就是「上帝的國」
[00:00:08.380 --> 00:00:09.900]  或者「天國」
[00:00:09.900 --> 00:00:12.900]  我認為一位成熟的基督徒
[00:00:12.900 --> 00:00:15.460]  就應該會熱愛聖經
[00:00:15.460 --> 00:00:17.140]  明白聖經
[00:00:17.140 --> 00:00:20.340]  以致我們從聖經的啟示裡面
[00:00:20.340 --> 00:00:24.600]  是認識上帝和上帝的旨意
[00:00:24.600 --> 00:00:28.900]  正如保羅在《羅馬書》十二章二節那裡說
[00:00:28.900 --> 00:00:31.700]  他說「不要被這個世界同化」
[00:00:31.700 --> 00:00:34.500]  「要讓上帝改造你們」
[00:00:34.500 --> 00:00:37.400]  「更新你們的心思意念」
[00:00:37.400 --> 00:00:40.700]  「好明察什麼是他的旨意」
[00:00:40.700 --> 00:00:43.100]  「知道什麼是良善」
[00:00:43.100 --> 00:00:46.500]  「完全可蒙月立的」
[00:00:46.500 --> 00:00:51.000]  上帝就是要我們這些已經被上帝改造的人
[00:00:51.000 --> 00:00:52.600]  去明察的
[00:00:52.600 --> 00:00:55.800]  明白了上帝的旨意之後
[00:00:55.800 --> 00:00:59.000]  我們就會很容易知道自己的崗位
[00:00:59.000 --> 00:01:05.500]  知道自己應該怎樣去配合上帝的旨意來生活
[00:01:05.500 --> 00:01:09.200]  當我們信服上帝的旨意生活的時候
[00:01:09.200 --> 00:01:10.500]  就是最良善
[00:01:10.500 --> 00:01:14.700]  完全一定會得蒙上帝的月立
[00:01:14.700 --> 00:01:17.700]  很多人大概都會知道
[00:01:17.700 --> 00:01:20.100]  聖經不是一本書
[00:01:20.100 --> 00:01:22.900]  而是一個小型的圖書館
[00:01:22.900 --> 00:01:26.300]  裡面其實有六十六卷書
[00:01:26.300 --> 00:01:28.400]  可以分成兩大部分
[00:01:28.400 --> 00:01:31.000]  就是舊約和新約
[00:01:31.000 --> 00:01:36.600]  這六十六卷書有沒有一個主題信息呢?
[00:01:36.600 --> 00:01:38.800]  theme 英文是theme
[00:01:38.800 --> 00:01:40.900]  有些神學家認為
[00:01:40.900 --> 00:01:44.100]  約就是聖經的主題信息
[00:01:44.100 --> 00:01:45.800]  不過我就不同意
[00:01:45.800 --> 00:01:48.800]  雖然聖經中時時都有提到約
[00:01:48.800 --> 00:01:53.400]  包括上帝和全人類所立的彩虹之約
[00:01:53.400 --> 00:01:56.500]  和阿伯拉罕和他的子孫所立的約
[00:01:56.500 --> 00:02:00.000]  和主耶穌和我們所立的新約
[00:02:00.000 --> 00:02:03.700]  但是約只是一種工具
[00:02:03.700 --> 00:02:08.300]  去證明納約的人的意願
[00:02:08.300 --> 00:02:11.700]  其實我們現代社會都一樣會納約
[00:02:11.700 --> 00:02:13.800]  比如說婚姻之約
[00:02:13.800 --> 00:02:17.900]  但是婚約不是婚姻的主題
[00:02:17.900 --> 00:02:23.700]  婚姻的主題是一男一女要建立一個夫婦的關係
[00:02:23.700 --> 00:02:25.900]  然後發展家庭
[00:02:25.900 --> 00:02:30.200]  我認為聖經的主題就是上帝的國
[00:02:30.200 --> 00:02:33.100]  或者簡化一點叫天國
[00:02:33.100 --> 00:02:36.500]  在舊約聖經裡面沒有很清楚說明
[00:02:36.500 --> 00:02:40.500]  上帝的心意是要建立他的國
[00:02:40.500 --> 00:02:44.500]  但是在新約中是很清楚的
[00:02:44.500 --> 00:02:47.700]  主耶穌就是那位從天上降下來
[00:02:47.700 --> 00:02:49.800]  要做天國的王
[00:02:49.800 --> 00:02:52.700]  所以當主耶穌出來傳道的時候
[00:02:52.700 --> 00:02:56.100]  祂就說上帝的國快實現了
