
[00:00:00.000 --> 00:00:02.460]  今天我們繼續要講
[00:00:02.460 --> 00:00:06.460]  啟示錄七間教會的信息
[00:00:06.460 --> 00:00:09.620]  今天我們要講第四間的教會
[00:00:09.620 --> 00:00:14.260]  推也推拉的教會
[00:00:14.260 --> 00:00:17.820]  我們都會跟隨我們過去的模式
[00:00:17.820 --> 00:00:20.500]  我們沒有辦法可以看完
[00:00:20.500 --> 00:00:24.380]  整卷的書信從頭到尾的信息
[00:00:24.380 --> 00:00:29.940]  我們去看神對教會的期望
[00:00:29.940 --> 00:00:35.140]  每一間教會神都有一些稱讚的說話
[00:00:35.140 --> 00:00:40.700]  每一間教會都有一些責備的說話
[00:00:40.700 --> 00:00:47.100]  推也推拉教會是七封書信裡最長的一封
[00:00:47.100 --> 00:00:53.260]  也是最多責備說話的一封
[00:00:53.260 --> 00:00:58.220]  我們第一間看的教會是以弗所教會
[00:00:58.220 --> 00:01:00.100]  以弗所教會的景況
[00:01:00.100 --> 00:01:06.900]  和推也推拉教會的景況剛剛相反
[00:01:06.900 --> 00:01:11.980]  以弗所教會是一個能夠堅守真理的教會
[00:01:11.980 --> 00:01:15.900]  不過缺乏愛心
[00:01:15.900 --> 00:01:20.100]  但是推也推拉教會剛剛相反
[00:01:20.100 --> 00:01:23.860]  他們非常有愛心也有信心
[00:01:23.860 --> 00:01:28.740]  不過不能夠持守真理
[00:01:28.740 --> 00:01:30.380]  教會都是這樣的
[00:01:30.380 --> 00:01:32.860]  不要說全部都好了
[00:01:32.860 --> 00:01:37.220]  當然有些東西是不妥當的
[00:01:37.220 --> 00:01:42.580]  讓我們花點時間去看推也推拉教會
[00:01:42.580 --> 00:01:47.340]  去明白神對教會的期望
[00:01:47.340 --> 00:01:54.140]  神對推也推拉教會有一個稱讚和一個責備
[00:01:54.140 --> 00:01:59.940]  他的稱讚是稱讚他們有愛心有信心
[00:01:59.940 --> 00:02:05.100]  稱讚他們繼續做很多好事
[00:02:05.100 --> 00:02:08.100]  做很多善事
[00:02:08.100 --> 00:02:14.340]  神怎樣去稱讚推也推拉教會呢?
[00:02:14.340 --> 00:02:15.900]  在第十九節這樣說
[00:02:15.900 --> 00:02:18.340]  祂說我知道你的行為
[00:02:18.340 --> 00:02:23.060]  愛心信心勤勞忍耐
[00:02:23.060 --> 00:02:25.980]  又知道你末後所行的善事
[00:02:25.980 --> 00:02:30.500]  比起初所行的更多
[00:02:30.500 --> 00:02:32.940]  主祂說我知道你們的行為
[00:02:32.940 --> 00:02:35.100]  有什麼行為呢?
[00:02:35.100 --> 00:02:44.740]  就是愛心信心勤勞和忍耐
[00:02:44.740 --> 00:02:53.900]  愛心是一切德行的根基
[00:02:53.900 --> 00:03:03.980]  信心是指我們對上帝那份信靠的心
[00:03:03.980 --> 00:03:10.860]  勤勞是應該翻譯成服務服事
[00:03:10.860 --> 00:03:21.540]  就是去救濟窮人和看顧患病的人
[00:03:21.540 --> 00:03:26.580]  忍耐就是不氣餒
[00:03:26.580 --> 00:03:35.340]  用信心去克服各樣的難處
[00:03:35.340 --> 00:03:40.660]  他們都有了
[00:03:40.660 --> 00:03:43.580]  因為他們有愛心
[00:03:43.580 --> 00:03:47.540]  他們願意勤勞地去服事
[00:03:47.540 --> 00:03:52.420]  去關心有需要的人
[00:03:52.420 --> 00:03:56.100]  因為他們有信心
[00:03:56.100 --> 00:03:59.940]  面對各種的艱難
