
[00:00:00.000 --> 00:00:04.860]  我們讀兩節的聖經,在四篇九十篇十六跟十七兩節,
[00:00:04.860 --> 00:00:09.340]  我們一同來念,來,願祢的作為向祢僕人顯現,
[00:00:09.340 --> 00:00:12.060]  願祢的榮耀向他們子孫顯明,
[00:00:12.060 --> 00:00:15.380]  願主我們神的榮美歸於我們身上,
[00:00:15.380 --> 00:00:17.780]  願祢建立我們所所做的功,
[00:00:17.780 --> 00:00:20.660]  我們所所做的功,願祢建立。
[00:00:20.660 --> 00:00:24.100]  我們就讀到這裡,感謝神過去兩天的晚上,
[00:00:24.100 --> 00:00:27.660]  我們全教會有一個突破跟復興之夜,
[00:00:27.660 --> 00:00:30.260]  有多少人這兩天來參加了有沒有?
[00:00:30.260 --> 00:00:31.900]  Hallelujah! 感謝主!
[00:00:31.900 --> 00:00:35.660]  那真的,我覺得有這種迷你的培靈會是蠻好的,
[00:00:35.660 --> 00:00:37.820]  沒有什麼繁瑣的這種事工,
[00:00:37.820 --> 00:00:40.220]  我們就是聚集在神的面前,
[00:00:40.220 --> 00:00:41.820]  享受神的同在,
[00:00:41.820 --> 00:00:43.820]  經歷神的大能,Amen!
[00:00:43.820 --> 00:00:45.940]  我看見在這兩天晚上裡面,
[00:00:45.940 --> 00:00:49.060]  神好像重新眺望我們中間,
[00:00:49.060 --> 00:00:52.140]  有一個渴望復興的靈,
[00:00:52.140 --> 00:00:55.180]  特別在這樣一個充滿危機的時代,
[00:00:55.180 --> 00:00:59.140]  多少時候當我們面對人生各樣的關口,
[00:00:59.140 --> 00:01:02.260]  我們真的不知道何去何從,
[00:01:02.260 --> 00:01:05.540]  我們必須承認我們沒有答案,
[00:01:05.540 --> 00:01:07.540]  我們真的需要神,
[00:01:07.540 --> 00:01:11.060]  我們需要神來復興我們,Amen!
[00:01:11.060 --> 00:01:15.300]  我還記得禮拜五晚上David跟Stacy特別提到,
[00:01:15.300 --> 00:01:17.980]  當我們在面對人生各樣關口,
[00:01:17.980 --> 00:01:20.540]  渴望經歷突破的時候,
[00:01:20.540 --> 00:01:24.020]  我們需要一種衝刺的力量,
[00:01:24.020 --> 00:01:26.620]  這種衝刺的力量是什麼呢?
[00:01:26.620 --> 00:01:29.620]  他就特別說到這個衝刺的力量,
[00:01:29.620 --> 00:01:32.700]  就是一種集中火力的禱告,
[00:01:32.700 --> 00:01:36.220]  跟聯邦說集中火力的禱告,
[00:01:36.220 --> 00:01:41.140]  因為禱告是神所賜給我們能夠勝過仇敵,
[00:01:41.140 --> 00:01:46.340]  勝過一切黑暗權勢最有效的武器,Amen!
[00:01:46.340 --> 00:01:49.340]  所以越是當你在黑暗的時刻,
[00:01:49.340 --> 00:01:52.500]  越是在仇敵攻擊你的時刻,
[00:01:52.500 --> 00:01:57.820]  你越是要抓住神的應許向神來禱告,
[00:01:57.820 --> 00:01:59.820]  因為神的心意,
[00:01:59.820 --> 00:02:03.140]  就是要在仇敵攻擊你的地方,
[00:02:03.140 --> 00:02:06.140]  要來經歷神的突破,Amen!
[00:02:06.140 --> 00:02:08.500]  我再說一遍,神的心意,
[00:02:08.500 --> 00:02:12.260]  就是要你在仇敵攻擊你的地方,
[00:02:12.260 --> 00:02:15.380]  要來經歷神的突破,Amen!
[00:02:15.380 --> 00:02:16.820]  但事實上神的心意,
[00:02:16.820 --> 00:02:21.020]  不單是讓我們藉著禱告經歷祂的突破而已,
[00:02:21.020 --> 00:02:24.380]  神今天也呼召我們要起來,
