
[00:00:00.000 --> 00:00:04.000]  如果你要找一個全世界最受歡迎的聖經故事
[00:00:04.000 --> 00:00:07.000]  相信你一定會想起羅亞方舟這個故事
[00:00:07.000 --> 00:00:09.000]  當小孩子還小的時候
[00:00:09.000 --> 00:00:11.000]  曾經去買過一些兒童用品
[00:00:11.000 --> 00:00:17.000]  總會找到羅亞方舟這個水上的動物園可愛的設計
[00:00:17.000 --> 00:00:20.000]  並且這些設計裡面一定有一隻動物
[00:00:20.000 --> 00:00:22.000]  就是長頸鹿
[00:00:22.000 --> 00:00:24.000]  羅亞方舟Noah's Ark
[00:00:24.000 --> 00:00:27.000]  相信是一個最iconic的聖經故事
[00:00:27.000 --> 00:00:29.000]  今次舊約網上行第四集
[00:00:29.000 --> 00:00:32.000]  我們一起來研究創世紀一至十一章
[00:00:32.000 --> 00:00:34.000]  是整本聖經的導言
[00:00:34.000 --> 00:00:39.000]  而中間六至八章就是交代方舟的故事
[00:00:39.000 --> 00:00:44.000]  羅亞洪水的技術都比其他的事跡更加長
[00:00:44.000 --> 00:00:47.000]  可見它有多麼重要
[00:00:47.000 --> 00:00:49.000]  我們提過創世紀一至十一章
[00:00:49.000 --> 00:00:51.000]  有一個很重要的目的
[00:00:51.000 --> 00:00:57.000]  就是要跟當時美索不達米亞近東的神話思潮做爭辯
[00:00:57.000 --> 00:01:01.000]  看當時世界的人怎樣去思考洪水這個災難
[00:01:01.000 --> 00:01:03.000]  聖經提出什麼辯駁
[00:01:03.000 --> 00:01:05.000]  當中有什麼特別的神學信息
[00:01:05.000 --> 00:01:08.000]  歡迎你跟我們舊約網上行
[00:01:27.000 --> 00:01:40.000]  在美索不達米亞這個世界
[00:01:40.000 --> 00:01:43.000]  河水氾濫不是罕有的事
[00:01:43.000 --> 00:01:45.000]  今日的南美索不達米亞
[00:01:45.000 --> 00:01:48.000]  伊拉克南部近波斯灣是沙漠一片
[00:01:48.000 --> 00:01:51.000]  印象當中是不會有河水氾濫這件事
[00:01:51.000 --> 00:01:54.000]  很大程度是因為在過去幾十年
[00:01:54.000 --> 00:01:57.000]  伊拉克土耳其敘利亞這三個國家
[00:01:57.000 --> 00:02:04.000]  在上游經驗了大約有二十幾個大大小小的水壩
[00:02:04.000 --> 00:02:05.000]  舉個例子
[00:02:05.000 --> 00:02:10.000]  2018年土耳其剛剛啟用了Elisu Dam大水壩
[00:02:10.000 --> 00:02:12.000]  引起了國際關注
[00:02:12.000 --> 00:02:15.000]  因為大大阻截了Tigris River下流的水量
[00:02:15.000 --> 00:02:18.000]  造成了很多生態上的破壞
[00:02:18.000 --> 00:02:25.000]  但是自古以來這個地方兩河流域是常有河水氾濫這件事
[00:02:25.000 --> 00:02:28.000]  洪水的季節是三月至八月之間
[00:02:28.000 --> 00:02:30.000]  三月春天會暖
[00:02:30.000 --> 00:02:33.000]  北面的高山會積雪溶解
[00:02:33.000 --> 00:02:35.000]  春雨連長的時候
[00:02:35.000 --> 00:02:37.000]  河水就會上漲
[00:02:37.000 --> 00:02:40.000]  五月的水位很多時候是最高
[00:02:40.000 --> 00:02:42.000]  一直到七八月才會減少
[00:02:42.000 --> 00:02:45.000]  而美索不達米亞這個盆地
[00:02:45.000 --> 00:02:48.000]  它的傾斜度是非常低的
[00:02:48.000 --> 00:02:49.000]  非常平坦
[00:02:49.000 --> 00:02:51.000]  洪水的季節的時候
