
[00:00:00.000 --> 00:00:08.000]  (主席)感謝天父讓我們一同聚會,敬拜,讚美,我們一同低頭禱告
[00:00:08.000 --> 00:00:18.000]  天父,我們感謝你,讓我們眾人在你面前是蒙你的准許,英允,能夠到你面前來屈膝
[00:00:18.000 --> 00:00:27.000]  求主按著你豐盛的慈愛,向我們施恩憐憫,好讓凡到你面前來尋求你的人,能夠尋見
[00:00:27.000 --> 00:00:35.000]  在你面前飢渴慕意的人得著飽足,更加讓那些等候你的人能夠重新得力
[00:00:35.000 --> 00:00:42.000]  求你按著你豐盛的榮耀,藉著你的靈,叫我們眾人心裡的力量能夠剛強起來
[00:00:42.000 --> 00:00:49.000]  讓我們能夠明白你的愛,不單是長闊高深,更知道你的愛是超過我們所能測度
[00:00:49.000 --> 00:00:56.000]  是叫我們成就你要我們所做的事工,讓我們一生能夠榮神益人
[00:00:56.000 --> 00:01:04.000]  願你的名被告舉,願你的話語充滿能力,願聖靈的感動在我們中間
[00:01:04.000 --> 00:01:10.000]  使我們眾人再一次見到你自己,奉耶穌基督名字祈求,阿門
[00:01:10.000 --> 00:01:18.000]  在每一個禮拜聚會裡面,我相信很多時候,因為一個禮拜五十二次,我們都挺恩秦的
[00:01:18.000 --> 00:01:22.000]  我不知道你今天早上回來聚會有沒有什麼特別的感覺
[00:01:22.000 --> 00:01:27.000]  或者,我用或者這個詞
[00:01:27.000 --> 00:01:34.000]  在過去一個禮拜十天裡面,你聽了道,你真的認罪悔改了
[00:01:34.000 --> 00:01:38.000]  所以這次你回來會覺得輕鬆一點
[00:01:38.000 --> 00:01:42.000]  又或者過去一個禮拜裡面,你聽了道,你提醒了你
[00:01:42.000 --> 00:01:49.000]  你覺得我應該這樣做了,因為我曾經站立起來,願意侍奉主
[00:01:49.000 --> 00:01:55.000]  在這次廣州培靈會裡面,有大概近六千人會回調
[00:01:55.000 --> 00:02:02.000]  會回調裡面,當然一大部分,有一部分是願意全時間奉獻師奉神去入神學院的
[00:02:02.000 --> 00:02:08.000]  那些未必一定這麼多六千人,我想如果到時候有六十個,應該是挺好的
[00:02:08.000 --> 00:02:12.000]  因為如果六百個在香港神學院,不知道怎麼辦
[00:02:12.000 --> 00:02:17.000]  但其中有一部分的人,他們是立志願意進去人群的
[00:02:17.000 --> 00:02:22.000]  我聽一個姐妹跟我說,我在辦公室裡面好多年
[00:02:22.000 --> 00:02:26.000]  不是,幾年,因為大家忙,已經停了那些查經班
[00:02:26.000 --> 00:02:30.000]  你試我回去重啟查經班
[00:02:30.000 --> 00:02:34.000]  你不查經,你祈禱會都可以的,是不是
[00:02:34.000 --> 00:02:37.000]  這些是生命的見證,生活的見證
[00:02:37.000 --> 00:02:42.000]  立志之後,又或者你在我家裡面,過去已經好久沒有家庭聚會了
[00:02:42.000 --> 00:02:46.000]  我現在要開始回家庭聚會了
[00:02:46.000 --> 00:02:50.000]  很多見證,你試我去到婚禮會現場的時候
[00:02:50.000 --> 00:02:53.000]  我講名字都不怕了,因為這是見證
[00:02:53.000 --> 00:02:55.000]  在我以前工作過的林姑娘
[00:02:55.000 --> 00:02:59.000]  我帶她大姐姐,二姐姐,三姐姐,幾姐妹一起
[00:02:59.000 --> 00:03:01.000]  叫我很開心,我問她
[00:03:01.000 --> 00:03:04.000]  你今天來,是啊,這個是我二姐姐,這個是我大姐姐
[00:03:04.000 --> 00:03:06.000]  我說誰信主先行
[00:03:06.000 --> 00:03:11.000]  一個姐姐信主,全家都認識了
[00:03:14.000 --> 00:03:19.000]  大會結束了,我不知道姓林繼續在大家心中做著什麼工作
[00:03:19.000 --> 00:03:22.000]  給你會不會見到一些東西
[00:03:22.000 --> 00:03:25.000]  有一個新的感覺
[00:03:25.000 --> 00:03:31.000]  早上沒有試唱歌,是一些樂器拉的
[00:03:31.000 --> 00:03:34.000]  我不知道你聽不聽到什麼出來
[00:03:34.000 --> 00:03:40.000]  不過我覺得音樂是令我覺得可以很安靜,安穩在世界面前
[00:03:40.000 --> 00:03:46.000]  又或者你看到我們的場景有什麼改變,有什麼特別的地方
[00:03:46.000 --> 00:03:50.000]  都是這樣,是不是都是這樣
[00:03:50.000 --> 00:03:52.000]  我告訴你一定不是這樣
[00:03:52.000 --> 00:03:57.000]  起碼這盤花已經不是了
[00:03:57.000 --> 00:04:01.000]  這盤花我講一點點,因為我很少在講道之前講其他東西
[00:04:01.000 --> 00:04:07.000]  我見到一位姐妹,她星期六回來要做這件事
[00:04:07.000 --> 00:04:12.000]  我一見到她,我姐妹就辛苦了,什麼辛苦啊,侍奉神
[00:04:12.000 --> 00:04:15.000]  我說你這麼辛苦,不如開班吧
[00:04:15.000 --> 00:04:18.000]  她說我們有開班的,有沒有人來,有人來
[00:04:18.000 --> 00:04:21.000]  我說那為什麼現在還不回來
[00:04:21.000 --> 00:04:23.000]  她說不是,現在多了一個姊妹幫忙
[00:04:23.000 --> 00:04:27.000]  我大概知道現在目前教會裡面有三個姊妹負責這個工作
[00:04:27.000 --> 00:04:32.000]  不過其他的人呢,他們學她上路,叫她做她就不肯
[00:04:35.000 --> 00:04:38.000]  我沒有任何指責,怪指責
[00:04:38.000 --> 00:04:43.000]  你學習是真的,可以令到家裡漂亮很多
[00:04:43.000 --> 00:04:47.000]  但是做這個工作的人,他要每個禮拜定時定候
[00:04:47.000 --> 00:04:50.000]  用時間去購買花
[00:04:50.000 --> 00:04:53.000]  然後在這裡一個人,沒有人跟他聊天
[00:04:53.000 --> 00:04:56.000]  除非有時候我們走過多口跟他聊兩句
[00:04:56.000 --> 00:05:00.000]  沉沉寂寂地做,我想起碼兩個小時
[00:05:03.000 --> 00:05:06.000]  嘩,多漂亮啊,拍了它吧
[00:05:06.000 --> 00:05:10.000]  放在你的Facebook上,加一句金句上去吧
[00:05:10.000 --> 00:05:14.000]  這些你們是不會欣賞的
[00:05:14.000 --> 00:05:17.000]  差不多都是這樣
[00:05:17.000 --> 00:05:23.000]  我們詩琴,那些不用練嗎?
[00:05:23.000 --> 00:05:25.000]  詩班不用唱嗎?
[00:05:25.000 --> 00:05:30.000]  我們有些詩班的班員,當然很多人都想去培力會唱歌
[00:05:31.000 --> 00:05:35.000]  有些為了要他媽媽下午請假
[00:05:35.000 --> 00:05:39.000]  因為他怕他下午五點半要下班的時候
[00:05:39.000 --> 00:05:45.000]  老闆叫他進去,我們中間有做老闆
[00:05:45.000 --> 00:05:47.000]  他一聊,經過那間工廠,我怎麼來?
[00:05:47.000 --> 00:05:49.000]  不如下午請假吧
[00:05:49.000 --> 00:05:52.000]  免得這些事情發生
[00:05:52.000 --> 00:05:55.000]  真的,不是一個人,很多個都是這樣
[00:05:55.000 --> 00:06:00.000]  當有一個饑渴無意心,願意聽到,願意侍奉的時候
[00:06:00.000 --> 00:06:02.000]  你已經準備好了
[00:06:02.000 --> 00:06:05.000]  你不餓,你不會想吃
[00:06:05.000 --> 00:06:08.000]  你餓了,什麼都好吃
[00:06:08.000 --> 00:06:12.000]  所以今天如果你餓了,我讀完《聖經》就關了
