
[00:00:00.000 --> 00:00:02.680]  感謝神可以再一次有機會
[00:00:02.680 --> 00:00:07.480]  在大家當中和大家分享上帝的說話
[00:00:07.480 --> 00:00:13.320]  兩三個月我還有機會可以來到大家當中
[00:00:13.320 --> 00:00:17.640]  一起去思想上帝的說話
[00:00:17.640 --> 00:00:20.280]  在我預備的時候
[00:00:20.280 --> 00:00:27.560]  我就打算只是說啟示錄二一章這八節的聖經
[00:00:27.560 --> 00:00:30.840]  不過當我一直在預備的時候
[00:00:30.840 --> 00:00:37.360]  我覺得還有一些經文想和大家分享
[00:00:37.360 --> 00:00:46.320]  所以這篇和大家分享只是我分享的其中一部分
[00:00:46.320 --> 00:00:56.480]  有其他部分留待下一次和大家分享
[00:00:56.480 --> 00:00:59.680]  今天我改了一些講題
[00:00:59.680 --> 00:01:03.200]  雖然都是講絕望講希望
[00:01:03.200 --> 00:01:10.120]  不過有一個很重要的題目就是
[00:01:10.120 --> 00:01:14.360]  突然間我想到我看到什麼呢
[00:01:14.360 --> 00:01:19.800]  這個就是啟示錄裡面經常重複的
[00:01:19.800 --> 00:01:27.440]  看到什麼以致在絕望裡面看到希望
[00:01:27.440 --> 00:01:33.680]  所以今天想和大家分享這方面的信息
[00:01:33.680 --> 00:01:35.240]  在我分享之前
[00:01:35.240 --> 00:01:40.000]  我們一起低頭我們同心的祈禱
[00:01:40.000 --> 00:01:42.560]  親愛的天父多謝你
[00:01:42.560 --> 00:01:47.320]  你招聚我們一齊來敬拜你
[00:01:47.320 --> 00:01:50.320]  求神讓我們看到你的真實
[00:01:50.320 --> 00:01:54.080]  你是那位值得我們去敬拜
[00:01:54.080 --> 00:01:57.400]  你是佩得我們的尊敬
[00:01:57.400 --> 00:02:02.760]  你是佩得權並榮耀坐在寶座上的那一位
[00:02:02.760 --> 00:02:05.360]  求你吸引我們的心
[00:02:05.360 --> 00:02:09.440]  讓我們看到主你高高在上
[00:02:09.440 --> 00:02:11.960]  我們要虎伏敬拜
[00:02:11.960 --> 00:02:19.400]  開啟我們心靈的眼睛讓我們看到你的真實
[00:02:19.400 --> 00:02:23.200]  幫助我們一起敬拜一起謙卑
[00:02:23.200 --> 00:02:25.400]  求你潔淨我們每一個
[00:02:25.400 --> 00:02:29.000]  讓我們在耶穌基督的保佑的任備下
[00:02:29.000 --> 00:02:32.040]  我們去到你的面前去敬拜主
[00:02:32.040 --> 00:02:33.920]  月立我們的敬拜
[00:02:33.920 --> 00:02:35.960]  奉耶穌聖名祈禱
[00:02:35.960 --> 00:02:45.640]  下門 我想大家都很熟悉這個主祷文
[00:02:45.640 --> 00:02:50.680]  在主祷文裡面其中的第三句
[00:02:50.680 --> 00:02:53.720]  願你的各降臨
[00:02:53.720 --> 00:02:56.400]  願你的旨意行在地上
[00:02:56.400 --> 00:02:58.160]  如同行在天上
[00:02:58.160 --> 00:03:00.960]  可能我們每一個人都語蜀能詳
[00:03:00.960 --> 00:03:05.160]  你能夠可以背誦這個主祷文
[00:03:05.160 --> 00:03:07.840]  不過是不是你真是這麼渴望
[00:03:07.840 --> 00:03:10.760]  願主的各降臨呢
[00:03:10.760 --> 00:03:15.720]  如果我說將各道改作天堂
[00:03:15.720 --> 00:03:17.560]  願你的天堂降臨
[00:03:17.560 --> 00:03:21.000]  你現在誰想上天堂的
[00:03:21.000 --> 00:03:22.160]  想不想
[00:03:22.160 --> 00:03:24.880]  你說不要 現在不要上
[00:03:24.880 --> 00:03:26.440]  遲一點吧
[00:03:26.440 --> 00:03:32.720]  立即你覺得你不想死
[00:03:32.720 --> 00:03:37.200]  有很多弟兄姊妹
[00:03:37.200 --> 00:03:38.920]  有時候我聽到說
[00:03:38.920 --> 00:03:41.920]  哎呀 如果我沒有了數據你會怎樣
[00:03:41.920 --> 00:03:45.760]  你立即說我想死了 是不是
[00:03:45.760 --> 00:03:47.320]  你有沒有說過
