
[00:00:00.000 --> 00:00:03.160]  好,我們今天會看一篇我們很熟悉的經文
[00:00:03.160 --> 00:00:06.860]  這些經文我們很熟悉,但是我們可能都會忽略了
[00:00:06.860 --> 00:00:08.260]  甚至沒有實踐的
[00:00:08.260 --> 00:00:10.500]  我們先很快地來讀一次
[00:00:10.500 --> 00:00:13.640]  《雅各書》第四章,十三到第十七節
[00:00:13.640 --> 00:00:15.760]  我們很快地讀吧,預備,一二三
[00:00:15.760 --> 00:00:18.560]  是,你們有話說
[00:00:18.560 --> 00:00:22.400]  今天,明天,我們要往某城裡去
[00:00:22.400 --> 00:00:26.000]  在那裡住一年,做買賣得利
[00:00:26.000 --> 00:00:29.600]  其實明天如何,你們還不知道
[00:00:29.600 --> 00:00:32.100]  你們的生命是什麼呢
[00:00:32.100 --> 00:00:34.600]  你們原來是一片雲霧
[00:00:34.600 --> 00:00:37.400]  出現小時就不見了
[00:00:37.400 --> 00:00:40.600]  你們只當說,主若願意
[00:00:40.600 --> 00:00:42.600]  我們就可以活著
[00:00:42.600 --> 00:00:46.000]  也可以做這事,或做那事
[00:00:46.000 --> 00:00:49.200]  現今你們竟以張狂誇口
[00:00:49.200 --> 00:00:52.200]  凡這樣誇口,都是惡的
[00:00:52.200 --> 00:00:55.200]  人若知道行善,卻不去行
[00:00:55.200 --> 00:00:57.400]  這就是他的罪了
[00:00:57.400 --> 00:00:59.100]  我想大家都很熟悉這篇經文
[00:00:59.100 --> 00:01:02.100]  我們一想,這篇經文應該是給微信的人
[00:01:02.100 --> 00:01:03.900]  在報道會裡用的
[00:01:03.900 --> 00:01:05.900]  因為其中一節經文說到
[00:01:05.900 --> 00:01:07.400]  你知不知道你的生命如何
[00:01:07.400 --> 00:01:08.900]  明天如何,你又不知道
[00:01:08.900 --> 00:01:10.600]  你出現遍時就不見了
[00:01:10.600 --> 00:01:13.700]  這樣的時候,你怎樣面對你的人生呢
[00:01:13.700 --> 00:01:16.300]  好僧,我自己來港報道會的時候
[00:01:16.300 --> 00:01:18.600]  都引用過這篇經文
[00:01:18.600 --> 00:01:20.700]  但想大家弄清楚
[00:01:20.700 --> 00:01:24.400]  這篇信息不是給微信的人
[00:01:24.400 --> 00:01:26.100]  是寫給教會
[00:01:26.100 --> 00:01:30.300]  特別是針對教會裡有錢的人
[00:01:30.300 --> 00:01:31.900]  如果我們留意雅各書
[00:01:31.900 --> 00:01:33.900]  一開始就說雅各是寫給
[00:01:33.900 --> 00:01:36.900]  散居在外地十二支派的人
[00:01:36.900 --> 00:01:39.100]  而這群人是正在面對苦難
[00:01:39.100 --> 00:01:40.300]  正在面對逼迫
[00:01:40.300 --> 00:01:42.900]  正在面對很多的衝擊
[00:01:42.900 --> 00:01:46.900]  這時候,為何會有錢的人呢
[00:01:46.900 --> 00:01:48.700]  你留意到第一個字
[00:01:48.700 --> 00:01:50.700]  是甚麼意思呢
[00:01:50.700 --> 00:01:53.300]  原來前文已經說了一大段東西
[00:01:53.300 --> 00:01:56.500]  但雅各都很怕他們已經渾游障礙
[00:01:56.500 --> 00:01:58.100]  好像我講到的時候
[00:01:58.100 --> 00:01:59.500]  可能講到中段的時候
[00:01:59.500 --> 00:02:02.300]  發覺有些人已經心不在焉了
[00:02:02.300 --> 00:02:04.300]  在手機上已經不是在看廣章
[00:02:04.300 --> 00:02:05.600]  而是在看YouTube的時候
[00:02:05.600 --> 00:02:09.500]  於是我便提醒大家
[00:02:09.500 --> 00:02:10.500]  就是這個意思
[00:02:10.500 --> 00:02:13.100]  這個字是一個很少有的字
[00:02:13.100 --> 00:02:16.700]  跟著跟他說以下這個信息是很重要的
[00:02:16.700 --> 00:02:20.900]  到你們有話說第四章第十三節
[00:02:20.900 --> 00:02:22.900]  你留意到這一句話
[00:02:22.900 --> 00:02:24.300]  就是代表了甚麼呢
[00:02:24.300 --> 00:02:27.900]  就是代表了不只是一個人的思維
[00:02:27.900 --> 00:02:29.100]  是跟著甚麼呢
[00:02:29.100 --> 00:02:31.100]  原來是他們普遍一些人
[00:02:31.100 --> 00:02:33.700]  他們有的想法
