
[00:00:00.000 --> 00:00:06.900]  各位朋友、各位頂姐妹,歡迎你來到列室橫芳堂網絡復活節主日的講道
[00:00:06.900 --> 00:00:12.400]  今天的經文是來自約翰芳第20章第6到第7節
[00:00:12.400 --> 00:00:18.900]  我們相信耶穌死而復活的信息,大概如果你能夠回到教會內,你一定聽過
[00:00:18.900 --> 00:00:21.400]  如果你比較少回教會,不要緊
[00:00:21.400 --> 00:00:28.400]  大概你讀中學、小學的時候,無論是基督教也好、天主教也好,甚至是宗教也好
[00:00:28.400 --> 00:00:35.400]  可能你的老師,可能你的朋友也會跟你講過有關耶穌復活的故事
[00:00:35.400 --> 00:00:41.400]  今天我很想嘗試用三件物品,用另一個包裝或者另一個角度
[00:00:41.400 --> 00:00:45.400]  跟大家重溫一下耶穌基督復活的重要性
[00:00:45.400 --> 00:00:49.400]  第一樣就是餐巾,又或者叫做Lapkin
[00:00:49.400 --> 00:00:54.400]  如果你去到一間稍微像樣一點的餐廳,準備吃飯的時候
[00:00:54.400 --> 00:00:57.400]  大概我相信那間餐廳也會提供餐巾
[00:00:57.400 --> 00:01:01.400]  但是如果放在你的餐桌上的餐巾是這樣的話
[00:01:01.400 --> 00:01:06.400]  拿著一塊髒兮兮又有素質的話,你會不會用呢?
[00:01:06.400 --> 00:01:09.400]  我相信大家一定不會用這條餐巾
[00:01:09.400 --> 00:01:13.400]  因為不單止用過,甚至是更加髒兮兮的
[00:01:13.400 --> 00:01:16.400]  怎樣才會考慮用這條餐巾呢?
[00:01:16.400 --> 00:01:21.400]  大概一定要摺得很好看,而且也是必需乾淨的
[00:01:21.400 --> 00:01:25.400]  根據約翰芳第20章第6到第7節
[00:01:25.400 --> 00:01:28.400]  經文這樣說,他說進墳墓裡去
[00:01:28.400 --> 00:01:31.400]  就看見西麻布還放在那裡
[00:01:31.400 --> 00:01:35.400]  又看見耶穌的果頭根沒有和西麻布放在一處
[00:01:35.400 --> 00:01:38.400]  是另在一處捲著的
[00:01:38.400 --> 00:01:41.400]  耶穌已經在墳墓裡三人了
[00:01:41.400 --> 00:01:45.400]  耶穌基督的門徒西門彼得和約翰
[00:01:45.400 --> 00:01:48.400]  他們兩個收到消息,聽說耶穌的屍體不見了
[00:01:48.400 --> 00:01:53.400]  disappeared,所以他們兩個人就一支箭這樣衝去
[00:01:53.400 --> 00:01:55.400]  當他們進到墳墓的時候
