
[00:00:00.000 --> 00:00:01.760]  弟兄姊妹主 平安
[00:00:01.760 --> 00:00:04.520]  很高興見到大家一齊來崇拜
[00:00:04.520 --> 00:00:06.520]  一起敬拜主
[00:00:06.520 --> 00:00:08.920]  也問候家中的弟兄姊妹
[00:00:08.920 --> 00:00:10.200]  願你們平安
[00:00:10.200 --> 00:00:13.040]  我們一起有個祈禱
[00:00:13.040 --> 00:00:16.000]  親愛的主 多謝祢
[00:00:16.000 --> 00:00:19.400]  因為祢讓我們有生命的氣息
[00:00:19.400 --> 00:00:22.920]  讓我們有生命的氣息去敬拜祢
[00:00:22.920 --> 00:00:25.680]  去聽祢的話 聽祢的吩咐
[00:00:25.680 --> 00:00:27.080]  願主幫助我們
[00:00:27.080 --> 00:00:30.480]  讓我們生命裏面有祢與我們同在
[00:00:30.480 --> 00:00:33.680]  我們都能活出主祢喜悅的生命
[00:00:33.680 --> 00:00:35.440]  求祢帶領我們的學習
[00:00:35.440 --> 00:00:36.400]  我們的思考
[00:00:36.400 --> 00:00:37.400]  我們的聆聽
[00:00:37.400 --> 00:00:39.840]  祈禱奉耶穌名字而求
[00:00:39.840 --> 00:00:40.840]  阿們
[00:00:40.840 --> 00:00:44.440]  今天和大家分享一個題目
[00:00:44.440 --> 00:00:46.840]  叫做「你都有今日」
[00:00:46.840 --> 00:00:51.040]  我不知道你有沒有說過這句說話
[00:00:51.040 --> 00:00:54.040]  你什麼時候會說這句說話的呢
[00:00:54.040 --> 00:00:57.640]  大家心裏都笑了 也不敢說出來
[00:00:57.640 --> 00:00:59.040]  「你都有今日」
[00:00:59.040 --> 00:01:01.760]  很多時候我們都想起畫面就是這樣
[00:01:01.760 --> 00:01:03.760]  有班這樣的人
[00:01:03.760 --> 00:01:06.320]  很壞壞地跟你說
[00:01:06.320 --> 00:01:08.320]  「你都有今日」
[00:01:08.320 --> 00:01:10.040]  我有沒有說過呢
[00:01:10.040 --> 00:01:12.040]  我也有說過這句說話
[00:01:12.040 --> 00:01:14.040]  我什麼時候說過這句說話呢
[00:01:14.040 --> 00:01:17.640]  原來在大約三年多前
[00:01:17.640 --> 00:01:19.040]  我說過這句說話
[00:01:19.040 --> 00:01:21.040]  是什麼情境說呢
[00:01:21.040 --> 00:01:24.040]  話說在大約三年多前
[00:01:24.040 --> 00:01:26.040]  我還沒有來美國之前
[00:01:26.040 --> 00:01:31.040]  我都要安頓好那邊香港教會的各樣事情
[00:01:31.040 --> 00:01:36.040]  其中除了要處理教會的堂主任的接班
[00:01:36.040 --> 00:01:40.040]  和教會一些轉制的工作
[00:01:40.040 --> 00:01:42.040]  另外一個很重要的任務
[00:01:42.040 --> 00:01:45.040]  就是安納我們的同工
[00:01:45.040 --> 00:01:47.040]  因為事實上
[00:01:47.040 --> 00:01:49.040]  現在你眼前見到的這兩位同工
[00:01:49.040 --> 00:01:52.040]  分別在網上崇拜
[00:01:52.040 --> 00:01:55.040]  在網上都跟我們說過道
[00:01:55.040 --> 00:01:56.040]  一位就是劉牧師
[00:01:56.040 --> 00:01:58.040]  一位就是黃牧師
[00:01:58.040 --> 00:02:00.040]  事實上他們過去的日子
[00:02:00.040 --> 00:02:02.040]  他們都忠心耿耿
[00:02:02.040 --> 00:02:04.040]  在教會裏面都一直參與
[00:02:04.040 --> 00:02:06.040]  教會的青少年的牧養
[00:02:06.040 --> 00:02:08.040]  婦女的牧養
[00:02:08.040 --> 00:02:11.040]  和整體教會的一些關顧
[00:02:11.040 --> 00:02:13.040]  探訪等等不同的工作
[00:02:13.040 --> 00:02:14.040]  所以經歷了幾年
[00:02:14.040 --> 00:02:19.040]  亦都通過我們的總會
[00:02:19.040 --> 00:02:22.040]  開放了多一些
[00:02:22.040 --> 00:02:25.040]  容易安納牧師
[00:02:25.040 --> 00:02:27.040]  因為以往你都知道
[00:02:27.040 --> 00:02:29.040]  華人教會安納一個牧師
[00:02:29.040 --> 00:02:30.040]  是重重艱辛
[00:02:30.040 --> 00:02:33.040]  十幾二十年都不會安得到
[00:02:33.040 --> 00:02:35.040]  這裏可能有些不同
[00:02:35.040 --> 00:02:36.040]  但在香港如果你能夠
[00:02:36.040 --> 00:02:38.040]  十幾二十年都等得到
[00:02:38.040 --> 00:02:40.040]  安得到都是一個很大的恩典
[00:02:40.040 --> 00:02:42.040]  但我們經過轉制之後
[00:02:42.040 --> 00:02:44.040]  我們這兩位同工
[00:02:44.040 --> 00:02:47.040]  很用心去牧養教會的時候
[00:02:47.040 --> 00:02:49.040]  我肯定他們
[00:02:49.040 --> 00:02:52.040]  亦都得到我們教會的肯定
[00:02:52.040 --> 00:02:54.040]  所以終於在我離開之前
[00:02:54.040 --> 00:02:59.040]  可以順利在2023年3月26日
[00:02:59.040 --> 00:03:01.040]  為他們安納牧師
[00:03:01.040 --> 00:03:03.040]  所以當時我和他們說的一句說話
[00:03:03.040 --> 00:03:05.040]  就是「你都有今日了」
[00:03:05.040 --> 00:03:09.040]  這句說話是甚麼呢?
[00:03:09.040 --> 00:03:10.040]  是一個祝福
[00:03:10.040 --> 00:03:12.040]  因為牧養辛苦了很多年
[00:03:12.040 --> 00:03:14.040]  其實牧養不是為了命
[00:03:14.040 --> 00:03:15.040]  不是為了利
[00:03:15.040 --> 00:03:18.040]  不過這個鹹頭
[00:03:18.040 --> 00:03:19.040]  這個積鹹
[00:03:19.040 --> 00:03:22.040]  是對他們生命侍奉的肯定
