
[00:00:00.000 --> 00:00:04.180]  好,我們開始一起做下祈禱
[00:00:04.180 --> 00:00:08.000]  我們的天父幫助我們在一個新的環境裏面
[00:00:08.000 --> 00:00:11.600]  仍然可以專心去聆聽一個
[00:00:11.600 --> 00:00:16.680]  我們在過去很多個禮拜裏面一直去思想的訊息
[00:00:16.680 --> 00:00:18.920]  路德記的訊息
[00:00:18.920 --> 00:00:19.920]  主要特別幫助我們
[00:00:19.920 --> 00:00:23.340]  因為我們所學的不單止是路德記
[00:00:23.340 --> 00:00:27.100]  而是講究竟我們應該怎樣去體明這本聖經
[00:00:27.100 --> 00:00:29.600]  聖經究竟在講些甚麼
[00:00:29.600 --> 00:00:35.040]  而上帝又呼召今天我們應該要怎樣去跟隨祂
[00:00:35.040 --> 00:00:37.340]  祝福我們一齊的時間
[00:00:37.340 --> 00:00:40.720]  今天我們已經踏入路德記的尾聲
[00:00:40.720 --> 00:00:42.580]  亦都當中有很多
[00:00:42.580 --> 00:00:46.440]  可能意想不到我們還未想過的事情
[00:00:46.440 --> 00:00:51.120]  幫助我們去擁抱利華語的豐富
[00:00:51.120 --> 00:00:55.380]  亦都是看見祂對我們的呼召那種挑戰
[00:00:55.380 --> 00:01:00.220]  叫我們好像路德當年那樣去回應
[00:01:00.220 --> 00:01:02.680]  祢對我們生命裏面的呼召
[00:01:02.680 --> 00:01:04.040]  再次多謝祢
[00:01:04.040 --> 00:01:06.440]  祝福我們今天的聚會
[00:01:06.440 --> 00:01:08.420]  這樣祈禱去奉主耶穌基督名求
[00:01:08.420 --> 00:01:09.640]  阿門
[00:01:09.640 --> 00:01:12.560]  好 今晚我頗期待的
[00:01:12.560 --> 00:01:15.180]  不過亦都有少少震驚的
[00:01:15.180 --> 00:01:18.140]  因為我們可能會觸碰到很多事情
[00:01:18.140 --> 00:01:21.200]  你可能未想過的
[00:01:21.200 --> 00:01:23.960]  但是是值得去思考的
[00:01:23.960 --> 00:01:27.220]  有少少除了路德記之外
[00:01:27.220 --> 00:01:31.260]  你會發現我們會看很多其他不同的經文等等
[00:01:31.260 --> 00:01:34.640]  亦都繼續歡迎你去上網聽
[00:01:34.640 --> 00:01:39.620]  或者去看看PowerPoint或者Email我的問題
[00:01:39.620 --> 00:01:42.760]  下星期回來我們還有一段我們要看的
[00:01:42.760 --> 00:01:44.820]  就是《新約聖經》裏面耶穌的加譜
[00:01:44.820 --> 00:01:49.340]  其實跟路德記是連上一個很直接的關係
[00:01:49.340 --> 00:01:51.340]  看看時間方面
[00:01:51.340 --> 00:01:57.760]  如果有時間我們可以做一個小小的總結或者是問答
[00:01:57.760 --> 00:01:59.580]  如果你在這裏幾個星期
