
[00:00:00.000 --> 00:00:07.000]  今天當你們看到這個講題的時候, 不知道你們有什麼思想呢?
[00:00:07.000 --> 00:00:11.000]  當你們看到這個講題的時候, 不知道你們有什麼思想?
[00:00:11.000 --> 00:00:18.000]  有什麼人和事物和你在一起, 令到你開心或者不開心呢?
[00:00:18.000 --> 00:00:22.000]  有什麼事和物和你們在一起, 讓你們開心或者不開心呢?
[00:00:22.000 --> 00:00:26.000]  我剛剛在香港幾天前回來
[00:00:26.000 --> 00:00:31.000]  我剛剛在香港幾天前回來
[00:00:31.000 --> 00:00:36.000]  香港比較熱門的話題就是什麼時候換香港的身份證
[00:00:36.000 --> 00:00:40.000]  香港比較熱門的話題就是什麼時候換香港的身份證
[00:00:40.000 --> 00:00:44.000]  當然有些爭議性的就是一地兩檢的問題
[00:00:44.000 --> 00:00:50.000]  有一個比較敏感的問題是一地兩檢的問題
[00:00:50.000 --> 00:00:55.000]  國際消息北韓又在搞搞震, 又放飛彈
[00:00:55.000 --> 00:00:59.000]  國際消息北韓又在搞搞震, 又放飛彈
[00:00:59.000 --> 00:01:02.000]  搞個一萬, 他們很想將財務更加保羅
[00:01:02.000 --> 00:01:09.000]  反飛看加拿大, 央行今年已經加了半厘息了兩次
[00:01:09.000 --> 00:01:13.000]  央行已經加過兩次息, 已經加了半厘了
[00:01:13.000 --> 00:01:19.000]  最近也有議題大麻合法化, 怎樣有一個安全的住舍屋
[00:01:19.000 --> 00:01:24.000]  最近比較熱門的話題是大麻合法化和安全住舍屋
[00:01:24.000 --> 00:01:29.000]  個人或者家庭的方面, 會不會為你子女色惡的問題煩惱呢?
[00:01:29.000 --> 00:01:33.000]  個人和家庭有沒有為了兒女心血的問題而煩惱呢?
[00:01:33.000 --> 00:01:36.000]  夫婦的關係, 工作上的事情
[00:01:36.000 --> 00:01:39.000]  夫婦的關係, 工作上的事情
[00:01:39.000 --> 00:01:45.000]  又或者以我們這樣的年紀, 很多人都在想退休, 究竟什麼時候退休呢?
[00:01:45.000 --> 00:01:48.000]  到我們這個年齡, 想到什麼時候開始退休呢?
[00:01:48.000 --> 00:01:53.000]  很多這些人事物其實就是和我們在一起
[00:01:53.000 --> 00:01:56.000]  很多這樣的事物, 都和我們在一起
[00:01:56.000 --> 00:02:01.000]  沒錯, 這些事其實在我們的生命裏面, 衝擊很大的
[00:02:01.000 --> 00:02:05.000]  沒有錯, 這些事對我們生命的衝擊非常大
[00:02:05.000 --> 00:02:10.000]  但是這些和理在的事情, 其實在你生命裏面
[00:02:10.000 --> 00:02:13.000]  只是一個很短暫的小插曲而已
[00:02:13.000 --> 00:02:18.000]  就是和你在一起這個只是在你生命當中, 只是一個很短暫的小插曲
[00:02:18.000 --> 00:02:25.000]  其實應該我們的目光就是去追求永恆價值的和理在一起的事情
[00:02:25.000 --> 00:02:29.000]  我們應該真正追求的是永恆價值和你在一起的事情
[00:02:29.000 --> 00:02:33.000]  真正追求永恆的價值和理在一起
[00:02:33.000 --> 00:02:36.000]  第一就是要追求神和理在一起
[00:02:36.000 --> 00:02:41.000]  和你在一起是要追求和神在一起
[00:02:41.000 --> 00:02:43.000]  追求神和理在一起
[00:02:43.000 --> 00:02:48.000]  我和大家來分享一個小點, 就是喜樂的心從神來
[00:02:48.000 --> 00:02:53.000]  讓我和大家分享一個小點, 是喜樂的心從神而來
[00:02:53.000 --> 00:02:58.000]  或者我們一起來讀菲勒比斯的四章第十節
[00:02:58.000 --> 00:03:01.000]  你們都有一個insert來印出來
[00:03:01.000 --> 00:03:06.000]  讓我們大家一起來讀《唯利比斯》第四章第十節
[00:03:06.000 --> 00:03:14.000]  我在此裡大大喜樂, 因為如今已隔了一段長時間
[00:03:14.000 --> 00:03:18.000]  你們對我再次謀發思念之情
[00:03:18.000 --> 00:03:25.000]  關於我的事, 你們向來就激烈, 只是沒有機會表達
[00:03:25.000 --> 00:03:31.000]  我否認保羅信主的年日, 依靠主是他喜樂的一個鎖匙
[00:03:31.000 --> 00:03:38.000]  無可否認保羅信主的年日, 依靠主是不可缺少的鑰匙
[00:03:38.000 --> 00:03:43.000]  在菲勒比斯的詩信裡, 保羅用了十二次喜樂
[00:03:43.000 --> 00:03:47.000]  在菲利比斯的信中, 保羅用了十二次喜樂
[00:03:47.000 --> 00:03:50.000]  三次用了靠主喜樂的字眼
[00:03:50.000 --> 00:03:53.000]  三次用了靠主喜樂的字眼
[00:03:53.000 --> 00:03:55.000]  喜樂是什麼呢?
[00:03:55.000 --> 00:03:56.000]  喜樂是什麼呢?
[00:03:56.000 --> 00:04:08.000]  喜樂就是不會為外在環境的順或者逆, 好的為影響而產生, 就在內在裡的喜樂
[00:04:08.000 --> 00:04:16.000]  喜樂就是不為外在環境的遜和劣, 好與壞而影響而產生的內在的喜樂
[00:04:16.000 --> 00:04:18.000]  就是joy的意思
[00:04:18.000 --> 00:04:19.000]  就是joy這麼解釋
[00:04:19.000 --> 00:04:22.000]  《史獨行傳》第五章曾經有一個記載
[00:04:22.000 --> 00:04:24.000]  《史獨行傳》第五章有這樣的記載
[00:04:24.000 --> 00:04:31.000]  彼得和眾信徒因為全港復活的耶穌被工會的人打了一頓
[00:04:31.000 --> 00:04:37.000]  彼得和眾信徒因為全家符合的耶穌而不公費打了一頓
[00:04:37.000 --> 00:04:41.000]  又被恐嚇不要再去全港神的道
[00:04:41.000 --> 00:04:43.000]  又被恐嚇不再居全神的道
[00:04:43.000 --> 00:04:45.000]  接著他們被釋放
[00:04:45.000 --> 00:04:47.000]  工作釋放他們
[00:04:47.000 --> 00:04:56.000]  但是聖經記載他們歡歡喜喜的離開公議會, 因為他們算是配受這個名來受辱
[00:04:56.000 --> 00:05:03.000]  這樣他們就歡歡喜喜的離開公議會, 因為他們實際上配為證明受譽
[00:05:03.000 --> 00:05:09.000]  為了神的名受苦, 心裡有歡喜, 就是有joy, 有這個喜樂
[00:05:09.000 --> 00:05:14.000]  為神的名而受苦, 而心裡就有喜樂
[00:05:14.000 --> 00:05:17.000]  這就是Joy的意思
[00:05:17.000 --> 00:05:23.000]  保羅當他寫菲律賓書的時候, 為主的緣故身處監獄
[00:05:23.000 --> 00:05:28.000]  保羅寫菲律賓書的時候, 是為主的緣故身處監獄
[00:05:28.000 --> 00:05:36.000]  但是他不會因為這個外在的際遇而難過, 憂愁, 擔心
[00:05:36.000 --> 00:05:40.000]  反而用存在一個喜樂的心去面對
[00:05:40.000 --> 00:05:45.000]  他不但因為這個外在的際遇而難過, 憂愁, 擔心
[00:05:45.000 --> 00:05:47.000]  反而用存在一個喜樂的心去面對
[00:05:47.000 --> 00:05:52.000]  他還鼓勵信徒要喜樂, 學習一無掛類
[00:05:52.000 --> 00:05:56.000]  要鼓勵信徒要喜樂, 學習一無掛類
[00:05:56.000 --> 00:06:01.000]  而在這節的經文裡面, 第十節, 保羅的喜樂
[00:06:01.000 --> 00:06:06.000]  他更加是因為菲律賓的信徒思念著他
[00:06:06.000 --> 00:06:12.000]  保羅的喜樂, 在第十節裡面提到, 更因為菲律賓教會的人思念他而喜樂
[00:06:12.000 --> 00:06:18.000]  保羅精果講到, 這個菲律賓的信徒向來就來思念他
[00:06:18.000 --> 00:06:21.000]  然後, 菲律賓的信徒向來思念他
[00:06:21.000 --> 00:06:26.000]  所以, 保羅他的心大大的喜樂
[00:06:26.000 --> 00:06:28.000]  保羅心大大喜樂
[00:06:28.000 --> 00:06:30.000]  什麼叫思念呢?
[00:06:30.000 --> 00:06:31.000]  什麼叫思念呢?
[00:06:31.000 --> 00:06:41.000]  思念就是關心、關懷, 放在心上, 記掛著, 願意將思想給它化為行動
[00:06:41.000 --> 00:06:48.000]  思念就是關心、關懷, 放在心上, 記掛著, 願意將思想化為行動
[00:06:48.000 --> 00:06:53.000]  從這段經文來看, 保羅看到菲律賓的信徒的行動
[00:06:53.000 --> 00:06:58.000]  就是顧念保羅在經濟上的需要, 而供給給他
[00:06:58.000 --> 00:07:01.000]  從這段經文來看, 保羅看到菲律賓的信徒的行動
[00:07:01.000 --> 00:07:05.000]  就是顧念保羅在經濟上的需要, 而供給給他
[00:07:05.000 --> 00:07:13.000]  保羅的喜樂, 是因為他和菲律賓的信徒都在主耶穌基督裡面
[00:07:13.000 --> 00:07:18.000]  保羅的喜樂, 是因為他和菲律賓的信徒都在主耶穌基督裡面
[00:07:18.000 --> 00:07:23.000]  沒錯, 有人來到奎鎮的一些財物, 當然是開心
[00:07:23.000 --> 00:07:25.000]  有人來到奎鎮的一些財物, 當然開心
[00:07:25.000 --> 00:07:30.000]  但是最重要的, 他們所做的就是透過主裡面的愛
[00:07:30.000 --> 00:07:34.000]  活出這個行動所帶出來的喜樂
[00:07:34.000 --> 00:07:39.000]  更正的是他們所做的, 是透過主的愛, 活出這個行動帶出喜樂
[00:07:39.000 --> 00:07:45.000]  各位弟兄姊妹, 在你們的工作環境裡面, 或者在你們的生活裡面
[00:07:45.000 --> 00:07:47.000]  你的喜樂從何而來呢?
[00:07:47.000 --> 00:07:53.000]  弟兄姊妹, 在你們生活環境當中, 在工作當中, 你們的喜樂從何而來呢?
[00:07:53.000 --> 00:07:58.000]  從工作而言, 是不是有一份工作, 你們就有喜樂呢?
[00:07:58.000 --> 00:08:01.000]  從工作而言, 是不是有一份工作就是喜樂呢?
[00:08:01.000 --> 00:08:02.000]  我相信都不會的
[00:08:02.000 --> 00:08:03.000]  我相信不會
[00:08:03.000 --> 00:08:09.000]  我深信我們仍然有工作的人, 我們的壓力比以前更加大
[00:08:09.000 --> 00:08:13.000]  我深信有工作壓力的人, 他壓力比以前更大
[00:08:13.000 --> 00:08:15.000]  辛苦是加倍的
[00:08:15.000 --> 00:08:16.000]  辛苦是加倍的
[00:08:16.000 --> 00:08:22.000]  一生來到兼數職, 說一堆人話, 忙到有氣, 沒地方休息
[00:08:22.000 --> 00:08:30.000]  辛苦了, 可能身兼傷職, 甚至連氣都喘不過來
[00:08:30.000 --> 00:08:34.000]  這個我相信都是很多今天工作人員的寫照
[00:08:34.000 --> 00:08:38.000]  我很相信是當今社會工作人員的寫照
[00:08:38.000 --> 00:08:42.000]  保羅提醒我們, 喜樂是從神來的
[00:08:42.000 --> 00:08:44.000]  保羅提醒我們, 喜樂是從神而來的
[00:08:44.000 --> 00:08:47.000]  依靠主才是喜樂的鎖匙
[00:08:47.000 --> 00:08:50.000]  依靠主才是喜樂的鑰匙
[00:08:50.000 --> 00:08:57.000]  依靠主就是常常與神在一起
[00:08:57.000 --> 00:09:03.000]  從神的說話來明白神的心意
[00:09:03.000 --> 00:09:08.000]  從神的眼光角度來看世界上一切的事物
[00:09:08.000 --> 00:09:11.000]  從神的眼光角度來看世界的一切事物
[00:09:11.000 --> 00:09:18.000]  天地都會過去, 神的話才是永存
[00:09:18.000 --> 00:09:23.000]  在學習經歷神的過程中, 無論是順境或逆境
[00:09:23.000 --> 00:09:27.000]  知道祂常與我們同在, 就有喜樂
[00:09:27.000 --> 00:09:30.000]  在經歷神的過程中, 無論是順境還是逆境
[00:09:30.000 --> 00:09:33.000]  知道祂常與我們同在, 這就是喜樂
[00:09:33.000 --> 00:09:37.000]  丙姐妹, 你經歷過與你同在的喜樂嗎?
[00:09:37.000 --> 00:09:41.000]  丙姐妹, 你有被經歷過與你同在的喜樂嗎?
[00:09:41.000 --> 00:09:46.000]  求主幫助我們一個渴慕的心, 常常親近祂
[00:09:46.000 --> 00:09:49.000]  你一定會得到贖天的喜樂
[00:09:49.000 --> 00:09:52.000]  求主幫助我們一個渴慕的心, 常常親近祂
[00:09:52.000 --> 00:09:55.000]  就會得到贖天的喜樂
[00:09:55.000 --> 00:10:00.000]  追求神和你在一起, 不單止是喜樂的心從神來
[00:10:00.000 --> 00:10:03.000]  更加是知足常樂, 靠主恩
[00:10:03.000 --> 00:10:07.000]  就是說, 追求與神在一起的這個喜樂
[00:10:07.000 --> 00:10:11.000]  不光是要常常知樂, 靠主恩
[00:10:11.000 --> 00:10:16.000]  俾立俾書第四章十一到十二節
[00:10:16.000 --> 00:10:18.000]  俾立俾書第四章十一到十二節
