
[00:00:00.000 --> 00:00:03.640]  下星期將會是聖誕崇拜
[00:00:03.640 --> 00:00:07.440]  所以下星期整個主角會在下星期講
[00:00:07.440 --> 00:00:12.080]  我們知道耶穌基督來是有劃時代的改變
[00:00:12.080 --> 00:00:16.240]  祂來到很清楚 祂說主的靈在祂身上
[00:00:16.240 --> 00:00:21.400]  祂用高高距將福音給貧乏人
[00:00:21.400 --> 00:00:24.440]  無論你是真的貧乏 或者是心靈的貧乏
[00:00:24.440 --> 00:00:27.480]  你遇見福音是必定會改變的 必定的
[00:00:27.480 --> 00:00:31.720]  祂說得很清楚 恨眼的要得漢見
[00:00:31.720 --> 00:00:33.960]  我們都不是恨眼 為什麼恨眼要得漢見
[00:00:33.960 --> 00:00:37.560]  因為我們看的東西很短視 我們看的東西是扭曲
[00:00:37.560 --> 00:00:40.680]  我不知道大家有誰戴眼鏡在看電視
[00:00:40.680 --> 00:00:46.680]  有誰是近視 但戴了隱形眼鏡
[00:00:46.680 --> 00:00:49.280]  隱形眼鏡 你就知道我說什麼了
[00:00:49.280 --> 00:00:52.680]  誰又戴隱形眼鏡了 我說你也不是很多
[00:00:52.680 --> 00:00:56.280]  你脫下隱形眼鏡好不好
[00:00:56.280 --> 00:00:59.400]  我們都好像看得到東西 不過看得不清楚
[00:00:59.400 --> 00:01:04.920]  我們要看到一個屬靈的視野 看到生命 看到人生是不同的
[00:01:04.920 --> 00:01:08.200]  受壓的得自由 是很不同的生命
[00:01:08.200 --> 00:01:11.680]  不過今天我們先說一下配角
[00:01:11.680 --> 00:01:13.680]  我們先說一下配角
[00:01:13.680 --> 00:01:17.680]  因為主角下個星期會說 今天先說配角
[00:01:17.680 --> 00:01:28.280]  今天說的是張琳琦 配角 準備耶穌來的被動的呼召 被動的召命
[00:01:28.280 --> 00:01:32.080]  當然有些是引言 一年之前的今天
[00:01:32.080 --> 00:01:35.480]  我不知道大家記不記得當時香港是什麼情況
[00:01:35.480 --> 00:01:37.880]  我們香港都很忙 很善忘
[00:01:37.880 --> 00:01:40.480]  我提醒大家 當日其實是這樣的
[00:01:40.480 --> 00:01:44.480]  聖誕不是像現在在街上那麼多人 短短一年
[00:01:44.480 --> 00:01:49.280]  我們要知道 記得當時BBC News都有記載
[00:01:49.280 --> 00:01:52.080]  他說政府防禦設施下
[00:01:52.080 --> 00:01:57.280]  以往聖誕節的熱鬧 非凡的蘭桂坊如今是怎樣
[00:01:57.280 --> 00:02:00.280]  冷冷清清 一年而已 一年
[00:02:00.280 --> 00:02:06.280]  不單是這樣 他說到很多地方本來很多人很熱鬧
[00:02:06.280 --> 00:02:08.480]  現在的餐廳都是空空蕩蕩
[00:02:08.480 --> 00:02:15.480]  限聚令當時最少去到兩個人 都有兩個
[00:02:15.480 --> 00:02:19.480]  六點後禁止堂食 所以全部外賣
[00:02:19.480 --> 00:02:23.080]  不知道大家記不記得 記不記得 歷歷在目
[00:02:23.080 --> 00:02:26.280]  不單這樣 當日很多人都很想出去慶祝聖誕
[00:02:26.280 --> 00:02:29.480]  不過走到餓 就在街上
[00:02:29.480 --> 00:02:35.480]  這個是太空館內 小市民休息 吃外賣 吃晚餐
[00:02:35.480 --> 00:02:38.480]  有沒有人試過在當月 上年在外面
[00:02:38.480 --> 00:02:41.480]  我們經常說 我們可以走了
[00:02:41.480 --> 00:02:43.480]  我們去吃點東西 吃點東西都有
[00:02:43.480 --> 00:02:45.480]  一年之後 今年不同了
[00:02:45.480 --> 00:02:48.480]  很熱鬧 很多人很開心
[00:02:48.480 --> 00:02:50.480]  是的 真的 我在上網就按過
[00:02:50.480 --> 00:02:53.480]  聖誕有什麼奇妙
[00:02:53.480 --> 00:02:58.480]  當然我真的想一下 但是人們不看聖誕有什麼奇妙
[00:02:58.480 --> 00:03:01.480]  我們的聖誕很奇妙 因為我們知道有誰
[00:03:01.480 --> 00:03:05.480]  有誰 他們覺得最奇妙就是
[00:03:05.480 --> 00:03:09.480]  聖誕有什麼奇妙 打了有什麼好去處
[00:03:09.480 --> 00:03:11.480]  有什麼奇妙的去處
[00:03:11.480 --> 00:03:14.480]  去處包括12月3號 4號
[00:03:14.480 --> 00:03:17.480]  在迪士尼 有香港管弦樂團
[00:03:17.480 --> 00:03:21.480]  還有指揮趙正希率領
[00:03:21.480 --> 00:03:23.480]  去到唱不同的歌
[00:03:23.480 --> 00:03:26.480]  真的很奇妙 因為很少這樣唱
[00:03:26.480 --> 00:03:31.480]  真的奇妙 有奇妙說到有些酒吧 怎樣去慶祝
[00:03:31.480 --> 00:03:37.480]  可以比較酒吧獎 雞尾酒調教
