
[00:00:00.000 --> 00:00:04.640]  今天是歌頌母親的日子
[00:00:04.640 --> 00:00:07.800]  美國定為母親節
[00:00:07.800 --> 00:00:09.800]  為什麼我們歌頌母親呢?
[00:00:09.800 --> 00:00:15.400]  我相信除了因為母親要懷胎十月之外
[00:00:15.400 --> 00:00:17.400]  還要抵受生產之苦
[00:00:17.400 --> 00:00:21.600]  這些我們作為男人是沒辦法明白和了解的
[00:00:21.600 --> 00:00:25.800]  但我相信除了母親要懷胎十月
[00:00:25.800 --> 00:00:29.000]  要面對生產的痛苦之外
[00:00:29.000 --> 00:00:31.000]  其實作為母親真的不容易
[00:00:31.000 --> 00:00:32.000]  為什麼呢?
[00:00:32.000 --> 00:00:35.200]  因為要同時間扮演很多不同的角色
[00:00:35.200 --> 00:00:43.600]  要做護士、老師、廚師、輔導員
[00:00:43.600 --> 00:00:46.600]  除此之外還要做藝人
[00:00:46.600 --> 00:00:49.000]  要讓人開心和笑
[00:00:49.000 --> 00:00:53.600]  所以原來作為母親一點也不簡單
[00:00:53.600 --> 00:00:56.600]  我不知道除了我剛才說的那一大堆之外
[00:00:56.600 --> 00:00:59.600]  同時間要扮演這麼多不同的角色
[00:00:59.600 --> 00:01:00.600]  大家還想不想到
[00:01:00.600 --> 00:01:04.200]  作為母親還有沒有其他角色是牧師母說出來的呢?
[00:01:04.200 --> 00:01:06.200]  還有沒有呢?
[00:01:06.200 --> 00:01:08.200]  還有沒有想到的呢?
[00:01:08.200 --> 00:01:10.600]  如果從母親的角度
[00:01:10.600 --> 00:01:13.200]  或者我甚至可以將她擴闊一點
[00:01:13.200 --> 00:01:16.200]  從父母的角度來說
[00:01:16.200 --> 00:01:18.200]  聖經告訴我們一件事
[00:01:18.200 --> 00:01:19.200]  是什麼呢?
[00:01:19.200 --> 00:01:23.200]  這是在詩篇127篇第三節說
[00:01:23.200 --> 00:01:30.200]  兒女在耶和華所賜的產業,所懷的胎,是他所給的賞賜
[00:01:30.200 --> 00:01:31.200]  如果你是基督徒的話
[00:01:31.200 --> 00:01:34.200]  你應該相信這句話吧
[00:01:34.200 --> 00:01:36.200]  當你看到這句話的時候
[00:01:36.200 --> 00:01:38.200]  心裡面是不是應該很感謝上帝呢?
[00:01:38.200 --> 00:01:41.200]  因為這是上帝賜給我們的產業
[00:01:41.200 --> 00:01:44.200]  原來我們所懷的胎是神的賞賜
[00:01:44.200 --> 00:01:46.200]  是神的禮物
[00:01:46.200 --> 00:01:48.200]  所以我相信作為母親
[00:01:48.200 --> 00:01:53.200]  將他擴闊一點,包括做爸爸在內
[00:01:53.200 --> 00:02:02.200]  就應該成為我們的子女認識上帝的啟蒙老師
[00:02:02.200 --> 00:02:05.200]  如果我們覺得這是神給我們的東西的話
[00:02:05.200 --> 00:02:06.200]  從上帝那裡而來的
[00:02:06.200 --> 00:02:09.200]  我們必須要幫助小朋友認識上帝
[00:02:09.200 --> 00:02:13.200]  所以我們應該是我們小朋友信仰的啟蒙老師
[00:02:13.200 --> 00:02:15.200]  讓他長大之後不會不認識上帝
