
[00:00:00.000 --> 00:00:04.400]  今晚繼續在大家當中有機會分享神的說話
[00:00:04.400 --> 00:00:07.200]  今晚的題目是「同團契的生活」
[00:00:07.200 --> 00:00:09.200]  來看「作主門徒」
[00:00:09.200 --> 00:00:12.200]  我們昨天從這個祈禱的生活
[00:00:12.200 --> 00:00:14.600]  我希望鼓勵大家能夠參加祈禱會
[00:00:14.600 --> 00:00:18.000]  能夠參加神所喜悅的一個教會的祈禱會
[00:00:18.000 --> 00:00:20.800]  就好像主耶穌昔日在聖殿裏面
[00:00:20.800 --> 00:00:22.000]  他潔淨聖殿
[00:00:22.000 --> 00:00:24.400]  他說這個殿是萬國禱告的殿
[00:00:24.400 --> 00:00:27.400]  然後真正的禱告不是像當時的猶太人那樣
[00:00:27.400 --> 00:00:30.200]  只是有一個形式是真的用信心
[00:00:30.200 --> 00:00:33.000]  以及能夠是同心的去祈禱
[00:00:33.000 --> 00:00:34.600]  我越來越發現就是
[00:00:34.600 --> 00:00:37.200]  我們不參加祈禱會第一個原因
[00:00:37.200 --> 00:00:39.800]  都是因為我們對祈禱沒有信心
[00:00:39.800 --> 00:00:41.200]  我不知道你同不同意
[00:00:41.200 --> 00:00:42.200]  我再說一次
[00:00:42.200 --> 00:00:45.200]  我越來越發現為甚麼那些人不參加祈禱會呢
[00:00:45.200 --> 00:00:46.800]  就是他發現參加完祈禱會
[00:00:46.800 --> 00:00:49.600]  祈禱完之後和他沒有參加
[00:00:49.600 --> 00:00:52.600]  其實沒甚麼大分別的
[00:00:52.600 --> 00:00:53.400]  他們不會這樣說的
[00:00:53.400 --> 00:00:58.600]  不過心底裏面有這樣的很隱藏的信念
[00:00:58.600 --> 00:01:00.200]  為甚麼會這樣說呢
[00:01:00.200 --> 00:01:04.800]  原因就是假如他們真是相信這個祈禱之後有不同的
[00:01:04.800 --> 00:01:06.800]  他怎會不回來呢
[00:01:06.800 --> 00:01:08.800]  他怎會不祈禱呢
[00:01:08.800 --> 00:01:10.200]  所以主耶穌說
