
[00:00:00.000 --> 00:00:03.120]  好 今天我們會讀《雅各書》
[00:00:03.120 --> 00:00:04.720]  有沒有人看過《雅各書》
[00:00:04.720 --> 00:00:06.880]  應該有吧 看了這麼久
[00:00:06.880 --> 00:00:11.400]  《雅各書》今天我們會講到第五章
[00:00:11.400 --> 00:00:13.280]  我們一起讀第五章的七字八字
[00:00:13.280 --> 00:00:14.440]  一二三
[00:00:14.440 --> 00:00:18.400]  弟兄們啊 你們要忍耐直到主來
[00:00:18.400 --> 00:00:23.000]  看啊 農夫忍耐等候地裡寶貴的出產
[00:00:23.000 --> 00:00:26.760]  直到等得了秋雨春雨
[00:00:26.760 --> 00:00:30.920]  你們也當忍耐堅固你們的心
[00:00:30.920 --> 00:00:34.040]  因為主來的日子近了
[00:00:34.040 --> 00:00:40.320]  基督徒說什麼 你們要忍耐
[00:00:40.320 --> 00:00:43.160]  當我看這段經文的時候
[00:00:43.160 --> 00:00:47.320]  他講忍耐 我就想肯定是在講背景
[00:00:47.320 --> 00:00:52.600]  因為《雅各書》背景是門徒四散被逼迫
[00:00:52.600 --> 00:00:56.080]  很慘的 或者他的身家少了一大截
[00:00:56.080 --> 00:00:59.160]  或者他被人欺負 被人欺負
[00:00:59.160 --> 00:01:02.600]  但是我看文法的時候
[00:01:02.600 --> 00:01:05.600]  他好像不只是講那樣東西
[00:01:05.600 --> 00:01:08.800]  他不是說你忍耐一下 過了就OK了
[00:01:08.800 --> 00:01:13.200]  這裡你不要看中文 看他要忍耐這個字
[00:01:13.200 --> 00:01:17.320]  Marco Fimel 他是用Constative Error Imperative
[00:01:17.320 --> 00:01:21.200]  很簡單的說 他不是說你忍耐一下
[00:01:21.200 --> 00:01:24.280]  是不是 好像聽到很悶 是不是
[00:01:24.280 --> 00:01:26.160]  你忍耐一下 很快就過了
[00:01:26.160 --> 00:01:28.120]  他不是說忍耐一下 不是傻的
[00:01:28.120 --> 00:01:31.680]  他一句到尾 這個詞態
[00:01:31.680 --> 00:01:35.000]  大概我自己meditate回來之後的結論是
