
[00:00:00.000 --> 00:00:03.320]  今天的講題是「堅定呼召,結伴同行」
[00:00:03.320 --> 00:00:04.500]  今天特別的講題
[00:00:04.500 --> 00:00:05.160]  我們停一停
[00:00:05.160 --> 00:00:06.340]  「農家播音」一時
[00:00:06.340 --> 00:00:09.400]  去看看今天在一年的開始
[00:00:09.400 --> 00:00:12.320]  我們有些甚麼從神的話語可以聽到
[00:00:12.320 --> 00:00:19.660]  上個星期《不屬於Gin》就分享了十個全球比較大的新聞
[00:00:19.660 --> 00:00:24.220]  包括特朗普重返白宮2.0風暴
[00:00:24.220 --> 00:00:25.380]  全球關稅
[00:00:25.380 --> 00:00:26.420]  AI熱潮
[00:00:26.420 --> 00:00:27.580]  俄烏戰爭等等
[00:00:27.580 --> 00:00:30.740]  也講到香港有不同的挑戰
[00:00:30.740 --> 00:00:32.580]  無論是大埔、宏福縣
[00:00:32.580 --> 00:00:36.820]  或者啟德開辦的全民會
[00:00:36.820 --> 00:00:40.060]  政府的津津水
[00:00:40.060 --> 00:00:41.260]  兩元坐車等等
[00:00:41.260 --> 00:00:42.520]  當然我們作為目者
[00:00:42.520 --> 00:00:44.680]  我們也很關心香港發生的事情
[00:00:44.680 --> 00:00:48.100]  過去很多次我們在大埔裡面
[00:00:48.100 --> 00:00:52.660]  我們自己的教會也超過二、三百個家庭
[00:00:52.660 --> 00:00:55.900]  我們祈禱、接觸、聆聽等等
[00:00:55.900 --> 00:00:58.200]  而今天我用另一個角度
[00:00:58.200 --> 00:01:05.880]  就用不同的朋友在網上搜尋的數據來看另一個角度
[00:01:05.880 --> 00:01:10.100]  究竟2025年我們最注重、集中的是甚麼
[00:01:10.100 --> 00:01:10.980]  問問大家
[00:01:10.980 --> 00:01:12.220]  也考考大家
[00:01:12.220 --> 00:01:14.980]  在搜尋的平台
[00:01:14.980 --> 00:01:18.580]  大家知不知道一般最多用的
[00:01:18.580 --> 00:01:19.680]  最多用的
[00:01:19.680 --> 00:01:21.300]  是一個甚麼平台
[00:01:21.300 --> 00:01:23.460]  是Google
[00:01:23.460 --> 00:01:24.460]  沒錯
[00:01:24.460 --> 00:01:25.660]  除了Google之外
[00:01:25.660 --> 00:01:27.340]  其實還有YouTube
[00:01:27.340 --> 00:01:28.340]  也是很多的
[00:01:28.340 --> 00:01:29.260]  大家都明白
[00:01:29.260 --> 00:01:29.940]  我想問一下
[00:01:29.940 --> 00:01:32.420]  去年有沒有人還沒上過YouTube
[00:01:32.420 --> 00:01:34.020]  或者還沒用過Google
[00:01:34.020 --> 00:01:34.860]  可以舉一下手
[00:01:34.860 --> 00:01:36.300]  我一會兒完了請你吃飯
[00:01:36.300 --> 00:01:37.240]  一定有
[00:01:37.240 --> 00:01:38.700]  好,不要慢性
[00:01:38.700 --> 00:01:45.140]  AI一直是最高注重
[00:01:45.140 --> 00:01:48.100]  最多用的是哪個AI呢
[00:01:48.100 --> 00:01:49.620]  是GDP
[00:01:49.620 --> 00:01:50.140]  沒錯
[00:01:50.140 --> 00:01:51.580]  還有社交平台
[00:01:51.580 --> 00:01:53.740]  仍然是第一位的
[00:01:53.740 --> 00:01:55.300]  是哪個社交平台
[00:01:55.300 --> 00:01:56.580]  你猜猜
[00:01:56.580 --> 00:01:57.820]  仍然是Facebook
[00:01:57.820 --> 00:01:58.900]  仍然是IG
[00:01:58.900 --> 00:02:01.020]  所以我們的代碼還沒用完
[00:02:01.020 --> 00:02:02.980]  用完之後我們就應該是IG
[00:02:02.980 --> 00:02:03.980]  我這裡兩邊都可以用
[00:02:03.980 --> 00:02:05.820]  不過連接一下IG
[00:02:05.820 --> 00:02:06.940]  用其他的
