
[00:00:00.000 --> 00:00:03.600]  父親節總是比母親節淡一些
[00:00:03.600 --> 00:00:07.800]  父親節總是比母親節大家覺得比較淡一點
[00:00:07.800 --> 00:00:10.200]  除了市面反應之外
[00:00:10.200 --> 00:00:13.200]  除了市面上的反應以外
[00:00:13.200 --> 00:00:16.200]  因為在教會裏面母親總是比父親多
[00:00:16.200 --> 00:00:18.800]  因為教會裏面母親總是比父親多
[00:00:18.800 --> 00:00:21.200]  而且跟父親的個性有關
[00:00:21.200 --> 00:00:23.600]  又或者跟父親的個性有關係
[00:00:23.600 --> 00:00:25.200]  即男主外
[00:00:25.200 --> 00:00:26.600]  男主外
[00:00:26.600 --> 00:00:31.200]  影響了不少的弟兄很少以教會為家
[00:00:31.200 --> 00:00:35.000]  影響了很多弟兄比較少以教會為家
[00:00:35.000 --> 00:00:37.000]  在外面叱咤風雲
[00:00:37.000 --> 00:00:39.600]  在外面叱咤風雲
[00:00:39.600 --> 00:00:41.400]  回到教會就頭暈
[00:00:41.400 --> 00:00:43.400]  回到教會就頭暈
[00:00:43.400 --> 00:00:46.000]  聖靈今天安排了提醒我們弟兄們
[00:00:46.000 --> 00:00:48.200]  我們真的要家在教會
[00:00:48.200 --> 00:00:50.000]  聖靈提醒我們弟兄們
[00:00:50.000 --> 00:00:52.600]  今天我們在教會是家在教會
[00:00:52.600 --> 00:00:54.200]  我們一起祈禱
[00:00:54.200 --> 00:00:58.400]  伯父我們謝謝你因為你做了亞當和孝娃
[00:00:58.400 --> 00:01:01.000]  你也讓他們有不同的角色
[00:01:01.000 --> 00:01:03.600]  無論為父為母
[00:01:03.600 --> 00:01:06.400]  我們都是屬於一個屬靈的家
[00:01:06.400 --> 00:01:10.200]  求你讓我們看重家在教會
[00:01:10.200 --> 00:01:12.200]  不單在我們肉身的家
[00:01:12.200 --> 00:01:14.600]  更加在這個屬靈的大家庭裏
[00:01:14.600 --> 00:01:16.000]  我們能夠投入
[00:01:16.000 --> 00:01:17.000]  毀身
[00:01:17.000 --> 00:01:18.200]  能夠建立
[00:01:18.200 --> 00:01:20.400]  能夠興旺這個屬靈的家
[00:01:20.400 --> 00:01:24.400]  我們仰望、交託、等候、祈禱奉耶穌的名口
[00:01:24.400 --> 00:01:26.200]  Amen
[00:01:26.200 --> 00:01:29.200]  中國人大多數認為男兒志在四方
[00:01:29.200 --> 00:01:32.600]  中國人一般都認為是男兒志在四方
[00:01:32.600 --> 00:01:35.400]  故此很嚮往四海為家
[00:01:35.400 --> 00:01:37.800]  故此很嚮往四海為家
[00:01:37.800 --> 00:01:41.200]  不少更陶醉於藍色多瑙河
[00:01:41.200 --> 00:01:44.600]  很多還陶醉在藍色多瑙河
[00:01:44.600 --> 00:01:46.400]  不單是那首歌那麼簡單
[00:01:46.400 --> 00:01:49.000]  不單是那首歌那麼簡單
[00:01:49.000 --> 00:01:52.400]  毫不珍惜自己所擁有的本家
[00:01:52.400 --> 00:01:55.200]  毫不珍惜自己所擁有的本家
[00:01:55.200 --> 00:01:58.200]  今天引起很多人誤會了教會
[00:01:58.200 --> 00:02:00.400]  今天很多人也誤會了教會
[00:02:00.400 --> 00:02:03.800]  教會就是嘉陵威老道二樓那間
