
[00:00:00.000 --> 00:00:02.660]  我今天要跟各位分享的訊息是
[00:00:02.660 --> 00:00:05.500]  請給我水喝
[00:00:05.500 --> 00:00:12.380]  在這個先前我們念的約書亞記裡面
[00:00:12.380 --> 00:00:18.560]  迦勒帶著大軍在迦南平原征戰
[00:00:18.560 --> 00:00:20.780]  手下無敵
[00:00:20.780 --> 00:00:27.000]  他有一次要攻打激烈西佛
[00:00:27.600 --> 00:00:30.480]  他就問當時
[00:00:30.480 --> 00:00:35.000]  那些將軍那些勇士說
[00:00:35.000 --> 00:00:37.200]  誰可以上去把他攻下來
[00:00:37.200 --> 00:00:39.560]  我把我女兒壓殺
[00:00:39.560 --> 00:00:41.320]  就給他做妻子
[00:00:41.320 --> 00:00:45.000]  結果有一個就是
[00:00:45.000 --> 00:00:48.160]  他的兄弟基納斯的兒子
[00:00:48.160 --> 00:00:49.960]  阿圖利
[00:00:49.960 --> 00:00:54.420]  他就奪取了那個城
[00:00:55.540 --> 00:00:59.780]  結果迦勒就把女兒賜給他為妻
[00:00:59.780 --> 00:01:03.400]  那個女兒呢
[00:01:03.400 --> 00:01:06.320]  在過門的時候
[00:01:06.320 --> 00:01:08.000]  過門是什麼
[00:01:08.000 --> 00:01:11.400]  出駕的時候是吧
[00:01:11.400 --> 00:01:14.940]  就跟阿圖利說
[00:01:14.940 --> 00:01:20.600]  你給我爸爸要上泉跟下泉那塊地
[00:01:20.600 --> 00:01:22.480]  還有水泉
[00:01:23.560 --> 00:01:27.780]  結果他們到了家下車
[00:01:27.780 --> 00:01:30.720]  他爸第一句話就說
[00:01:30.720 --> 00:01:32.980]  你要什麼
[00:01:32.980 --> 00:01:35.560]  這個女兒就說
[00:01:35.560 --> 00:01:38.100]  我要那個水泉
[00:01:38.100 --> 00:01:43.940]  他爸爸就把上泉跟下泉都賜給了他
[00:01:43.940 --> 00:01:47.560]  所以我們就知道在
[00:01:47.560 --> 00:01:50.640]  那個時候尤其在
[00:01:51.200 --> 00:01:54.200]  迦南平原在以色列那塊地方
[00:01:54.200 --> 00:01:55.560]  他有的時候
[00:01:55.560 --> 00:01:58.780]  水資源是很寶貴的
[00:01:58.780 --> 00:02:01.280]  所以他們
[00:02:01.280 --> 00:02:04.980]  都是很珍惜這些資源的
[00:02:04.980 --> 00:02:10.440]  所以迦勒把上泉跟下泉都賜給了他
[00:02:10.440 --> 00:02:12.840]  換句話說
[00:02:12.840 --> 00:02:15.000]  那有了地
[00:02:15.000 --> 00:02:17.060]  那又有了水
[00:02:17.060 --> 00:02:19.000]  那整個
[00:02:19.760 --> 00:02:22.200]  生態就活絡起來了
[00:02:22.200 --> 00:02:25.020]  生出也就多起來了
[00:02:25.020 --> 00:02:27.760]  那麼財富就加增了
[00:02:27.760 --> 00:02:30.720]  人氣也開始聚集了
[00:02:30.720 --> 00:02:32.560]  所以
[00:02:32.560 --> 00:02:34.960]  這個水泉
[00:02:34.960 --> 00:02:37.000]  是非常的重要
[00:02:37.000 --> 00:02:40.280]  更何況當我們在
[00:02:40.280 --> 00:02:42.060]  口渴的時候
[00:02:42.060 --> 00:02:44.880]  那一口水
[00:02:44.880 --> 00:02:47.000]  都是非常的重要
[00:02:48.260 --> 00:02:50.080]  如果我們記得
[00:02:50.080 --> 00:02:53.800]  那個時候亞伯拉罕
[00:02:53.800 --> 00:02:56.840]  他年紀大了
[00:02:56.840 --> 00:02:59.760]  那麼他的
[00:02:59.760 --> 00:03:02.640]  兒子就是以撒
[00:03:02.640 --> 00:03:05.800]  還沒有妻子
[00:03:05.800 --> 00:03:09.300]  那麼聖經上面說
[00:03:09.300 --> 00:03:13.920]  亞伯拉罕就差派他的老僕人
[00:03:13.920 --> 00:03:16.360]  是一個忠心的老僕人
[00:03:17.160 --> 00:03:19.600]  聖經沒有講他叫什麼名字
[00:03:19.600 --> 00:03:23.040]  對我中間我就想到很有意思一點
[00:03:23.040 --> 00:03:25.880]  當你忠心的時候
[00:03:25.880 --> 00:03:28.160]  神知道你是誰
[00:03:28.160 --> 00:03:32.000]  人知不知道 不關緊要
[00:03:32.000 --> 00:03:34.760]  我們忠心的位主
[00:03:34.760 --> 00:03:37.440]  那麼神他知道
[00:03:37.440 --> 00:03:39.240]  神他認得你
[00:03:39.240 --> 00:03:42.920]  所以就派來這個忠心的老僕人
[00:03:42.920 --> 00:03:45.120]  而且跟他立約
[00:03:45.120 --> 00:03:48.080]  跟他講好你不要給我到處去亂找
[00:03:48.080 --> 00:03:49.680]  你一定要到我
[00:03:49.680 --> 00:03:51.880]  我們那個拿赫城
[00:03:51.880 --> 00:03:55.600]  在米索不達米亞這個地方
[00:03:55.600 --> 00:03:59.560]  你要到我那個家鄉去給我找一個
[00:03:59.560 --> 00:04:01.960]  我們族裏面的人
[00:04:01.960 --> 00:04:04.920]  所以這個老僕人
[00:04:04.920 --> 00:04:08.280]  他就帶了十匹駱駝
[00:04:08.280 --> 00:04:10.040]  還有一些禮物
[00:04:10.040 --> 00:04:11.440]  就出發
[00:04:11.720 --> 00:04:15.680]  往這個米索不達米亞的拿赫城去
[00:04:15.680 --> 00:04:18.920]  因為亞伯拉罕是拿赫城出來的
[00:04:18.920 --> 00:04:20.240]  你知道嗎
[00:04:20.240 --> 00:04:23.400]  那個時候神呼召他出來的時候
[00:04:23.400 --> 00:04:25.080]  他要去哪裡都不知道
[00:04:25.080 --> 00:04:28.800]  但是最終他在迦南平原落腳
[00:04:28.800 --> 00:04:32.440]  那麼神大大的賜福給他
[00:04:32.440 --> 00:04:35.960]  所以這個老僕人
[00:04:36.920 --> 00:04:41.840]  他帶了駱駝叮叮咚咚的來到南地
[00:04:41.840 --> 00:04:45.400]  因為那是水草之地
[00:04:45.400 --> 00:04:51.800]  那邊有生意有生趣有生態有生活
[00:04:51.800 --> 00:04:54.200]  他就到了那邊
[00:04:54.200 --> 00:04:56.200]  他也走累了
[00:04:56.200 --> 00:04:59.640]  就來到一個井旁
[00:04:59.640 --> 00:05:01.840]  我問你們
[00:05:01.840 --> 00:05:05.160]  假如你們走了好幾天
[00:05:05.400 --> 00:05:08.760]  駱駝也累了你也渴了你也累了
[00:05:08.760 --> 00:05:11.840]  來到一個井旁第一件事情你會怎麼樣
[00:05:11.840 --> 00:05:16.040]  趕快喝嘛休息嘛
[00:05:16.040 --> 00:05:19.320]  他就跟神禱告
[00:05:19.320 --> 00:05:24.200]  他說如果我坐在這邊等有一個
[00:05:24.200 --> 00:05:28.000]  沒有出家而且是美麗的女子
[00:05:28.000 --> 00:05:32.480]  跟我主人是同一族的人的話
[00:05:32.920 --> 00:05:35.480]  他問我說我餵你
[00:05:35.480 --> 00:05:39.880]  我讓你喝飽吃足餵飽你的駱駝好嗎
[00:05:39.880 --> 00:05:42.720]  那麼這就是神要給我的
[00:05:42.720 --> 00:05:48.200]  這是一個很大的一個試煉
[00:05:48.200 --> 00:05:51.960]  有的時候你如果對神
[00:05:51.960 --> 00:05:53.720]  這樣子的心裡面說
[00:05:53.720 --> 00:05:56.080]  神如果這是你給我的
[00:05:56.080 --> 00:05:59.320]  那麼這個事情要應驗
[00:05:59.320 --> 00:06:01.360]  那個事情要應驗
[00:06:02.040 --> 00:06:05.560]  不然我還不把他當一回事
[00:06:05.560 --> 00:06:08.400]  所以他就坐在那個井旁
[00:06:08.400 --> 00:06:12.240]  他就在那邊等的時候
[00:06:12.240 --> 00:06:17.920]  他就看到城裡面居民來來去去
[00:06:17.920 --> 00:06:20.480]  結果他坐在那邊的時候
[00:06:20.480 --> 00:06:25.080]  結果他就像一個女子
[00:06:25.080 --> 00:06:28.640]  不知道為什麼他像這個女的說
[00:06:28.960 --> 00:06:32.800]  他說請你給我水喝
[00:06:32.800 --> 00:06:37.920]  記得這句話請你給我水喝
[00:06:37.920 --> 00:06:44.200]  他其實是像這個女人要水喝
[00:06:44.200 --> 00:06:49.880]  今天我們講這個水是生命的必需
[00:06:49.880 --> 00:06:56.120]  這個女子就真的是為他打水給他喝
[00:06:56.760 --> 00:07:02.160]  而且還說讓我把你的駱駝也餵飽
[00:07:02.160 --> 00:07:05.280]  你知道一頭駱駝喝多少水嗎
[00:07:05.280 --> 00:07:11.760]  如果家裡面你有那個大的油漆桶
[00:07:11.760 --> 00:07:14.720]  那一桶是五個佳輪
[00:07:14.720 --> 00:07:21.600]  所以一個駱駝最少要喝十個佳輪
[00:07:21.600 --> 00:07:25.040]  那個大的桶子要兩桶
[00:07:25.680 --> 00:07:32.280]  所以這個女子就把這十頭駱駝通通餵飽
[00:07:32.280 --> 00:07:34.880]  給他們喝了二十佳輪
[00:07:34.880 --> 00:07:37.680]  那不是說打開水龍頭的事情
[00:07:37.680 --> 00:07:41.480]  那還要一桶桶的水往上拉
[00:07:41.480 --> 00:07:43.080]  是不是
[00:07:43.080 --> 00:07:47.200]  有那個水爐現在大概我們都看不到
[00:07:47.200 --> 00:07:51.360]  要把水桶放下去一拉起來
[00:07:51.360 --> 00:07:55.760]  然後餵一頭一頭要兩三桶那麼餵飽
[00:07:55.760 --> 00:07:58.120]  然後又為這個老僕人喝了
[00:07:58.120 --> 00:08:01.440]  而這個老僕人只不過是一個僕人
[00:08:01.440 --> 00:08:06.160]  而這個女子就是立百佳
[00:08:06.160 --> 00:08:10.160]  在亞伯拉罕的心中
[00:08:10.160 --> 00:08:15.360]  他是需要一個神為他預備的
[00:08:15.360 --> 00:08:20.360]  而當那個老僕人說請你給我水喝的時候
[00:08:20.960 --> 00:08:23.320]  而這個老僕人所等候的
[00:08:23.320 --> 00:08:27.000]  好像今天我們這樣講
[00:08:27.000 --> 00:08:31.160]  你有心中一個願望
[00:08:31.160 --> 00:08:33.400]  而你有心是正知
[00:08:33.400 --> 00:08:35.680]  你想這樣子的話
[00:08:35.680 --> 00:08:37.560]  這個心是意念
[00:08:37.560 --> 00:08:41.960]  你在禱告中跟神講
[00:08:41.960 --> 00:08:47.320]  那麼神就會把這個事情經過聖靈
[00:08:47.920 --> 00:08:51.080]  然後就把你的事情就成就了
[00:08:51.080 --> 00:08:57.000]  所以有的時候我們需要什麼東西
[00:08:57.000 --> 00:08:58.040]  要喝水
[00:08:58.040 --> 00:08:59.320]  要工作
[00:08:59.320 --> 00:09:02.160]  要妻子
[00:09:02.160 --> 00:09:03.360]  要先生
[00:09:03.360 --> 00:09:04.680]  要房子
[00:09:04.680 --> 00:09:05.760]  要車子
[00:09:05.760 --> 00:09:06.760]  要錢
[00:09:06.760 --> 00:09:10.560]  你能賺你當然去賺
[00:09:10.560 --> 00:09:12.240]  如果說你能賺你
[00:09:12.240 --> 00:09:15.720]  而且你還向神來禱告
[00:09:15.720 --> 00:09:17.080]  向神要
[00:09:17.440 --> 00:09:21.560]  神會把這個消息傳到對的地方
[00:09:21.560 --> 00:09:23.600]  對的人來幫助你
[00:09:23.600 --> 00:09:26.000]  是的
[00:09:26.000 --> 00:09:29.720]  這個老僕人只不過心裡面一個意想
[00:09:29.720 --> 00:09:31.880]  他說
[00:09:31.880 --> 00:09:38.280]  求你讓這個人他願意為保我
[00:09:38.280 --> 00:09:39.520]  是不是
[00:09:39.520 --> 00:09:43.760]  那麼立百佳就出現了
[00:09:44.760 --> 00:09:47.560]  而這個立百佳也是很有意思
[00:09:47.560 --> 00:09:50.440]  當立百佳出現的時候
[00:09:50.440 --> 00:09:52.680]  這個條件已經滿足了
[00:09:52.680 --> 00:09:57.560]  那麼他就說我可不可以去你家
[00:09:57.560 --> 00:09:59.200]  因為我還有禮物
[00:09:59.200 --> 00:10:01.680]  我還要為我的小主人
[00:10:01.680 --> 00:10:05.400]  為他來找一個妻
[00:10:05.400 --> 00:10:07.120]  所以我到你家去
[00:10:07.120 --> 00:10:10.800]  所以就跟他到那個拉班家裡面
[00:10:10.800 --> 00:10:12.080]  他們那個家族
[00:10:13.160 --> 00:10:15.640]  當然他有禮物送給
[00:10:15.640 --> 00:10:17.960]  然後就把這個事情講了
