
[00:00:00.000 --> 00:00:04.320]  為什麼叫做第二個亞當呢?
[00:00:04.320 --> 00:00:06.800]  因為第一個亞當有點失敗
[00:00:06.800 --> 00:00:09.140]  上帝創造第一個亞當的時候
[00:00:09.140 --> 00:00:13.140]  是本來有一個計劃要透過亞當來完成的
[00:00:13.140 --> 00:00:16.520]  但是第一個亞當就不行了
[00:00:16.520 --> 00:00:17.740]  失敗了
[00:00:17.740 --> 00:00:21.820]  失敗之後上帝找第二個亞當出來
[00:00:21.820 --> 00:00:24.820]  重新告訴人類
[00:00:24.820 --> 00:00:27.820]  我創造你們的時候其實是有一個計劃的
[00:00:27.820 --> 00:00:29.820]  我創造你們的時候是有一個心意的
[00:00:29.820 --> 00:00:31.820]  我創造你們的時候
[00:00:31.820 --> 00:00:35.820]  本來有一個計劃是想你們很開心的
[00:00:35.820 --> 00:00:39.820]  很享受我創造給你們的大自然
[00:00:39.820 --> 00:00:41.820]  這個宇宙、這個環境等等
[00:00:41.820 --> 00:00:43.820]  叫你們的生命很快樂的
[00:00:43.820 --> 00:00:45.820]  本來這個就是我的計劃
[00:00:45.820 --> 00:00:47.820]  但是怎麼知道失敗了
[00:00:47.820 --> 00:00:49.820]  有些事情我想你不做
[00:00:49.820 --> 00:00:50.820]  結果你做了
[00:00:50.820 --> 00:00:52.820]  想你做的又不做
[00:00:52.820 --> 00:00:54.820]  所以耶穌基督就來了
[00:00:54.820 --> 00:00:56.820]  神親自下來
[00:00:56.820 --> 00:00:58.820]  因為我們聖經描寫
[00:00:58.820 --> 00:01:00.820]  耶穌基督就是神的兒子
[00:01:00.820 --> 00:01:02.820]  但是這個神的兒子的意思其實就是神自己
[00:01:02.820 --> 00:01:04.820]  不過他的身份就是神的兒子
[00:01:04.820 --> 00:01:06.820]  進入人類的歷史裡面
[00:01:06.820 --> 00:01:07.820]  是想告訴人
[00:01:07.820 --> 00:01:09.820]  如果第一個亞當失敗的話
[00:01:09.820 --> 00:01:11.820]  我想告訴你第二個亞當進來的時候
[00:01:11.820 --> 00:01:14.820]  是怎樣去做人
[00:01:14.820 --> 00:01:17.820]  所以其實如果我們只是看耶穌基督的話
[00:01:17.820 --> 00:01:19.820]  我們不只是看耶穌基督是一個救主
[00:01:19.820 --> 00:01:22.820]  是一個宗教的創辦人
[00:01:22.820 --> 00:01:24.820]  我們不要這樣的態度去看
[00:01:24.820 --> 00:01:27.820]  而是看耶穌基督就是神自己的化身
[00:01:27.820 --> 00:01:29.820]  進入人類歷史裡面
[00:01:29.820 --> 00:01:32.820]  就好像將上帝的心意
[00:01:32.820 --> 00:01:34.820]  顯明在我們中間
[00:01:34.820 --> 00:01:37.820]  好像不是一個道理
[00:01:37.820 --> 00:01:38.820]  而是很具體的
[00:01:38.820 --> 00:01:40.820]  去活出來
[00:01:40.820 --> 00:01:41.820]  去展示
[00:01:41.820 --> 00:01:43.820]  去表達出來給我們看到
[00:01:43.820 --> 00:01:45.820]  到底我們怎樣的生活
[00:01:45.820 --> 00:01:47.820]  然後才叫這個生活
[00:01:47.820 --> 00:01:49.820]  是更加雀躍的
[00:01:49.820 --> 00:01:51.820]  這個生活是更加開心
[00:01:51.820 --> 00:01:52.820]  更加快樂
[00:01:52.820 --> 00:01:54.820]  這個其實就是上帝的心意
[00:01:54.820 --> 00:01:56.820]  所以當我們在聖經裡面看耶穌基督的時候
[00:01:56.820 --> 00:01:58.820]  我們千萬不要忽略了
[00:01:58.820 --> 00:02:00.820]  留意到耶穌基督
[00:02:00.820 --> 00:02:04.820]  祂的說話和耶穌基督的生活
[00:02:04.820 --> 00:02:08.820]  因為這個都是祂的說話和祂的行為
[00:02:08.820 --> 00:02:10.820]  都是為了我們的緣故
[00:02:10.820 --> 00:02:12.820]  讓我們知道有一個榜樣
[00:02:12.820 --> 00:02:14.820]  有一個很清楚的指引
[00:02:14.820 --> 00:02:17.820]  以致我們懂得怎樣去活著
[00:02:17.820 --> 00:02:20.820]  我們今天說到這個不一樣的愛
[00:02:20.820 --> 00:02:26.820]  耶穌基督是透過在《馬達福音》五章43-48節裡面所說到的
[00:02:26.820 --> 00:02:28.820]  這種愛和我們所認識的
[00:02:28.820 --> 00:02:30.820]  有這個出入
[00:02:30.820 --> 00:02:32.820]  如果我們看看我們人類怎樣去看愛的話
[00:02:32.820 --> 00:02:36.820]  這個好像有點不好
[00:02:36.820 --> 00:02:38.820]  行不行?
[00:02:38.820 --> 00:02:39.820]  出不出到?
