
[00:00:00.000 --> 00:00:03.460]  今天我們來到哥倫多的總結篇
[00:00:03.460 --> 00:00:06.220]  叫做《盡地一舖》
[00:00:06.220 --> 00:00:08.920]  《盡地一舖》,為什麼叫做《盡地一舖》呢?
[00:00:08.920 --> 00:00:12.600]  當我想起《盡地一舖》,我不知道大家想起了什麼
[00:00:12.600 --> 00:00:15.600]  如果你很喜歡看笑片
[00:00:15.600 --> 00:00:18.980]  可能你會想起賭聖、賭俠
[00:00:18.980 --> 00:00:21.060]  或者相當的年歲
[00:00:21.060 --> 00:00:22.620]  可能會想起,為什麼呢?
[00:00:22.620 --> 00:00:26.180]  因為他們很喜歡玩一個遊戲叫做
[00:00:26.180 --> 00:00:27.880]  Show Hand
[00:00:27.880 --> 00:00:32.160]  臨尾要將局面轉世
[00:00:32.160 --> 00:00:34.680]  推出去的那一刻
[00:00:34.680 --> 00:00:38.640]  就好像《盡地一舖》孤注一擲那樣
[00:00:38.640 --> 00:00:42.040]  又或者如果你很喜歡看足球比賽
[00:00:42.040 --> 00:00:46.200]  可能某段時間,偶爾你會看到
[00:00:46.200 --> 00:00:50.440]  有時候在臨尾完結的一分鐘兩分鐘
[00:00:50.440 --> 00:00:54.800]  其中一方,無論是龍門、後衛、中場
[00:00:54.800 --> 00:00:57.560]  會全部推到前面的,為什麼呢?
[00:00:57.560 --> 00:00:59.280]  他希望拿到那一分
[00:00:59.280 --> 00:01:01.840]  當然也是很危險的,因為不設防
[00:01:01.840 --> 00:01:06.240]  全部推到前面,孤注一擲去做一件事
[00:01:06.240 --> 00:01:08.640]  又或者如果你很喜歡看戰爭片
[00:01:08.640 --> 00:01:12.120]  可能你也看過類似的戰爭片
[00:01:12.120 --> 00:01:18.400]  就是有些軍機駕駛到敵方的營地
[00:01:18.400 --> 00:01:21.960]  但是軍機下完炸彈
[00:01:21.960 --> 00:01:24.240]  是不夠油回頭的
[00:01:24.240 --> 00:01:25.400]  完了
[00:01:25.400 --> 00:01:29.800]  要不然你就打爛了敵方的陣營
[00:01:29.800 --> 00:01:32.960]  你跳飛機的時候可能就不會被俘虜
[00:01:32.960 --> 00:01:35.680]  要不然就完蛋了
[00:01:35.680 --> 00:01:37.360]  就著《盡地一舖》
[00:01:37.360 --> 00:01:41.800]  當然要問一下我們的童宮莎莎對她代表什麼
[00:01:41.800 --> 00:01:45.440]  你猜一下對莎莎孤注一擲代表什麼呢?
[00:01:45.440 --> 00:01:48.880]  就是代表臨尾生嬰兒的那一刻
[00:01:48.880 --> 00:01:51.240]  「啊!我要你出來啊!」
[00:01:51.240 --> 00:01:54.760]  「啊!」那一刻女士就會明白多一點
[00:01:54.760 --> 00:01:58.400]  為什麼今天會說到「孤注一擲」、「盡地一舖」呢?
[00:01:58.400 --> 00:02:01.640]  因為保羅在哥倫多後書
[00:02:01.640 --> 00:02:06.240]  正正最後十二章第一句
[00:02:06.240 --> 00:02:07.600]  他就這樣說
[00:02:07.600 --> 00:02:08.560]  我們一起讀吧
[00:02:08.560 --> 00:02:09.600]  1、2、3
[00:02:09.600 --> 00:02:16.000]  「我自誇固然無益,但我是不得已的。」
[00:02:16.000 --> 00:02:17.800]  我不得已,我沒得選了
[00:02:17.800 --> 00:02:20.000]  我要做一件事
[00:02:20.000 --> 00:02:21.200]  因為我們都知道了
[00:02:21.200 --> 00:02:22.480]  如果在哥倫多前後書
[00:02:22.480 --> 00:02:24.720]  他面對哥倫多的信徒
[00:02:24.720 --> 00:02:28.240]  那種掙扎、爭辯、張力
[00:02:28.240 --> 00:02:29.360]  去到臨尾
[00:02:29.360 --> 00:02:32.240]  我相信在這書卷的尾卷
[00:02:32.240 --> 00:02:35.720]  他的最重要的東西一次過要推出來
[00:02:35.720 --> 00:02:38.760]  而今天我會選了三個重點
[00:02:38.760 --> 00:02:42.120]  是關於他想表達的內容
[00:02:42.120 --> 00:02:44.360]  第一,我們來看看
[00:02:44.360 --> 00:02:48.600]  要展示真實力,叫人專注神
[00:02:48.600 --> 00:02:50.560]  我們一起讀吧
[00:02:50.560 --> 00:02:52.880]  在十二章一到四節
[00:02:52.880 --> 00:02:53.800]  預備起
[00:02:53.800 --> 00:02:58.720]  「我自誇固然無益,但我是不得已的。」
[00:02:58.720 --> 00:03:02.760]  如今我要說道主的顯現和啟示
[00:03:02.760 --> 00:03:05.680]  我認得一個在基督裡的人
[00:03:05.680 --> 00:03:10.080]  (記者回應)
[00:03:10.080 --> 00:03:12.760]  或在身內我不知道
[00:03:12.760 --> 00:03:15.520]  或在身外我也不知道
[00:03:15.520 --> 00:03:17.040]  只有神知道
[00:03:17.040 --> 00:03:18.840]  我認得這人
[00:03:18.840 --> 00:03:22.800]  或在身內或在身外我都不知道
[00:03:22.800 --> 00:03:28.800]  (記者回應)
[00:03:28.800 --> 00:03:30.680]  「是人不可說的。」
[00:03:30.680 --> 00:03:32.440]  不知道大家有沒有聽過
[00:03:32.440 --> 00:03:34.000]  如果相信了很久
[00:03:34.000 --> 00:03:38.960]  一定聽過「保羅被提到三重天」
[00:03:38.960 --> 00:03:40.360]  誰聽過?舉手吧
[00:03:40.360 --> 00:03:41.280]  一定聽過
[00:03:41.280 --> 00:03:44.720]  原來他放在哥林多後書的結尾
[00:03:44.720 --> 00:03:46.120]  我們以往通常抽出來看
[00:03:46.120 --> 00:03:48.040]  嘩!很神秘
[00:03:48.040 --> 00:03:49.960]  但是真的很神秘
[00:03:49.960 --> 00:03:51.480]  有沒有人去過三重天?
[00:03:51.480 --> 00:03:52.800]  有的話我也想知道
[00:03:52.800 --> 00:03:53.680]  真是神秘的
[00:03:53.680 --> 00:03:56.040]  但為什麼放在這裡呢?
[00:03:56.040 --> 00:03:58.360]  我們在上下文可以看到
[00:03:58.360 --> 00:03:59.560]  我先說一下
[00:03:59.560 --> 00:04:01.160]  當然我們也知道
[00:04:01.160 --> 00:04:03.680]  保羅描述基督裡一個人
[00:04:03.680 --> 00:04:05.000]  其實是他自己的
[00:04:05.000 --> 00:04:05.920]  大家都知道
[00:04:05.920 --> 00:04:06.880]  神學家
[00:04:06.880 --> 00:04:08.280]  沒有爭議的
[00:04:08.280 --> 00:04:10.600]  我先說一下什麼是三重天
[00:04:10.600 --> 00:04:11.920]  大概估計
[00:04:11.920 --> 00:04:14.320]  第一重天在哪裡呢?
