
[00:00:00.000 --> 00:00:04.280]  祈禱的力量是你很多時候意想不到的
[00:00:04.280 --> 00:00:07.200]  當然我們不是迷信祈禱
[00:00:07.200 --> 00:00:11.720]  迷信祈禱即是「我一祈禱我就什麼都可以了」
[00:00:11.720 --> 00:00:13.560]  好像魔術一樣
[00:00:13.560 --> 00:00:15.360]  今天神再一次教導我們
[00:00:15.360 --> 00:00:18.120]  當我們教會一起祈禱的時候
[00:00:18.120 --> 00:00:22.280]  其實原來我們是要仰賴真神
[00:00:22.280 --> 00:00:24.960]  我們是要仰望神
[00:00:24.960 --> 00:00:29.040]  最近我們教會,尤其是在Milkis那裡
[00:00:29.040 --> 00:00:32.560]  我們發現了一個新的現象
[00:00:32.560 --> 00:00:35.880]  那個現象就是多了很多小狗
[00:00:35.880 --> 00:00:38.640]  在教會裡走來走去
[00:00:38.640 --> 00:00:43.360]  當然感謝神,他們沒有隨處抵抵隻腳那種
[00:00:43.360 --> 00:00:45.560]  你知道小狗很喜歡抵抵隻腳
[00:00:45.560 --> 00:00:49.560]  做很多動作,放下東西
[00:00:49.560 --> 00:00:51.520]  我們見到那麼多小狗的時候
[00:00:51.520 --> 00:00:52.960]  我們就說不如這樣
[00:00:52.960 --> 00:00:54.840]  我們做一個小狗派對
[00:00:54.840 --> 00:00:59.640]  所有擁有這小狗的弟兄姊妹
[00:00:59.640 --> 00:01:04.120]  聚在一起,大家聯誼一下
[00:01:04.120 --> 00:01:07.760]  我們試過一兩次左右
[00:01:07.760 --> 00:01:09.120]  他們很開心的
[00:01:09.120 --> 00:01:11.720]  見到自己的小狗,又跟別的小狗玩
[00:01:11.720 --> 00:01:15.000]  追牠,在當中就有一個奇想
[00:01:15.000 --> 00:01:16.120]  奇想就是說
[00:01:16.120 --> 00:01:20.320]  其實我們可不可以教這些小狗去祈禱呢?
[00:01:20.320 --> 00:01:22.080]  教這些小狗去祈禱
[00:01:22.080 --> 00:01:24.840]  那只是開玩笑,開玩笑罷了
[00:01:24.840 --> 00:01:28.160]  但是完了之後,真的有人很認真
[00:01:28.160 --> 00:01:33.200]  就是找資料,你不能無私自通
[00:01:33.200 --> 00:01:34.760]  問題就是
[00:01:34.760 --> 00:01:38.120]  第一,我們懂不懂得教小狗祈禱呢?
[00:01:38.120 --> 00:01:39.000]  我們懂不懂呢?
[00:01:39.000 --> 00:01:40.920]  你不懂得說狗話而已
[00:01:40.920 --> 00:01:48.440]  你只懂得一兩句命令,去做一些動作
[00:01:48.440 --> 00:01:52.600]  另一個問題就是,他們是否真的懂得學
[00:01:52.600 --> 00:01:56.440]  當弟兄姊妹在這件事上尋找的時候
[00:01:56.440 --> 00:01:57.960]  他們有幾張相片
[00:01:57.960 --> 00:01:59.920]  我想和你們分享一下
[00:01:59.920 --> 00:02:01.840]  這隻小狗開始是在腳趴之前
[00:02:01.840 --> 00:02:04.520]  腳趴之前,牠閉上眼睛去祈禱
[00:02:04.520 --> 00:02:06.280]  牠是真的嗎?真的可以嗎?
[00:02:06.280 --> 00:02:08.080]  懂得翻前祈禱
[00:02:08.080 --> 00:02:09.480]  牠好像成功了
[00:02:09.480 --> 00:02:11.920]  這隻是沙皮狗,不容易
[00:02:11.920 --> 00:02:14.080]  第二個
[00:02:14.080 --> 00:02:16.520]  看病之前,進醫院之前
