
[00:00:00.000 --> 00:00:05.960]  我今天講的主題是「真權病在哪裏」
[00:00:05.960 --> 00:00:08.120]  說起權病
[00:00:08.120 --> 00:00:13.120]  其實我記得以前有一間做拉鍊公司
[00:00:13.120 --> 00:00:15.120]  有一些小小的片段
[00:00:15.120 --> 00:00:18.040]  那時候在那間拉鍊公司
[00:00:18.040 --> 00:00:20.600]  我最常要做的工作
[00:00:20.600 --> 00:00:24.360]  就是一遇到一些拉鍊上的品質問題
[00:00:24.360 --> 00:00:27.160]  我就要跟客戶溝通
[00:00:27.160 --> 00:00:29.760]  又要跟工廠好好協調
[00:00:29.760 --> 00:00:32.320]  令到客人會感到滿意
[00:00:32.320 --> 00:00:33.720]  我記得那時候
[00:00:33.720 --> 00:00:37.960]  我只是在公司做了大概一個月的時間
[00:00:37.960 --> 00:00:42.240]  是公司裏面最低職位的員工
[00:00:42.240 --> 00:00:46.800]  剛好遇上一個自己要負責的客人
[00:00:46.800 --> 00:00:49.480]  有一批大貨拉鍊出了問題
[00:00:49.480 --> 00:00:53.320]  我就跟另一位女同事一起上去公司
[00:00:53.320 --> 00:00:58.200]  看看有什麼幫忙安撫一下客人
[00:00:58.200 --> 00:00:59.880]  誰知我一上去
[00:00:59.880 --> 00:01:03.240]  整間會議室排著排著坐
[00:01:03.240 --> 00:01:06.600]  有七個人排著排著坐等著我們
[00:01:06.600 --> 00:01:07.840]  我看到這個景象
[00:01:07.840 --> 00:01:10.600]  我剛剛只是來了公司一會
[00:01:10.600 --> 00:01:12.440]  看到嚇了一跳
[00:01:12.440 --> 00:01:14.840]  那裏有一個經理
[00:01:14.840 --> 00:01:15.600]  應該是經理
[00:01:15.600 --> 00:01:17.440]  一看到那個語氣就知道是經理
[00:01:17.440 --> 00:01:19.240]  就馬上衝口而出
[00:01:19.240 --> 00:01:21.720]  去見到我們兩個女生
[00:01:21.720 --> 00:01:22.920]  年紀輕輕
[00:01:22.920 --> 00:01:24.440]  當時年紀輕輕
[00:01:24.440 --> 00:01:26.440]  見到我們兩個這樣去開會
[00:01:26.440 --> 00:01:29.000]  又不是經理又不是老闆
[00:01:29.000 --> 00:01:29.960]  立即很生氣
[00:01:29.960 --> 00:01:31.920]  她還衝口而出說
[00:01:31.920 --> 00:01:33.960]  你們看不起我們公司嗎
[00:01:33.960 --> 00:01:35.840]  派一個沒有權力
[00:01:35.840 --> 00:01:40.760]  沒有權勢的同事來應付我們訂單的品質問題
[00:01:40.760 --> 00:01:42.640]  是不是不想做我們的生意
[00:01:42.640 --> 00:01:44.320]  這樣一直在說
[00:01:44.320 --> 00:01:46.280]  下散一千字脈
[00:01:46.280 --> 00:01:48.840]  我們兩個同事就被
[00:01:48.840 --> 00:01:52.280]  我們兩個人就被人訓示了十五分鐘
[00:01:52.280 --> 00:01:53.920]  之後我已經很懂得做
[00:01:53.920 --> 00:01:56.400]  要立即找我們部門裏面
[00:01:56.400 --> 00:01:58.400]  最有權力的經理
[00:01:58.400 --> 00:02:00.120]  立即去約客人
[00:02:00.120 --> 00:02:02.360]  我的經理
[00:02:02.360 --> 00:02:04.040]  當時的經理
[00:02:04.040 --> 00:02:07.280]  又用他經理身份的特權
[00:02:07.280 --> 00:02:10.680]  可以在工廠處理品質問題
[00:02:10.680 --> 00:02:13.120]  每樣東西都特快處理
[00:02:13.120 --> 00:02:17.280]  客人最後都感覺到很滿意
[00:02:17.280 --> 00:02:19.120]  又被尊重
[00:02:19.120 --> 00:02:22.440]  我想如果是我去和工廠溝通
[00:02:22.440 --> 00:02:25.640]  我想用一個月時間都未必搞得定
[00:02:25.640 --> 00:02:28.280]  所以在這個時候我就會想
[00:02:28.280 --> 00:02:31.160]  其實權柄越大
[00:02:31.160 --> 00:02:34.920]  做起事上來是越順暢
[00:02:34.920 --> 00:02:36.280]  又方便
[00:02:36.280 --> 00:02:38.720]  可能質素都不錯
[00:02:38.720 --> 00:02:41.960]  但是地上的權柄
[00:02:41.960 --> 00:02:46.160]  最多都是能夠影響一間公司
[00:02:46.160 --> 00:02:47.920]  一個地方
[00:02:47.920 --> 00:02:50.000]  但一個真的權柄
[00:02:50.000 --> 00:02:51.880]  是在天上面
[00:02:51.880 --> 00:02:55.800]  並且能夠影響全人類的生命
[00:02:55.800 --> 00:02:58.640]  它不受地域的限制
[00:02:58.640 --> 00:02:59.920]  這個權柄
[00:02:59.920 --> 00:03:02.240]  就是福音的特徵
[00:03:02.240 --> 00:03:05.080]  而這個權柄最關鍵的人物
[00:03:05.080 --> 00:03:08.320]  就是主耶穌
[00:03:08.320 --> 00:03:09.560]  不過很可惜
[00:03:09.560 --> 00:03:11.040]  在以前的日子
[00:03:11.040 --> 00:03:13.000]  有一班宗教領袖
[00:03:13.000 --> 00:03:15.840]  他就不太相信
[00:03:15.840 --> 00:03:17.280]  他對比較眷戀
[00:03:17.280 --> 00:03:20.440]  或者比較著重於地上的權柄
[00:03:20.440 --> 00:03:22.480]  他又不太相信耶穌
[00:03:22.480 --> 00:03:25.800]  還質疑耶穌這樣說
[00:03:25.800 --> 00:03:28.720]  你指著什麼權柄做這些事
[00:03:28.720 --> 00:03:31.400]  誰給你這個權柄
[00:03:31.400 --> 00:03:34.600]  他們明明是熟悉摩西五經
[00:03:34.600 --> 00:03:38.680]  為什麼他和耶穌的關係會演變成這樣
[00:03:38.680 --> 00:03:42.200]  如果要了解他們這樣的對話之先
[00:03:42.200 --> 00:03:43.600]  我們都要看看
[00:03:43.600 --> 00:03:46.960]  我們今天讀的經文的前面
[00:03:46.960 --> 00:03:52.280]  大概就是路加福音19章45至48節發生了什麼
[00:03:52.280 --> 00:03:54.280]  其實就是耶穌
[00:03:54.280 --> 00:03:58.200]  由加利利到最後一個目的地
[00:03:58.200 --> 00:04:00.120]  耶路撒冷的記載
