
[00:00:00.000 --> 00:00:02.000]  讓您在聆聽主的說話
[00:00:02.000 --> 00:00:04.000]  以先讓我們一齊同心低頭
[00:00:04.000 --> 00:00:06.000]  禱告仰望去主我們的神
[00:00:06.000 --> 00:00:10.000]  菩薩多謝您讓我們再一次
[00:00:10.000 --> 00:00:12.000]  回到您的面前
[00:00:12.000 --> 00:00:14.000]  一同在您的說話當中
[00:00:14.000 --> 00:00:16.000]  蒙主您的
[00:00:16.000 --> 00:00:18.000]  糾正
[00:00:18.000 --> 00:00:20.000]  使我們能夠在生命的上面
[00:00:20.000 --> 00:00:22.000]  回轉回到上帝
[00:00:22.000 --> 00:00:24.000]  您昔日創造人
[00:00:24.000 --> 00:00:25.000]  原本的樣式
[00:00:25.000 --> 00:00:27.000]  我們為此獻上感謝
[00:00:27.000 --> 00:00:29.000]  能夠有這份福氣
[00:00:29.000 --> 00:00:31.000]  這份祝福
[00:00:31.000 --> 00:00:33.000]  讓我們能夠
[00:00:33.000 --> 00:00:35.000]  活在您的栽培
[00:00:35.000 --> 00:00:37.000]  和牧養之下
[00:00:37.000 --> 00:00:39.000]  讓每一個渴慕主導的人
[00:00:39.000 --> 00:00:41.000]  都能夠在今天
[00:00:41.000 --> 00:00:43.000]  這一段的經文裡面
[00:00:43.000 --> 00:00:45.000]  找到真正
[00:00:45.000 --> 00:00:47.000]  在今天我們
[00:00:47.000 --> 00:00:49.000]  作為基督徒
[00:00:49.000 --> 00:00:51.000]  活在世上的意義
[00:00:51.000 --> 00:00:53.000]  並且讓我們能夠
[00:00:53.000 --> 00:00:55.000]  更準確地去
[00:00:55.000 --> 00:00:57.000]  仰望在您的當中
[00:00:57.000 --> 00:00:59.000]  期盼在
[00:00:59.000 --> 00:01:01.000]  您的引導裡
[00:01:01.000 --> 00:01:03.000]  能夠見證出
[00:01:03.000 --> 00:01:05.000]  屬神子民應有的
[00:01:05.000 --> 00:01:07.000]  樣式和上帝您那份
[00:01:07.000 --> 00:01:09.000]  對人的看顧保守
[00:01:09.000 --> 00:01:11.000]  我們同心的禱告
[00:01:11.000 --> 00:01:13.000]  奉靠主耶穌基督
[00:01:13.000 --> 00:01:15.000]  得勝的名字而求 阿們
[00:01:15.000 --> 00:01:19.000]  這個世界現在有
[00:01:19.000 --> 00:01:21.000]  很多各式各樣
[00:01:21.000 --> 00:01:23.000]  的宗教
[00:01:23.000 --> 00:01:25.000]  甚至有很多
[00:01:25.000 --> 00:01:27.000]  扭曲了的信仰
[00:01:27.000 --> 00:01:29.000]  在不同的
[00:01:29.000 --> 00:01:31.000]  層次上面
[00:01:31.000 --> 00:01:33.000]  去到
[00:01:33.000 --> 00:01:35.000]  介紹給這個世界的人知道
[00:01:35.000 --> 00:01:37.000]  於是乎
[00:01:37.000 --> 00:01:39.000]  我就去問一條問題
[00:01:39.000 --> 00:01:41.000]  為什麼
[00:01:41.000 --> 00:01:43.000]  這麼多人都想去找
[00:01:43.000 --> 00:01:45.000]  一個宗教或者找一種
[00:01:45.000 --> 00:01:47.000]  所謂寄託
[00:01:47.000 --> 00:01:49.000]  或者指引呢
[00:01:49.000 --> 00:01:51.000]  在傳統的
[00:01:51.000 --> 00:01:53.000]  哲學的上面
[00:01:53.000 --> 00:01:55.000]  我們就
[00:01:55.000 --> 00:01:57.000]  發現到原來
[00:01:57.000 --> 00:01:59.000]  人無論你是相信
[00:01:59.000 --> 00:02:01.000]  任何的東西
[00:02:01.000 --> 00:02:03.000]  都只有一個的目的
[00:02:03.000 --> 00:02:05.000]  就是尋求
[00:02:05.000 --> 00:02:07.000]  快樂
[00:02:07.000 --> 00:02:09.000]  但至於
[00:02:09.000 --> 00:02:11.000]  快樂或者這些的
[00:02:11.000 --> 00:02:13.000]  享受是永恆的
[00:02:13.000 --> 00:02:15.000]  長遠的
