
[00:00:00.000 --> 00:00:15.000]  各位朋友大家好,我是劉少康牧師,是劉牧師陪你讀經這個節目的主持人。
[00:00:15.000 --> 00:00:24.000]  今天早上,我要和大家一同來思考的是羅馬書十二章第一到第二兩節。
[00:00:24.000 --> 00:00:34.000]  這兩節聖經對很多信徒來說都是非常熟悉的,甚至有些信徒他說我會背。
[00:00:34.000 --> 00:00:42.000]  這兩節聖經太普遍了,結果我們有很多時候就忽略了它真正的意義。
[00:00:42.000 --> 00:00:57.000]  我們把它看作很平常,你應當把你的身體當作活跡獻給神,這是理所當然的,也是神所喜悅的,我們就輕輕帶過了。
[00:00:57.000 --> 00:01:12.000]  其實這兩節聖經非常的寶貝,所以我希望各位你可不可以慢下來,我們慢慢的來看,仔細的來思考其中的一些真理。
[00:01:12.000 --> 00:01:27.000]  首先讓我們一同來到神面前,我們先獻上禱告:親愛的天父,你是創造天地萬有的主。
[00:01:27.000 --> 00:01:41.000]  我們今天早上能夠在這個花園裏面一同來思考你的話,每一次我們聽見雀鳥的叫聲,看見那麼美的花朵的時候,我們就想到你是創造天地的主。
[00:01:41.000 --> 00:01:57.000]  求你來接受我們向你的敬拜,讓我們向你獻上頌讚,也讓我們打開你的話,求你的聖靈來教導我們,引導我們進入你的真理裏面。
[00:01:57.000 --> 00:02:03.000]  我們將禱告,侍奉主耶穌基督的名,求阿們。
[00:02:03.000 --> 00:02:19.000]  羅馬書是使徒保羅很寶貴的一卷書,人說他把福音講得最清楚的就是他所寫的書信裏面這卷羅馬書。
[00:02:19.000 --> 00:02:39.000]  求你能夠讀明白羅馬書,那你對救恩就有很多的瞭解了。求你能夠讀通羅馬書,那你對神全輩的救贖大功,他救贖的整個計劃你就有很多的瞭解了。
[00:02:39.000 --> 00:02:56.000]  外邦人在神救贖的計劃裏面佔什麼地位,以色列人在神整個救贖的計劃裏面佔什麼地位,在羅馬書裏面也非常的清楚提到出來了。
[00:02:56.000 --> 00:03:12.000]  所以羅馬書是一卷我們應該去讀,應該去明白,應該去了解的一卷書。所以我首先跟大家一同來看的這是十二章的第一跟第二兩節。
[00:03:12.000 --> 00:03:27.000]  這兩節聖經對每個信徒來說都是頂重要的,因爲神將他的心意就在這兩節聖經裏面向我們展示出來了。
[00:03:27.000 --> 00:03:45.000]  他希望我們是怎麼樣的一個信徒呢?他對我們有什麼要求呢?他爲什麼期盼我們將我們整個的人都呈現給他呢?這兩節聖經有非常豐富的教導。
[00:03:45.000 --> 00:04:14.000]  保羅說:所以弟兄們,我以神的慈悲來勸你們,來窺勸你們,來勸勉你們,將身體獻上,當作活祭,a living sacrifice,就是活生生的祭物,你獻成在神面前,是你所當然的。
[00:04:14.000 --> 00:04:19.000]  這就是第一節所給我們的教訓。
[00:04:19.000 --> 00:04:46.000]  那我們就要來看看,到底保羅這裏爲什麼用一個很強烈的字眼,就是I urge you,我要求你,我虧欠你,我求求你,要把這個做得好。
[00:04:46.000 --> 00:04:53.000]  你完完全全的徹徹底底的奉獻給主,這就是神所喜愛的。
[00:04:53.000 --> 00:05:04.000]  因爲當你交在神的手中的時候,神就可以使用你,應用你,把你花灰,你的所藏。
[00:05:04.000 --> 00:05:10.000]  我非常喜歡的就是Eugene Peterson所翻譯的The Message。
[00:05:10.000 --> 00:05:21.000]  這本聖經是用很活潑的英語,把經文很多很豐富的意思都很透徹的表達出來了。
[00:05:21.000 --> 00:05:26.000]  也許先讓我念一念英文給大家聽聽。
[00:05:26.000 --> 00:05:50.000]  So here is what I want you to do. God helping you. Take your everyday ordinary life, your sleeping, eating, going to work and walking around life, and praise it before God as an offering.
[00:05:50.000 --> 00:06:00.000]  Embracing what God does for you is the best thing you can do for Him.
[00:06:00.000 --> 00:06:16.000]  這裏就是說,將你日常的生活,你的起居飲食,你的睡覺,你的上班,你到處走走,都呈現在神面前。
[00:06:16.000 --> 00:06:31.000]  這是你在哪裏工作,你的出生是怎麼樣,你在哪裏唸書,你找到一份什麼工作,這都是神替我們安排好的,是神計劃的一部分。
[00:06:31.000 --> 00:06:48.000]  你就照神所給你的,忠忠實實的,完完全全的行出來,就行了,不用假裝,只要活出真的你,表裏如意的活出來,那就行了。
[00:06:48.000 --> 00:07:01.000]  就我們這樣做的話,神就會按照祂所賜給我們的,將我們的恩賜,將我們所藏的發揮出來,運用出來。
[00:07:01.000 --> 00:07:23.000]  其實神很愛我們,祂常常在我們身上,都有祂的計劃,都有祂的美意,只要我們每一個人忠實地將神所賜給我們的恩賜,完完全全活出來,我們就是一個很好的基督徒,能夠爲主而活。
