
[00:00:00.000 --> 00:00:02.000]  今天的經文都是來自
[00:00:02.000 --> 00:00:05.160]  彼此相愛的一個年題裏面
[00:00:05.160 --> 00:00:07.160]  一個月的其中一個主題
[00:00:07.160 --> 00:00:09.160]  就是「饒恕」
[00:00:09.160 --> 00:00:11.160]  我相信大家都會
[00:00:11.160 --> 00:00:14.120]  對於「饒恕」這個題目
[00:00:14.120 --> 00:00:15.880]  都聽過不少次
[00:00:15.880 --> 00:00:19.200]  你要記得默默斯他在登山裏面
[00:00:19.200 --> 00:00:21.200]  有提及到相關的經文
[00:00:21.200 --> 00:00:23.800]  不過我們已經定了的主題
[00:00:23.800 --> 00:00:25.240]  我們都會繼續講下去
[00:00:25.240 --> 00:00:27.600]  雖然可能有些地方是重複了
[00:00:28.600 --> 00:00:31.200]  經文是來自《馬太福音》第十八章
[00:00:31.200 --> 00:00:34.200]  第十五節到二十二節
[00:00:34.200 --> 00:00:36.200]  「Bath」這個地方
[00:00:36.200 --> 00:00:38.200]  我相信大家都可能去過
[00:00:38.200 --> 00:00:40.200]  「Bath」有誰去過?舉舉手
[00:00:40.200 --> 00:00:43.200]  不是你家的那個「Bath」
[00:00:43.200 --> 00:00:46.200]  是英國的城市「Bath」
[00:00:46.200 --> 00:00:49.200]  那裏有個很出名的古羅馬的浴池
[00:00:49.200 --> 00:00:51.200]  裏面亦有許願池
[00:00:51.200 --> 00:00:53.200]  而池底下有角色的錢幣
[00:00:53.200 --> 00:00:55.200]  許願的人亦從來沒有想過
[00:00:55.200 --> 00:00:57.200]  在羅馬統治的時期
[00:00:57.200 --> 00:00:59.200]  這些清澈見底的池水
[00:00:59.200 --> 00:01:01.200]  它是浸滿了
[00:01:01.200 --> 00:01:05.200]  許多人怨氣的報仇的毒液
[00:01:05.200 --> 00:01:07.200]  不少懷著憤恨的人
[00:01:07.200 --> 00:01:10.200]  就將刻有咒咒的金屬片
[00:01:10.200 --> 00:01:13.200]  或者硬幣釘進這個泉水裏面
[00:01:13.200 --> 00:01:15.200]  他們祈求當時
