
[00:00:00.000 --> 00:00:05.400]  丁姊妹早上,讓我們一起為著我們講道和聽道的服侍一同禱告
[00:00:05.400 --> 00:00:13.300]  主啊,我們感謝祢,讓我們能夠相聚,也就是祢去揀選我們每一個
[00:00:13.300 --> 00:00:20.000]  願祢的靈今天也與我們同在,讓我們能夠去看見祢話語的真實
[00:00:20.000 --> 00:00:26.300]  看見保羅對帖撒諾尼加教會的教導,同樣都成為我們的教導
[00:00:26.800 --> 00:00:31.300]  願祢去祝福帶領我們今天聽道和講道的服侍
[00:00:31.300 --> 00:00:34.300]  逢著祝福的聖名祈求,阿們
[00:00:56.800 --> 00:01:01.300]  先看著那本書,我一會兒就回來
[00:01:01.300 --> 00:01:08.800]  起初大家一句話也不說,就看著那本書
[00:01:08.800 --> 00:01:16.800]  但時間一路一路過,就開始聽到有人玩完字筆的嘀嘀嗒嗒的聲音
[00:01:16.800 --> 00:01:21.800]  然後就開始有人在動動椅子
[00:01:22.300 --> 00:01:28.800]  又開始有人在跟旁邊的人聊天
[00:01:28.800 --> 00:01:35.800]  老師還沒回來,然後就再跟遠一點的同學說話
[00:01:35.800 --> 00:01:39.800]  「喂,一會兒吃午餐去哪裏吃啊?做甚麼啊?」
[00:01:39.800 --> 00:01:43.800]  最後大家整個班房就吵得像小息一樣
[00:01:43.800 --> 00:01:50.800]  大家都在走來走去,又開始「喂,我剛剛小息買了這個零食,可以一起吃啊」
[00:01:51.800 --> 00:01:56.800]  突然這時候,老師就進來了,大家都反應不及
[00:01:56.800 --> 00:02:05.300]  我在做甚麼呢?我剛剛正在別人的桌上拿著那包蝦片放進口裏
[00:02:05.300 --> 00:02:12.800]  就看到老師走進來,那一刻我也不知道應該吃掉那塊蝦片還是丟掉那塊蝦片
[00:02:12.800 --> 00:02:18.800]  當然,這個混亂的畫面就令老師很生氣
[00:02:19.300 --> 00:02:22.800]  也罰我們全班要留堂繼續教書
[00:02:22.800 --> 00:02:26.800]  可能有時候教會也一樣
[00:02:26.800 --> 00:02:30.800]  可能我們也面對著很多環境的轉變
[00:02:30.800 --> 00:02:38.800]  包括你移民到澳洲,一個全新的教會,一個全新的群體
[00:02:38.800 --> 00:02:41.800]  或者你一直都在這裏
