
[00:00:00.000 --> 00:00:05.000]  各位電影傳媒平安
[00:00:05.000 --> 00:00:09.000]  我們的生命中都會有一些黑暗期
[00:00:09.000 --> 00:00:16.000]  就代表一些困境苦難或者磨練在我們身上
[00:00:16.000 --> 00:00:20.000]  有些人他會遇到一些經濟的壓力
[00:00:20.000 --> 00:00:25.000]  曾經很長時間他的經濟都是出現問題
[00:00:25.000 --> 00:00:31.000]  有些人失業 失業了很長一段時間
[00:00:31.000 --> 00:00:35.000]  成為他一個很大的掙扎 很大的困擾
[00:00:35.000 --> 00:00:40.000]  也有些人可能是有些親人他要照顧的
[00:00:40.000 --> 00:00:43.000]  在紐西蘭我就認識一對夫婦
[00:00:43.000 --> 00:00:46.000]  那個丈夫已經八十幾歲
[00:00:46.000 --> 00:00:51.000]  身體很差 出入醫院很頻繁
[00:00:51.000 --> 00:00:57.000]  他的太太也八十幾歲了 就要照顧她的丈夫
[00:00:57.000 --> 00:01:02.000]  於是丈夫那個軟弱的身體
[00:01:02.000 --> 00:01:05.000]  要妻子無微不至的照顧
[00:01:05.000 --> 00:01:09.000]  成為她身上的一根刺
[00:01:09.000 --> 00:01:14.000]  所以保羅說 我都曾經為我身上的刺
[00:01:14.000 --> 00:01:20.000]  三次求助 將我的刺拔掉
[00:01:20.000 --> 00:01:22.000]  但是神都沒有答應
[00:01:22.000 --> 00:01:26.000]  所以各位 我不知道在你的生命裏面
[00:01:26.000 --> 00:01:28.000]  有沒有一些刺呢
[00:01:28.000 --> 00:01:31.000]  很多時候裏面那種掙扎
[00:01:31.000 --> 00:01:34.000]  真的很深很深
[00:01:34.000 --> 00:01:41.000]  原來這個讓我們學會一個基督徒生活的準則
[00:01:41.000 --> 00:01:46.000]  做你生命裏面的黑暗期有多長
[00:01:46.000 --> 00:01:55.000]  就要看神到底在你身上要成就的計劃是甚麼
[00:01:55.000 --> 00:02:00.000]  所以今天讓我從哥林多前書
[00:02:00.000 --> 00:02:03.000]  第一章第三第四節
[00:02:03.000 --> 00:02:05.000]  作一些分享
[00:02:05.000 --> 00:02:12.000]  請先聽我讀出哥林多前書第一章三到四節
[00:02:12.000 --> 00:02:18.000]  你們在一切的患難中
[00:02:18.000 --> 00:02:23.000]  祂就來到安慰我們
[00:02:23.000 --> 00:02:28.000]  叫我們能用神所賜的安慰
[00:02:28.000 --> 00:02:34.000]  去安慰那些遭各樣患難的人
[00:02:34.000 --> 00:02:36.000]  當你落在患難裏面
[00:02:36.000 --> 00:02:39.000]  是神會安慰你的
[00:02:39.000 --> 00:02:43.000]  你就可以用神給你的安慰
[00:02:43.000 --> 00:02:49.000]  去安慰同樣遭到這種狀況的人
[00:02:49.000 --> 00:02:52.000]  所以這是神給我們的一個應許
[00:02:52.000 --> 00:02:54.000]  而且跟著說
[00:02:54.000 --> 00:02:59.000]  我們既多受基督的苦楚
[00:02:59.000 --> 00:03:04.000]  就靠基督多得安慰
[00:03:04.000 --> 00:03:06.000]  你受的苦楚可能多一點
[00:03:06.000 --> 00:03:09.000]  那神給你的安慰又多一點
[00:03:09.000 --> 00:03:11.000]  那你就有力
[00:03:11.000 --> 00:03:14.000]  你就可以去關心
[00:03:14.000 --> 00:03:16.000]  去幫助去安慰
[00:03:16.000 --> 00:03:20.000]  那些同樣情況裏面的人
[00:03:20.000 --> 00:03:22.000]  我都曾經提過
[00:03:22.000 --> 00:03:25.000]  一個曾經患了癌症的姊妹
[00:03:25.000 --> 00:03:29.000]  她很喜歡去鼓勵
[00:03:29.000 --> 00:03:33.000]  去幫助去分享自己的掙扎
[00:03:33.000 --> 00:03:34.000]  自己的見證
[00:03:34.000 --> 00:03:37.000]  結果她在一個癌症病房裏面
[00:03:37.000 --> 00:03:39.000]  帶了很多人信主
[00:03:39.000 --> 00:03:42.000]  就因為她將神給她的安慰
[00:03:42.000 --> 00:03:46.000]  跟其他人來分享
[00:03:46.000 --> 00:03:48.000]  聖經裏面都有一個人物
